"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 134---Ujiarpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :134---Ujiarpur                                                                                                                                         No of Voters :226767"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates  Name ----->"	""	"AJAY KUMAR"	"DURGA PRASAD SINGH"	""	"PRASHANT SAGAR"	""	"RAM KUMAR SINGH"	""	""	"RAM LAKHAN MAHTO"	""	"PHOOL BABU SINGH"	""	"RAM VILASH CHOUDHARY"	""	"DINESH DAS"	""	"NANHAKI SAHANI"	""	"BAIDYANATH CHOUDHARY"	""	"RAM UDAR CHOUDHARY"	""	"RAMKARAN PASWAN"	""	"VALMIKI PRASAD SINGH"	""	"Total Valid Votes"	""
"7"	"BOOTH NO"	""	"1"	"2"	""	"3"	""	"4"	""	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""
"8"	"1"	""	"178"	"286"	""	"15"	""	"6"	""	""	"76"	""	"8"	""	"52"	""	"7"	""	"19"	""	"3"	""	"4"	""	"13"	""	"25"	""	"692"	""
"9"	"2"	""	"206"	"88"	""	"7"	""	"21"	""	""	"89"	""	"33"	""	"47"	""	"2"	""	"7"	""	"5"	""	"31"	""	"8"	""	"9"	""	"553"	""
"10"	"3"	""	"262"	"87"	""	"15"	""	"1"	""	""	"110"	""	"25"	""	"29"	""	"4"	""	"3"	""	"6"	""	"38"	""	"2"	""	"2"	""	"584"	""
"11"	"4"	""	"121"	"250"	""	"34"	""	"3"	""	""	"154"	""	"10"	""	"39"	""	"17"	""	"54"	""	"4"	""	"39"	""	"11"	""	"11"	""	"747"	""
"12"	"5"	""	"288"	"64"	""	"9"	""	"7"	""	""	"53"	""	"54"	""	"26"	""	"7"	""	"2"	""	"1"	""	"11"	""	"4"	""	"20"	""	"546"	""
"13"	"6"	""	"73"	"89"	""	"38"	""	"4"	""	""	"177"	""	"202"	""	"38"	""	"14"	""	"6"	""	"4"	""	"23"	""	"5"	""	"18"	""	"691"	""
"14"	"7"	""	"41"	"253"	""	"29"	""	"3"	""	""	"112"	""	"229"	""	"54"	""	"9"	""	"5"	""	"11"	""	"15"	""	"7"	""	"11"	""	"779"	""
"15"	"8"	""	"55"	"80"	""	"32"	""	"14"	""	""	"350"	""	"43"	""	"105"	""	"20"	""	"7"	""	"7"	""	"6"	""	"6"	""	"4"	""	"729"	""
