"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 057---Baisi CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"3"	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :057---Baisi"	""	""	""	""	""	""	""	"No of Voters :190598"	""
"5"	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates  Name"	"ABDUS SUBHAN"	"INDRA KUMAR"	"TOSIF ALAM"	"NASAR AHAMAD"	"SANTOSH KUMAR"	"ALIMUDDIN ANSARI"	"MOJIM"	"SYED RUKNUDDIN"	""
"7"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"9"	"1"	"44"	"11"	"12"	"436"	"97"	"14"	"5"	"8"	"627"
"10"	"2"	"62"	"11"	"14"	"465"	"171"	"14"	"7"	"11"	"755"
"11"	"3"	"2"	"5"	"6"	"531"	"83"	"13"	"7"	"36"	"683"
"12"	"4"	"9"	"6"	"3"	"229"	"18"	"11"	"4"	"4"	"284"
"13"	"5"	"15"	"1"	"3"	"583"	"82"	"7"	"8"	"20"	"719"
"14"	"6"	"71"	"4"	"6"	"391"	"184"	"13"	"5"	"16"	"690"
"15"	"7"	"86"	"1"	"3"	"391"	"57"	"7"	"8"	"12"	"565"
"16"	"8"	"35"	"5"	"4"	"168"	"116"	"13"	"5"	"14"	"360"
"17"	"9"	"21"	"1"	"3"	"293"	"16"	"2"	"1"	"22"	"359"
"18"	"10"	"16"	"3"	"2"	"108"	"79"	"2"	"1"	"12"	"223"
"19"	"11"	"56"	"14"	"7"	"48"	"425"	"10"	"6"	"24"	"590"
"20"	"12"	"18"	"3"	"5"	"546"	"23"	"8"	"6"	"19"	"628"
"21"	"13"	"31"	"11"	"4"	"209"	"638"	"17"	"7"	"31"	"948"
"22"	"14"	"55"	"3"	"4"	"204"	"393"	"14"	"5"	"68"	"746"
"23"	"15"	"50"	"4"	"6"	"77"	"379"	"13"	"6"	"34"	"569"
"24"	"16"	"15"	"5"	"10"	"62"	"487"	"6"	"5"	"11"	"601"
"25"	"17"	"51"	"9"	"9"	"337"	"330"	"19"	"6"	"19"	"780"
"26"	"18"	"23"	"4"	"4"	"277"	"482"	"14"	"15"	"49"	"868"
"27"	"19"	"34"	"9"	"10"	"442"	"132"	"18"	"14"	"18"	"677"
"28"	"20"	"9"	"7"	"6"	"410"	"37"	"7"	"3"	"16"	"495"
"29"	"21"	"13"	"9"	"2"	"339"	"202"	"14"	"15"	"22"	"616"
"30"	"22"	"21"	"6"	"5"	"250"	"295"	"13"	"4"	"10"	"604"
"31"	"23"	"1"	"0"	"2"	"185"	"10"	"0"	"1"	"7"	"206"
"32"	"24"	"38"	"9"	"6"	"653"	"81"	"19"	"6"	"37"	"849"
"33"	"25"	"21"	"7"	"3"	"223"	"673"	"25"	"8"	"30"	"990"
"34"	"26"	"23"	"3"	"3"	"373"	"196"	"5"	"2"	"5"	"610"
"35"	"27"	"30"	"4"	"7"	"544"	"52"	"11"	"7"	"52"	"707"
"36"	"28"	"42"	"6"	"6"	"473"	"309"	"13"	"5"	"61"	"915"
"37"	"29"	"3"	"5"	"1"	"9"	"209"	"1"	"1"	"0"	"229"
"38"	"30"	"18"	"6"	"9"	"251"	"338"	"14"	"6"	"56"	"698"
"39"	"31"	"21"	"4"	"3"	"85"	"435"	"12"	"13"	"27"	"600"
"40"	"32"	"44"	"5"	"8"	"402"	"85"	"8"	"9"	"19"	"580"
"41"	"Form 20"	""	""	""	""	""	""	""	""	""
"42"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"43"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 057---Baisi CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"44"	""	""	""	""	""	""	""	""	""	""
"45"	"Assembly Constituency :057---Baisi"	""	""	""	""	""	""	""	"No of Voters :190598"	""
"46"	""	""	""	""	""	""	""	""	""	""
"47"	"Candidates  Name"	"ABDUS SUBHAN"	"INDRA KUMAR"	"TOSIF ALAM"	"NASAR AHAMAD"	"SANTOSH KUMAR"	"ALIMUDDIN ANSARI"	"MOJIM"	"SYED RUKNUDDIN"	""
"48"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"49"	"33"	"25"	"9"	"6"	"233"	"191"	"8"	"5"	"24"	"501"
"50"	"34"	"51"	"7"	"6"	"436"	"130"	"10"	"9"	"10"	"659"
"51"	"35"	"19"	"8"	"11"	"203"	"449"	"16"	"9"	"13"	"728"
"52"	"36"	"26"	"4"	"5"	"80"	"625"	"11"	"5"	"14"	"770"
"53"	"37"	"29"	"4"	"6"	"372"	"241"	"11"	"3"	"27"	"693"
"54"	"38"	"8"	"3"	"5"	"309"	"89"	"4"	"1"	"17"	"436"
"55"	"39"	"24"	"4"	"3"	"414"	"39"	"8"	"2"	"10"	"504"
"56"	"40"	"22"	"11"	"8"	"758"	"120"	"16"	"6"	"21"	"962"
"57"	"41"	"6"	"2"	"1"	"367"	"55"	"3"	"5"	"7"	"446"
"58"	"42"	"22"	"2"	"11"	"600"	"45"	"10"	"9"	"19"	"718"
"59"	"43"	"129"	"5"	"6"	"278"	"276"	"14"	"9"	"79"	"796"
"60"	"44"	"18"	"1"	"3"	"233"	"53"	"3"	"3"	"15"	"329"
"61"	"45"	"21"	"11"	"7"	"532"	"80"	"14"	"4"	"11"	"680"
"62"	"46"	"30"	"6"	"5"	"403"	"310"	"15"	"7"	"28"	"804"
"63"	"47"	"59"	"6"	"7"	"488"	"215"	"7"	"4"	"6"	"792"
"64"	"48"	"53"	"5"	"8"	"646"	"131"	"17"	"11"	"27"	"898"
"65"	"49"	"40"	"11"	"22"	"776"	"78"	"12"	"9"	"19"	"967"
"66"	"50"	"25"	"2"	"1"	"79"	"98"	"13"	"0"	"12"	"230"
"67"	"51"	"29"	"4"	"3"	"128"	"204"	"12"	"8"	"7"	"395"
"68"	"52"	"27"	"15"	"7"	"563"	"211"	"18"	"13"	"36"	"890"
"69"	"53"	"16"	"8"	"9"	"533"	"215"	"7"	"6"	"23"	"817"
"70"	"54"	"13"	"18"	"1"	"137"	"616"	"11"	"8"	"12"	"816"
"71"	"55"	"84"	"4"	"4"	"89"	"90"	"3"	"4"	"209"	"487"
"72"	"56"	"11"	"7"	"1"	"20"	"705"	"22"	"9"	"26"	"801"
"73"	"57"	"115"	"4"	"1"	"10"	"150"	"11"	"8"	"404"	"703"
"74"	"58"	"115"	"7"	"5"	"31"	"111"	"9"	"8"	"279"	"565"
"75"	"59"	"63"	"3"	"3"	"13"	"116"	"2"	"1"	"124"	"325"
"76"	"60"	"49"	"3"	"4"	"22"	"148"	"8"	"7"	"156"	"397"
"77"	"61"	"125"	"4"	"2"	"6"	"46"	"2"	"2"	"36"	"223"
"78"	"62"	"43"	"1"	"0"	"2"	"444"	"1"	"2"	"8"	"501"
"79"	"63"	"29"	"4"	"5"	"155"	"468"	"15"	"7"	"54"	"737"
"80"	"64"	"187"	"20"	"0"	"45"	"480"	"10"	"8"	"102"	"852"
"81"	"65"	"14"	"4"	"1"	"234"	"161"	"3"	"8"	"21"	"446"
"82"	"Form 20"	""	""	""	""	""	""	""	""	""
"83"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"84"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 057---Baisi CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"85"	""	""	""	""	""	""	""	""	""	""
"86"	"Assembly Constituency :057---Baisi"	""	""	""	""	""	""	""	"No of Voters :190598"	""
"87"	""	""	""	""	""	""	""	""	""	""
"88"	"Candidates  Name"	"ABDUS SUBHAN"	"INDRA KUMAR"	"TOSIF ALAM"	"NASAR AHAMAD"	"SANTOSH KUMAR"	"ALIMUDDIN ANSARI"	"MOJIM"	"SYED RUKNUDDIN"	""
"89"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"90"	"66"	"24"	"4"	"12"	"191"	"114"	"8"	"3"	"80"	"436"
"91"	"67"	"51"	"8"	"8"	"497"	"42"	"6"	"4"	"75"	"691"
"92"	"68"	"40"	"5"	"7"	"506"	"202"	"15"	"7"	"112"	"894"
"93"	"69"	"14"	"2"	"3"	"168"	"102"	"2"	"5"	"12"	"308"
"94"	"70"	"70"	"4"	"6"	"13"	"397"	"9"	"13"	"190"	"702"
"95"	"71"	"4"	"0"	"2"	"6"	"435"	"7"	"4"	"7"	"465"
"96"	"72"	"188"	"8"	"0"	"22"	"260"	"10"	"9"	"154"	"651"
"97"	"73"	"35"	"9"	"5"	"403"	"372"	"22"	"9"	"65"	"920"
"98"	"74"	"6"	"2"	"5"	"207"	"545"	"21"	"8"	"38"	"832"
"99"	"75"	"13"	"4"	"4"	"241"	"304"	"5"	"0"	"14"	"585"
"100"	"76"	"25"	"3"	"5"	"336"	"77"	"5"	"4"	"16"	"471"
"101"	"77"	"36"	"4"	"5"	"231"	"514"	"15"	"7"	"51"	"863"
"102"	"78"	"16"	"9"	"11"	"120"	"587"	"7"	"4"	"157"	"911"
"103"	"79"	"91"	"10"	"9"	"249"	"364"	"11"	"6"	"15"	"755"
"104"	"80"	"5"	"2"	"3"	"101"	"284"	"5"	"2"	"3"	"405"
"105"	"81"	"6"	"3"	"3"	"24"	"231"	"2"	"1"	"2"	"272"
"106"	"82"	"44"	"8"	"4"	"91"	"612"	"22"	"12"	"11"	"804"
"107"	"83"	"10"	"2"	"3"	"17"	"694"	"19"	"10"	"22"	"777"
"108"	"84"	"31"	"0"	"3"	"94"	"358"	"6"	"7"	"7"	"506"
"109"	"85"	"12"	"5"	"2"	"20"	"756"	"14"	"8"	"8"	"825"
"110"	"86"	"39"	"7"	"12"	"400"	"111"	"10"	"5"	"49"	"633"
"111"	"87"	"47"	"16"	"17"	"418"	"273"	"14"	"7"	"77"	"869"
"112"	"88"	"13"	"4"	"4"	"217"	"241"	"7"	"5"	"35"	"526"
"113"	"89"	"25"	"2"	"7"	"265"	"529"	"17"	"13"	"83"	"941"
"114"	"90"	"40"	"14"	"8"	"373"	"422"	"18"	"14"	"96"	"985"
"115"	"91"	"20"	"6"	"10"	"411"	"217"	"17"	"5"	"36"	"722"
"116"	"92"	"18"	"10"	"7"	"532"	"270"	"12"	"18"	"83"	"950"
"117"	"93"	"45"	"13"	"6"	"231"	"355"	"12"	"4"	"26"	"692"
"118"	"94"	"15"	"3"	"4"	"415"	"93"	"14"	"9"	"38"	"591"
"119"	"95"	"24"	"13"	"11"	"149"	"623"	"18"	"11"	"45"	"894"
"120"	"96"	"27"	"6"	"5"	"98"	"437"	"25"	"17"	"108"	"723"
"121"	"97"	"52"	"5"	"4"	"36"	"493"	"21"	"10"	"35"	"656"
"122"	"98"	"219"	"9"	"3"	"90"	"69"	"8"	"4"	"103"	"505"
"123"	"Form 20"	""	""	""	""	""	""	""	""	""
"124"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"125"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 057---Baisi CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"126"	""	""	""	""	""	""	""	""	""	""
"127"	"Assembly Constituency :057---Baisi"	""	""	""	""	""	""	""	"No of Voters :190598"	""
"128"	""	""	""	""	""	""	""	""	""	""
"129"	"Candidates  Name"	"ABDUS SUBHAN"	"INDRA KUMAR"	"TOSIF ALAM"	"NASAR AHAMAD"	"SANTOSH KUMAR"	"ALIMUDDIN ANSARI"	"MOJIM"	"SYED RUKNUDDIN"	""
"130"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"131"	"99"	"33"	"4"	"7"	"283"	"389"	"9"	"11"	"51"	"787"
"132"	"100"	"13"	"1"	"3"	"19"	"284"	"3"	"1"	"56"	"380"
"133"	"101"	"41"	"13"	"6"	"63"	"425"	"8"	"7"	"22"	"585"
"134"	"102"	"26"	"5"	"7"	"584"	"62"	"14"	"6"	"26"	"730"
"135"	"103"	"34"	"1"	"5"	"414"	"202"	"4"	"5"	"23"	"688"
"136"	"104"	"36"	"4"	"3"	"138"	"351"	"11"	"7"	"24"	"574"
"137"	"105"	"38"	"5"	"8"	"444"	"92"	"11"	"10"	"27"	"635"
"138"	"106"	"9"	"2"	"1"	"18"	"535"	"14"	"5"	"13"	"597"
"139"	"107"	"35"	"8"	"7"	"260"	"409"	"15"	"10"	"16"	"760"
"140"	"108"	"353"	"11"	"6"	"67"	"24"	"8"	"6"	"137"	"612"
"141"	"109"	"78"	"12"	"8"	"155"	"409"	"19"	"11"	"123"	"815"
"142"	"110"	"25"	"1"	"8"	"165"	"100"	"16"	"2"	"30"	"347"
"143"	"111"	"191"	"7"	"3"	"29"	"254"	"12"	"3"	"83"	"582"
"144"	"112"	"140"	"6"	"5"	"15"	"200"	"9"	"5"	"150"	"530"
"145"	"112A"	"265"	"2"	"12"	"18"	"11"	"4"	"6"	"121"	"439"
"146"	"113"	"221"	"4"	"6"	"16"	"331"	"16"	"11"	"68"	"673"
"147"	"114"	"233"	"5"	"5"	"0"	"6"	"2"	"1"	"41"	"293"
"148"	"115"	"304"	"9"	"3"	"5"	"2"	"4"	"2"	"74"	"403"
"149"	"116"	"270"	"3"	"4"	"9"	"44"	"12"	"3"	"100"	"445"
"150"	"117"	"164"	"5"	"2"	"6"	"75"	"7"	"3"	"41"	"303"
"151"	"118"	"449"	"9"	"3"	"3"	"6"	"1"	"4"	"59"	"534"
"152"	"119"	"226"	"3"	"1"	"1"	"31"	"4"	"1"	"48"	"315"
"153"	"120"	"169"	"4"	"1"	"10"	"33"	"4"	"6"	"50"	"277"
"154"	"121"	"224"	"7"	"8"	"14"	"111"	"11"	"14"	"128"	"517"
"155"	"122"	"219"	"10"	"7"	"9"	"114"	"10"	"12"	"105"	"486"
"156"	"122A"	"176"	"4"	"4"	"3"	"26"	"7"	"3"	"89"	"312"
"157"	"123"	"309"	"11"	"11"	"20"	"98"	"8"	"10"	"198"	"665"
"158"	"124"	"223"	"17"	"9"	"8"	"281"	"7"	"8"	"170"	"723"
"159"	"125"	"324"	"8"	"4"	"5"	"38"	"8"	"3"	"33"	"423"
"160"	"126"	"326"	"11"	"9"	"16"	"172"	"16"	"7"	"231"	"788"
"161"	"127"	"259"	"12"	"6"	"9"	"210"	"33"	"10"	"213"	"752"
"162"	"128"	"468"	"17"	"9"	"24"	"246"	"14"	"13"	"104"	"895"
"163"	"129"	"233"	"1"	"1"	"4"	"171"	"5"	"3"	"66"	"484"
"164"	"Form 20"	""	""	""	""	""	""	""	""	""
"165"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"166"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 057---Baisi CONSTITUENCY"	""	""	""	""	""	""	""	""	""
