"Total.No..of.Electors.in.Assembly.Constituency........190826"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"05- Lauria Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS BABLOO SINGH"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"7"	"1"	"13"	"6"	"357"	"10"	"175"	"2"	"2"	"13"	"1"	"4"	"22"	"7"	"612"	"0"	"612"	"0"	""
"8"	"2"	"17"	"7"	"522"	"10"	"197"	"6"	"1"	"12"	"3"	"15"	"18"	"20"	"828"	"0"	"828"	"0"	""
"9"	"3"	"9"	"8"	"145"	"9"	"153"	"21"	"1"	"3"	"1"	"2"	"35"	"1"	"388"	"0"	"388"	"0"	""
"10"	"3 A"	"6"	"14"	"186"	"47"	"165"	"23"	"6"	"10"	"7"	"3"	"23"	"1"	"491"	"0"	"491"	"0"	""
"11"	"4"	"12"	"3"	"345"	"40"	"245"	"6"	"5"	"19"	"7"	"9"	"62"	"6"	"759"	"0"	"759"	"0"	""
"12"	"5"	"10"	"2"	"48"	"44"	"278"	"5"	"3"	"7"	"3"	"3"	"23"	"40"	"466"	"0"	"466"	"0"	""
"13"	"6"	"12"	"2"	"193"	"91"	"86"	"41"	"5"	"8"	"3"	"8"	"28"	"25"	"502"	"0"	"502"	"0"	""
"14"	"7"	"15"	"3"	"68"	"42"	"137"	"34"	"0"	"10"	"1"	"4"	"58"	"6"	"378"	"0"	"378"	"0"	""
"15"	"8"	"22"	"7"	"139"	"97"	"93"	"6"	"1"	"13"	"3"	"2"	"111"	"16"	"510"	"0"	"510"	"0"	""
"16"	"9"	"6"	"1"	"38"	"64"	"43"	"115"	"2"	"6"	"1"	"2"	"7"	"3"	"288"	"0"	"288"	"0"	""
"17"	"10"	"14"	"8"	"454"	"16"	"99"	"6"	"3"	"7"	"3"	"11"	"114"	"26"	"761"	"0"	"761"	"0"	""
"18"	"11"	"15"	"11"	"381"	"55"	"235"	"7"	"6"	"15"	"9"	"9"	"66"	"48"	"857"	"0"	"857"	"0"	""
"19"	"12"	"16"	"14"	"243"	"17"	"244"	"51"	"3"	"12"	"13"	"9"	"99"	"25"	"746"	"0"	"746"	"0"	""
"20"	"13"	"17"	"31"	"366"	"18"	"272"	"3"	"0"	"10"	"3"	"3"	"21"	"5"	"749"	"0"	"749"	"0"	""
"21"	"Total"	"184"	"117"	"3485"	"560"	"2422"	"326"	"38"	"145"	"58"	"84"	"687"	"229"	"8335"	"0"	"8335"	"0"	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"05- Lauria Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"32"	"14"	"6"	"0"	"198"	"11"	"145"	"4"	"1"	"5"	"2"	"4"	"7"	"5"	"388"	"0"	"388"	"0"	""
"33"	"15"	"3"	"4"	"35"	"26"	"210"	"3"	"5"	"4"	"1"	"4"	"133"	"2"	"430"	"0"	"430"	"0"	""
"34"	"16"	"8"	"5"	"151"	"28"	"235"	"10"	"6"	"8"	"4"	"4"	"195"	"8"	"662"	"0"	"662"	"0"	""
"35"	"17"	"27"	"13"	"323"	"38"	"242"	"12"	"3"	"14"	"5"	"11"	"83"	"23"	"794"	"0"	"794"	"0"	""
"36"	"18"	"12"	"3"	"191"	"107"	"108"	"2"	"3"	"2"	"2"	"3"	"35"	"9"	"477"	"0"	"477"	"0"	""
"37"	"19"	"3"	"0"	"310"	"13"	"88"	"4"	"3"	"5"	"1"	"7"	"112"	"1"	"547"	"0"	"547"	"0"	""
"38"	"20"	"8"	"3"	"283"	"97"	"166"	"3"	"1"	"5"	"2"	"5"	"65"	"8"	"646"	"0"	"646"	"0"	""
"39"	"21"	"19"	"0"	"148"	"47"	"221"	"7"	"8"	"15"	"4"	"12"	"66"	"21"	"568"	"0"	"568"	"0"	""
"40"	"22"	"18"	"13"	"422"	"131"	"211"	"4"	"0"	"17"	"0"	"8"	"53"	"14"	"891"	"0"	"891"	"0"	""
"41"	"23"	"14"	"3"	"283"	"38"	"71"	"25"	"1"	"6"	"2"	"1"	"53"	"7"	"504"	"0"	"504"	"0"	""
"42"	"24"	"9"	"3"	"171"	"170"	"286"	"17"	"4"	"10"	"3"	"2"	"32"	"7"	"714"	"0"	"714"	"0"	""
"43"	"25"	"6"	"2"	"156"	"76"	"183"	"7"	"0"	"9"	"1"	"5"	"19"	"0"	"464"	"0"	"464"	"0"	""
"44"	"26"	"9"	"8"	"137"	"38"	"94"	"2"	"1"	"7"	"2"	"2"	"9"	"3"	"312"	"0"	"312"	"0"	""
"45"	"27"	"21"	"12"	"208"	"145"	"177"	"12"	"3"	"22"	"2"	"5"	"5"	"9"	"621"	"0"	"621"	"0"	""
"46"	"Total"	"163"	"69"	"3016"	"965"	"2437"	"112"	"39"	"129"	"31"	"73"	"867"	"117"	"8018"	"0"	"8018"	"0"	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"05- Lauria Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"57"	"28"	"7"	"2"	"202"	"29"	"95"	"8"	"1"	"13"	"3"	"3"	"6"	"1"	"370"	"0"	"370"	"0"	""
"58"	"29"	"16"	"6"	"227"	"223"	"216"	"13"	"7"	"16"	"3"	"6"	"28"	"8"	"769"	"0"	"769"	"0"	""
"59"	"30"	"14"	"4"	"128"	"72"	"265"	"11"	"0"	"12"	"2"	"3"	"88"	"8"	"607"	"0"	"607"	"0"	""
"60"	"31"	"25"	"12"	"159"	"119"	"162"	"8"	"7"	"14"	"4"	"5"	"139"	"18"	"672"	"0"	"672"	"0"	""
"61"	"32"	"19"	"6"	"88"	"151"	"135"	"9"	"7"	"15"	"1"	"2"	"76"	"4"	"513"	"0"	"513"	"0"	""
"62"	"33"	"19"	"6"	"122"	"56"	"137"	"9"	"5"	"19"	"3"	"2"	"66"	"8"	"452"	"0"	"452"	"0"	""
"63"	"34"	"5"	"0"	"69"	"58"	"201"	"5"	"3"	"4"	"0"	"4"	"76"	"4"	"429"	"0"	"429"	"0"	""
"64"	"35"	"14"	"9"	"135"	"87"	"258"	"50"	"4"	"10"	"2"	"9"	"68"	"13"	"659"	"0"	"659"	"0"	""
"65"	"36"	"36"	"6"	"210"	"113"	"142"	"7"	"1"	"14"	"8"	"7"	"46"	"11"	"601"	"0"	"601"	"0"	""
"66"	"37"	"27"	"8"	"330"	"61"	"133"	"8"	"5"	"14"	"4"	"8"	"48"	"8"	"654"	"0"	"654"	"0"	""
"67"	"38"	"25"	"8"	"301"	"21"	"112"	"9"	"4"	"23"	"6"	"13"	"75"	"13"	"610"	"0"	"610"	"0"	""
"68"	"39"	"15"	"0"	"242"	"51"	"186"	"83"	"14"	"21"	"7"	"13"	"59"	"20"	"711"	"0"	"711"	"0"	""
"69"	"40"	"23"	"6"	"271"	"100"	"114"	"4"	"5"	"18"	"3"	"8"	"68"	"7"	"627"	"0"	"627"	"0"	""
"70"	"41"	"33"	"8"	"323"	"30"	"158"	"1"	"3"	"12"	"7"	"2"	"63"	"8"	"648"	"0"	"648"	"0"	""
"71"	"Total"	"278"	"81"	"2807"	"1171"	"2314"	"225"	"66"	"205"	"53"	"85"	"906"	"131"	"8322"	"0"	"8322"	"0"	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"05- Lauria Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"82"	"42"	"32"	"5"	"268"	"26"	"157"	"47"	"2"	"15"	"7"	"5"	"72"	"12"	"648"	"0"	"648"	"0"	""
"83"	"43"	"28"	"11"	"203"	"37"	"124"	"35"	"1"	"19"	"4"	"8"	"108"	"13"	"591"	"0"	"591"	"0"	""
"84"	"44"	"21"	"7"	"475"	"14"	"100"	"7"	"4"	"8"	"2"	"4"	"29"	"2"	"673"	"0"	"673"	"0"	""
"85"	"45"	"23"	"5"	"251"	"15"	"203"	"6"	"6"	"11"	"1"	"3"	"31"	"5"	"560"	"0"	"560"	"0"	""
"86"	"46"	"4"	"4"	"144"	"36"	"242"	"2"	"1"	"6"	"6"	"4"	"36"	"7"	"492"	"0"	"492"	"0"	""
"87"	"47"	"12"	"5"	"247"	"23"	"175"	"1"	"2"	"12"	"1"	"7"	"42"	"2"	"529"	"0"	"529"	"0"	""
"88"	"48"	"19"	"2"	"67"	"170"	"226"	"12"	"1"	"13"	"6"	"8"	"13"	"26"	"563"	"0"	"563"	"0"	""
"89"	"49"	"2"	"3"	"84"	"59"	"80"	"6"	"3"	"3"	"1"	"1"	"22"	"3"	"267"	"0"	"267"	"0"	""
"90"	"50"	"4"	"2"	"44"	"157"	"156"	"3"	"0"	"1"	"2"	"5"	"47"	"7"	"428"	"0"	"428"	"0"	""
"91"	"51"	"15"	"7"	"193"	"155"	"212"	"33"	"9"	"24"	"7"	"20"	"57"	"38"	"770"	"0"	"770"	"0"	""
"92"	"52"	"27"	"13"	"156"	"55"	"88"	"2"	"7"	"18"	"4"	"13"	"124"	"20"	"527"	"0"	"527"	"0"	""
"93"	"53"	"15"	"3"	"103"	"60"	"222"	"18"	"6"	"16"	"12"	"14"	"191"	"38"	"698"	"0"	"698"	"0"	""
"94"	"54"	"18"	"3"	"294"	"45"	"120"	"1"	"0"	"5"	"0"	"3"	"20"	"3"	"512"	"0"	"512"	"0"	""
"95"	"55"	"11"	"3"	"110"	"135"	"175"	"7"	"5"	"7"	"2"	"1"	"49"	"1"	"506"	"0"	"506"	"0"	""
"96"	"Total"	"231"	"73"	"2639"	"987"	"2280"	"180"	"47"	"158"	"55"	"96"	"841"	"177"	"7764"	"0"	"7764"	"0"	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"05- Lauria Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
