"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"ASHOK GAGAN"	"KAMESH WAR KUMAR"	"BHAI VIRENDR A"	"VINOD KUMAR SINGH"	"SRIKANT NIRALA"	"GOPAL SINGH"	"RAJARA M RAY"	"SANJEET KUMAR"	"ANAND KUMAR"	"JAVAHA R SINGH"	"DEVANA ND YADAV"	"MANJU DEVI"	"MAHESH KUMAR"	"MINA DEVI"	"VISHAL"	"SUDHIR KUMAR"	""	""	""	""
"2"	"1"	"11"	"10"	"83"	"12"	"299"	"12"	"1"	"2"	"8"	"10"	"11"	"17"	"8"	"9"	"3"	"14"	"510"	"0"	"510"	"0"
"3"	"2"	"10"	"23"	"163"	"8"	"125"	"4"	"1"	"1"	"3"	"2"	"5"	"8"	"7"	"9"	"7"	"9"	"385"	"0"	"385"	"0"
"4"	"3"	"3"	"4"	"253"	"4"	"88"	"6"	"3"	"2"	"3"	"3"	"18"	"9"	"6"	"23"	"2"	"12"	"439"	"0"	"439"	"0"
"5"	"4"	"3"	"7"	"182"	"3"	"90"	"3"	"2"	"3"	"8"	"1"	"13"	"6"	"7"	"22"	"5"	"9"	"364"	"0"	"364"	"0"
"6"	"5"	"24"	"5"	"307"	"10"	"56"	"8"	"1"	"4"	"5"	"2"	"9"	"5"	"2"	"18"	"5"	"13"	"474"	"0"	"474"	"0"
"7"	"6"	"14"	"9"	"242"	"4"	"190"	"8"	"3"	"3"	"9"	"3"	"18"	"6"	"2"	"9"	"8"	"9"	"537"	"0"	"537"	"0"
"8"	"7"	"2"	"11"	"154"	"5"	"116"	"0"	"1"	"4"	"7"	"4"	"14"	"4"	"3"	"13"	"9"	"9"	"356"	"0"	"356"	"0"
"9"	"8"	"1"	"9"	"331"	"10"	"166"	"4"	"0"	"2"	"6"	"12"	"20"	"4"	"4"	"16"	"1"	"6"	"592"	"0"	"592"	"0"
"10"	"9"	"4"	"11"	"519"	"5"	"49"	"0"	"1"	"1"	"1"	"6"	"3"	"0"	"2"	"26"	"2"	"13"	"643"	"0"	"643"	"0"
"11"	"10"	"11"	"9"	"293"	"12"	"53"	"2"	"0"	"1"	"3"	"1"	"11"	"0"	"2"	"16"	"2"	"10"	"426"	"0"	"426"	"0"
"12"	"11"	"6"	"10"	"175"	"6"	"161"	"3"	"1"	"1"	"7"	"1"	"9"	"3"	"5"	"6"	"4"	"9"	"407"	"0"	"407"	"0"
"13"	"12"	"4"	"4"	"170"	"9"	"26"	"1"	"2"	"1"	"2"	"3"	"0"	"4"	"4"	"15"	"1"	"4"	"250"	"0"	"250"	"0"
