"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"                                                                                           [ SEE RULE 56C(2) (c)]                                                                                            "	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 028- SITAMARHI CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 223975"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly/ Segment 28- Sitamarhi Assembly Constituency (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"8"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"10"	"1"	"1"	"52"	"17"	"5"	"246"	"269"	"12"	"8"	"32"	"641"	"0"	"641"	"0"	""
"11"	"2"	"2"	"37"	"8"	"10"	"284"	"273"	"13"	"4"	"20"	"649"	"0"	"649"	"0"	""
"12"	"3"	"3"	"91"	"4"	"1"	"179"	"48"	"6"	"4"	"20"	"353"	"0"	"353"	"0"	""
"13"	"4"	"4"	"19"	"13"	"5"	"379"	"27"	"6"	"3"	"35"	"487"	"0"	"487"	"0"	""
"14"	"5"	"5"	"10"	"4"	"2"	"282"	"282"	"8"	"1"	"18"	"607"	"0"	"607"	"0"	""
"15"	"6"	"6"	"15"	"5"	"4"	"330"	"172"	"10"	"2"	"17"	"555"	"0"	"555"	"0"	""
"16"	"7"	"7"	"57"	"18"	"4"	"160"	"234"	"16"	"9"	"15"	"513"	"0"	"513"	"0"	""
"17"	"8"	"8"	"21"	"6"	"5"	"421"	"110"	"8"	"1"	"19"	"591"	"0"	"591"	"0"	""
"18"	"9"	"9"	"8"	"11"	"5"	"417"	"263"	"2"	"4"	"15"	"725"	"0"	"725"	"0"	""
"19"	"10"	"10"	"101"	"64"	"13"	"147"	"383"	"19"	"9"	"24"	"760"	"0"	"760"	"0"	""
"20"	"11"	"11"	"117"	"6"	"2"	"51"	"128"	"5"	"4"	"18"	"331"	"0"	"331"	"0"	""
"21"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"22"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"23"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"24"	"12"	"12"	"87"	"19"	"2"	"360"	"366"	"12"	"8"	"22"	"876"	"0"	"876"	"0"	""
"25"	"13"	"13"	"56"	"14"	"7"	"257"	"407"	"13"	"8"	"36"	"798"	"0"	"798"	"0"	""
"26"	"14"	"14"	"76"	"18"	"8"	"300"	"505"	"14"	"5"	"29"	"955"	"0"	"955"	"0"	""
"27"	"15"	"15"	"30"	"6"	"2"	"291"	"69"	"4"	"1"	"10"	"413"	"0"	"413"	"0"	""
"28"	"16"	"16"	"88"	"12"	"10"	"164"	"251"	"16"	"6"	"22"	"569"	"0"	"569"	"0"	""
"29"	"17"	"17"	"226"	"22"	"11"	"197"	"266"	"16"	"7"	"34"	"779"	"0"	"779"	"0"	""
"30"	"18"	"18"	"48"	"10"	"7"	"133"	"215"	"16"	"1"	"27"	"457"	"0"	"457"	"0"	""
"31"	"19"	"18 d"	"16"	"4"	"2"	"128"	"242"	"4"	"1"	"17"	"414"	"0"	"414"	"0"	""
"32"	"20"	"19"	"44"	"11"	"3"	"94"	"647"	"10"	"3"	"11"	"823"	"0"	"823"	"0"	""
"33"	"21"	"20"	"21"	"15"	"6"	"253"	"213"	"6"	"8"	"19"	"541"	"0"	"541"	"0"	""
"34"	"22"	"20 d"	"12"	"17"	"1"	"215"	"119"	"1"	"2"	"16"	"383"	"0"	"383"	"0"	""
"35"	"23"	"21"	"4"	"5"	"2"	"93"	"187"	"6"	"2"	"9"	"308"	"0"	"308"	"0"	""
"36"	"24"	"22"	"79"	"39"	"4"	"455"	"162"	"11"	"10"	"31"	"791"	"0"	"791"	"0"	""
"37"	"25"	"23"	"73"	"14"	"59"	"145"	"303"	"13"	"9"	"18"	"634"	"0"	"634"	"0"	""
"38"	"26"	"24"	"47"	"6"	"4"	"463"	"103"	"9"	"2"	"20"	"654"	"0"	"654"	"0"	""
"39"	"27"	"25"	"30"	"4"	"1"	"298"	"179"	"3"	"2"	"19"	"536"	"0"	"536"	"0"	""
"40"	"28"	"26"	"22"	"8"	"11"	"520"	"66"	"6"	"6"	"24"	"663"	"0"	"663"	"0"	""
"41"	"29"	"27"	"40"	"21"	"6"	"402"	"405"	"13"	"5"	"30"	"922"	"0"	"922"	"0"	""
"42"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"43"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"44"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"45"	"30"	"28"	"28"	"29"	"3"	"277"	"127"	"9"	"3"	"15"	"491"	"0"	"491"	"0"	""
"46"	"31"	"29"	"12"	"15"	"4"	"225"	"71"	"4"	"3"	"5"	"339"	"0"	"339"	"0"	""
"47"	"32"	"30"	"83"	"5"	"1"	"179"	"68"	"3"	"1"	"12"	"352"	"0"	"352"	"0"	""
"48"	"33"	"31"	"14"	"10"	"8"	"108"	"365"	"3"	"4"	"10"	"522"	"0"	"522"	"0"	""
"49"	"34"	"31 d"	"22"	"12"	"6"	"80"	"421"	"10"	"6"	"8"	"565"	"0"	"565"	"0"	""
"50"	"35"	"32"	"3"	"28"	"15"	"46"	"333"	"10"	"3"	"2"	"440"	"0"	"440"	"0"	""
"51"	"36"	"33"	"13"	"12"	"4"	"211"	"21"	"3"	"2"	"8"	"274"	"0"	"274"	"0"	""
"52"	"37"	"34"	"5"	"7"	"1"	"237"	"54"	"2"	"1"	"7"	"314"	"0"	"314"	"0"	""
"53"	"38"	"35"	"8"	"24"	"5"	"78"	"206"	"4"	"1"	"9"	"335"	"0"	"335"	"0"	""
"54"	"39"	"36"	"5"	"15"	"10"	"79"	"231"	"5"	"0"	"5"	"350"	"0"	"350"	"0"	""
"55"	"40"	"37"	"12"	"41"	"3"	"477"	"23"	"4"	"4"	"14"	"578"	"0"	"578"	"0"	""
"56"	"41"	"38"	"27"	"24"	"2"	"90"	"634"	"9"	"8"	"12"	"806"	"0"	"806"	"0"	""
"57"	"42"	"39"	"35"	"10"	"3"	"64"	"519"	"4"	"1"	"6"	"642"	"0"	"642"	"0"	""
"58"	"43"	"40"	"40"	"26"	"4"	"32"	"431"	"6"	"2"	"5"	"546"	"0"	"546"	"0"	""
"59"	"44"	"41"	"21"	"8"	"4"	"234"	"356"	"6"	"6"	"14"	"649"	"0"	"649"	"0"	""
"60"	"45"	"42"	"10"	"9"	"2"	"206"	"304"	"13"	"3"	"17"	"564"	"0"	"564"	"0"	""
"61"	"46"	"43"	"9"	"10"	"4"	"306"	"18"	"0"	"0"	"26"	"373"	"0"	"373"	"0"	""
"62"	"47"	"44"	"140"	"8"	"3"	"63"	"534"	"15"	"4"	"15"	"782"	"0"	"782"	"0"	""
"63"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"64"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
