"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"6"	"Candidates Name -----
> BOOTH NO"	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"8"	"1"	"6"	"171"	"6"	"12"	"0"	"2"	"1"	"1"	"6"	"0"	"6"	"8"	"7"	"336"
"9"	"2"	"126"	"224"	"15"	"10"	"5"	"2"	"2"	"1"	"21"	"4"	"6"	"11"	"17"	"538"
"10"	"3"	"84"	"191"	"15"	"39"	"2"	"3"	"0"	"2"	"9"	"3"	"9"	"23"	"17"	"397"
"11"	"4"	"31"	"179"	"11"	"220"	"3"	"5"	"2"	"1"	"11"	"2"	"4"	"7"	"11"	"487"
"12"	"5"	"27"	"94"	"118"	"87"	"3"	"4"	"5"	"2"	"4"	"2"	"5"	"5"	"1"	"357"
"13"	"6"	"162"	"56"	"10"	"19"	"0"	"3"	"0"	"0"	"5"	"1"	"1"	"3"	"5"	"265"
"14"	"7"	"142"	"213"	"15"	"10"	"1"	"2"	"3"	"6"	"4"	"3"	"10"	"9"	"38"	"456"
"15"	"8"	"8"	"365"	"34"	"227"	"0"	"1"	"1"	"2"	"7"	"1"	"2"	"1"	"5"	"654"
"16"	"9"	"108"	"66"	"10"	"38"	"2"	"1"	"1"	"0"	"1"	"3"	"1"	"3"	"6"	"240"
"17"	"10"	"72"	"188"	"19"	"73"	"5"	"1"	"3"	"2"	"0"	"3"	"10"	"17"	"18"	"411"
"18"	"11"	"10"	"121"	"10"	"12"	"1"	"3"	"0"	"1"	"0"	"2"	"2"	"14"	"11"	"187"
"19"	"12"	"24"	"260"	"71"	"12"	"0"	"1"	"4"	"2"	"5"	"4"	"13"	"5"	"20"	"533"
"20"	"13"	"223"	"214"	"5"	"12"	"1"	"0"	"1"	"0"	"1"	"2"	"4"	"14"	"18"	"495"
"21"	"14"	"150"	"63"	"5"	"11"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"7"	"242"
"22"	"15"	"59"	"317"	"11"	"51"	"7"	"0"	"0"	"1"	"4"	"2"	"8"	"6"	"6"	"472"
"23"	"16"	"167"	"319"	"22"	"40"	"6"	"11"	"2"	"2"	"5"	"10"	"23"	"30"	"44"	"681"
"24"	"17"	"249"	"62"	"3"	"19"	"4"	"5"	"1"	"1"	"0"	"3"	"4"	"7"	"31"	"389"
"25"	"18"	"108"	"160"	"9"	"41"	"3"	"3"	"0"	"0"	"4"	"1"	"11"	"18"	"39"	"397"
"26"	"19"	"105"	"284"	"20"	"16"	"13"	"3"	"1"	"3"	"18"	"6"	"13"	"18"	"39"	"683"
"27"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	""	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"33"	"Candidates Name -----
> BOOTH NO"	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"34"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"35"	"20"	"119"	"128"	"13"	"53"	"0"	"1"	"1"	"2"	"13"	"11"	"9"	"13"	"32"	"395"
"36"	"21"	"242"	"176"	"13"	"86"	"4"	"1"	"2"	"5"	"67"	"4"	"9"	"13"	"22"	"644"
"37"	"22"	"305"	"42"	"23"	"72"	"3"	"4"	"5"	"2"	"4"	"2"	"2"	"5"	"17"	"486"
"38"	"23"	"3"	"196"	"45"	"147"	"3"	"12"	"7"	"0"	"14"	"1"	"10"	"12"	"21"	"502"
"39"	"24"	"5"	"109"	"7"	"184"	"2"	"3"	"3"	"1"	"2"	"0"	"8"	"6"	"14"	"397"
"40"	"25"	"199"	"117"	"7"	"93"	"4"	"2"	"1"	"1"	"1"	"9"	"10"	"15"	"39"	"498"
"41"	"26"	"3"	"69"	"7"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"4"	"130"
"42"	"27"	"194"	"314"	"38"	"17"	"1"	"0"	"0"	"2"	"38"	"6"	"15"	"24"	"21"	"670"
"43"	"28"	"353"	"231"	"12"	"48"	"1"	"4"	"2"	"0"	"5"	"11"	"8"	"12"	"29"	"716"
"44"	"29"	"115"	"163"	"12"	"80"	"3"	"4"	"0"	"1"	"6"	"1"	"12"	"12"	"11"	"420"
"45"	"30"	"157"	"63"	"3"	"2"	"1"	"1"	"0"	"1"	"4"	"0"	"0"	"3"	"3"	"238"
"46"	"31"	"212"	"110"	"6"	"13"	"0"	"0"	"0"	"3"	"10"	"2"	"5"	"3"	"10"	"374"
"47"	"32"	"9"	"56"	"7"	"8"	"1"	"2"	"0"	"2"	"7"	"4"	"4"	"7"	"21"	"218"
"48"	"33"	"146"	"160"	"7"	"14"	"0"	"3"	"1"	"3"	"33"	"6"	"4"	"3"	"6"	"386"
"49"	"34"	"208"	"130"	"11"	"64"	"5"	"5"	"1"	"1"	"18"	"4"	"5"	"8"	"20"	"480"
"50"	"35"	"227"	"39"	"6"	"72"	"1"	"2"	"3"	"4"	"44"	"2"	"2"	"7"	"15"	"424"
