"Candidates.Name"	"AJIT.CHAUD.HARY"	"ARVIND.SINGH"	"KEDAR.SINGH"	"DILMA.RNI.DEVI"	"BINODH.AR.OJHA"	"SATYEN.DRA.KUMAR"	"ANIL.KUM.AR.PRAS.AD"	"GOPA.L.YADA.V"	"DADAN.YADAV"	"PRAMOD.SINGH"	"MANOJ.KUMAR.SINGH"	"SHIV.NARAYAN.SINGH"	"SAYEEDU.L.AZAM"	"INDU.DEVI"	"KIRAN.MISHRA"	"KRISHN.A.MURARI.THAKU.R"	"DHARM.ENDRA.KUMAR.SINGH"	"PARASUR.AM.PRASAD.TATAWA"	"RAJU.MISHRA"	"SHAMB.HU.PRASAD.SHARM.A"	"SHIVNATH.RAM"	"SHIV.SHANKA.R.DAS"	"SARVESH.KUMAR.SINI"	"HAREN.DRA.PRASA.D.RAM"	"ASHOK.KUMAR.OJHA"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"27"	""
"3"	"1"	"203"	"17"	"10"	"72"	"4"	"1"	"3"	"1"	"49"	"0"	"4"	"0"	"4"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"374"
"4"	"2"	"97"	"4"	"12"	"241"	"3"	"11"	"0"	"2"	"25"	"3"	"2"	"2"	"0"	"1"	"1"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"411"
"5"	"3"	"208"	"14"	"17"	"81"	"4"	"7"	"2"	"4"	"64"	"3"	"5"	"3"	"3"	"2"	"3"	"6"	"7"	"7"	"3"	"1"	"10"	"0"	"2"	"2"	"3"	"461"
"6"	"4"	"104"	"80"	"10"	"210"	"11"	"0"	"6"	"1"	"16"	"0"	"6"	"1"	"4"	"1"	"0"	"4"	"6"	"3"	"2"	"4"	"2"	"2"	"0"	"2"	"8"	"483"
"7"	"5"	"212"	"22"	"22"	"179"	"5"	"26"	"6"	"9"	"102"	"5"	"5"	"2"	"7"	"7"	"2"	"10"	"8"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"641"
"8"	"6"	"6"	"11"	"8"	"123"	"0"	"4"	"2"	"0"	"36"	"0"	"0"	"0"	"3"	"0"	"0"	"5"	"5"	"1"	"1"	"2"	"0"	"1"	"2"	"0"	"1"	"211"
"9"	"7"	"61"	"28"	"23"	"107"	"6"	"50"	"4"	"5"	"92"	"4"	"6"	"1"	"9"	"2"	"1"	"15"	"13"	"4"	"2"	"4"	"3"	"4"	"2"	"2"	"20"	"468"
"10"	"8"	"178"	"8"	"15"	"16"	"3"	"5"	"4"	"9"	"311"	"5"	"2"	"1"	"2"	"3"	"4"	"12"	"3"	"9"	"2"	"1"	"3"	"0"	"2"	"2"	"9"	"609"
"11"	"9"	"101"	"1"	"10"	"15"	"2"	"1"	"0"	"2"	"342"	"2"	"1"	"0"	"0"	"2"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"483"
"12"	"10"	"134"	"27"	"9"	"99"	"2"	"2"	"0"	"1"	"25"	"3"	"0"	"0"	"2"	"3"	"0"	"2"	"6"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"10"	"328"
"13"	"11"	"280"	"24"	"8"	"95"	"0"	"11"	"0"	"7"	"114"	"3"	"1"	"3"	"5"	"2"	"2"	"18"	"17"	"6"	"3"	"0"	"6"	"0"	"0"	"2"	"7"	"614"
"14"	"12"	"66"	"12"	"17"	"183"	"8"	"4"	"1"	"1"	"64"	"2"	"9"	"6"	"3"	"2"	"2"	"7"	"1"	"4"	"2"	"4"	"1"	"3"	"1"	"1"	"64"	"468"
"15"	"12A"	"118"	"3"	"10"	"144"	"3"	"11"	"1"	"0"	"109"	"1"	"5"	"1"	"5"	"0"	"2"	"8"	"3"	"2"	"0"	"4"	"1"	"1"	"0"	"1"	"9"	"442"
"16"	"13"	"33"	"13"	"10"	"330"	"4"	"9"	"1"	"2"	"56"	"4"	"22"	"1"	"10"	"4"	"2"	"10"	"6"	"3"	"1"	"8"	"2"	"1"	"1"	"0"	"63"	"596"
"17"	"14"	"167"	"7"	"21"	"254"	"1"	"21"	"2"	"1"	"57"	"1"	"1"	"2"	"2"	"1"	"4"	"6"	"8"	"5"	"2"	"2"	"0"	"1"	"0"	"3"	"11"	"580"
"18"	"15"	"196"	"2"	"29"	"196"	"4"	"12"	"2"	"7"	"198"	"5"	"6"	"5"	"4"	"2"	"5"	"3"	"3"	"12"	"2"	"1"	"8"	"1"	"1"	"0"	"2"	"706"
"19"	"16"	"151"	"15"	"14"	"112"	"2"	"8"	"2"	"0"	"84"	"1"	"8"	"2"	"4"	"1"	"1"	"2"	"8"	"3"	"0"	"2"	"3"	"1"	"0"	"0"	"2"	"426"
"20"	"17"	"137"	"11"	"41"	"61"	"2"	"51"	"4"	"5"	"78"	"4"	"6"	"1"	"2"	"4"	"1"	"13"	"15"	"7"	"0"	"5"	"5"	"3"	"4"	"4"	"9"	"473"
