"Candidates.Name"	"MD..ALI.ISHRAT"	"ASGHAR.HASAN"	"RAM.SURAT.RAI"	"SURENDRA.KUMAR"	"SULEMAN.KHAN"	"GANESH...P..YADAV"	"DURGA.DEVI"	"MD..PARWEZ.HASHMI"	"MOJAMM.IL.HUSAIN"	"RAM.BABU.SHARM"	"VINAY.KUMAR"	"MD..SAMSHED"	"KRANTI.PRAKASH"	"DINESH.DAS"	"NAREN.DRA.KUMAR"	"SHASHI.BHUSHAN..P..SHAHI"	"Total"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	1	7	6	229	78	7	52	4	0	4	2	4	5	12	15	11	48	484
"4"	2	5	18	252	73	1	51	4	5	4	1	9	16	13	28	14	68	562
"5"	3	27	15	138	33	10	97	9	4	10	4	6	11	5	7	5	67	448
"6"	4	14	10	197	55	10	265	10	4	12	10	11	8	11	27	17	184	845
"7"	5	10	11	178	323	11	38	1	7	4	10	10	22	30	26	7	33	721
"8"	6	11	50	199	111	8	32	8	6	10	3	3	10	9	7	3	32	502
"9"	7	5	17	162	8	5	302	8	8	12	5	24	16	12	12	6	63	665
"10"	8	11	4	158	159	9	75	2	4	5	4	5	8	11	8	2	6	471
"11"	9	5	4	163	104	7	98	4	3	7	0	1	7	13	7	10	9	442
"12"	10	8	10	237	73	3	17	1	2	2	5	4	16	10	16	9	72	485
"13"	11	3	4	71	7	0	97	2	1	1	2	2	6	2	5	6	103	312
"14"	12	8	3	26	420	6	8	0	0	1	0	0	2	9	4	0	0	487
"15"	13	9	3	24	414	5	19	0	1	0	1	0	2	5	2	3	2	490
"16"	14	21	9	154	45	13	259	11	5	5	4	16	15	6	11	7	212	793
"17"	15	9	8	148	87	9	166	12	5	5	3	18	22	16	22	10	199	739
"18"	16	1	47	234	136	6	48	5	5	1	0	4	9	4	13	2	99	614
"19"	17	8	5	67	42	3	32	2	0	0	7	1	2	5	5	4	74	257
"20"	18	7	28	49	210	4	26	3	3	3	0	1	6	4	4	6	141	495
"21"	19	2	82	12	5	1	11	0	1	0	3	2	3	3	6	4	126	261
"22"	20	7	9	216	151	4	74	2	6	2	8	3	9	11	17	5	44	568
"23"	21	3	5	108	7	2	73	1	0	0	0	1	2	6	1	5	478	692
"24"	22	2	7	50	26	4	97	3	5	3	1	8	5	2	15	5	437	670
"25"	23	4	1	134	10	3	177	5	1	3	4	2	2	2	10	3	14	375
"26"	24	15	125	145	57	2	31	3	2	0	4	3	3	3	7	5	81	486
