"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…78 - Kusheshwar Asthan (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment .. 198420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"9"	""	""	"Dr. Ashok Kumar"	"Ram Chandra Paswan"	"Ram Sudhari
Sada"	"Shashi Bhushan
Hajari"	"Sangeeta Bharti"	""	"Amr endra Kumar Sada"	"Ganesh Kumar"	"Mahendra Kumar Paswan"	"Lal Bahadur
Sada"	"Krishna Kant Ram"	"Ram Bahadur Bharti"	"Ramottar Paswan"	""	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	""
"11"	"1"	"1"	"55"	"33"	"3"	"257"	"8"	""	"4"	"3"	"4"	"7"	"4"	"10"	"14"	""	"402"	"-"	"402"	""	""
"12"	"2"	"2"	"86"	"65"	"8"	"156"	"8"	""	"1"	"12"	"3"	"1"	"3"	"15"	"25"	""	"383"	"-"	"383"	""	""
"13"	"3"	"3"	"43"	"319"	"9"	"49"	"8"	""	"4"	"4"	"1"	"1"	"2"	"23"	"26"	""	"489"	"-"	"489"	""	""
"14"	"4"	"4"	"89"	"170"	"8"	"86"	"3"	""	"1"	"7"	"0"	"7"	"4"	"6"	"28"	""	"409"	"-"	"409"	""	""
"15"	"5"	"5"	"133"	"145"	"12"	"117"	"13"	""	"4"	"9"	"3"	"8"	"4"	"9"	"16"	""	"473"	"-"	"473"	""	""
"16"	"6"	"6"	"44"	"418"	"9"	"22"	"1"	""	"1"	"12"	"2"	"0"	"6"	"19"	"30"	""	"564"	"-"	"564"	""	""
"17"	"7"	"7"	"146"	"14"	"2"	"126"	"0"	""	"4"	"4"	"4"	"8"	"4"	"5"	"8"	""	"325"	"-"	"325"	""	""
"18"	"8"	"7A"	"117"	"43"	"0"	"111"	"5"	""	"4"	"2"	"1"	"7"	"3"	"11"	"9"	""	"313"	"-"	"313"	""	""
"19"	"9"	"8"	"196"	"49"	"8"	"158"	"13"	""	"2"	"2"	"9"	"21"	"7"	"22"	"39"	""	"526"	"-"	"526"	""	""
"20"	"10"	"9"	"54"	"128"	"7"	"55"	"3"	""	"1"	"3"	"3"	"4"	"2"	"17"	"37"	""	"314"	"-"	"314"	""	""
"21"	"11"	"10"	"128"	"47"	"7"	"91"	"8"	""	"6"	"11"	"8"	"12"	"11"	"29"	"88"	""	"446"	"-"	"446"	""	""
"22"	"12"	"11"	"130"	"73"	"10"	"170"	"14"	""	"6"	"17"	"4"	"9"	"14"	"18"	"29"	""	"494"	"-"	"494"	""	""
"23"	"13"	"12"	"146"	"38"	"3"	"233"	"7"	""	"5"	"8"	"3"	"10"	"3"	"5"	"30"	""	"491"	"-"	"491"	""	""
"24"	"14"	"13"	"168"	"186"	"16"	"13"	"6"	""	"5"	"62"	"5"	"27"	"14"	"17"	"70"	""	"589"	"-"	"589"	""	""
