"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 044---Triveniganj(sc) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :044---Triveniganj(sc)"	""	""	""	""	""	""	""	"No of Voters :208887"	""	""	""	""	""	""
"4"	"Candidates  Name"	"ANANT KUMAR BHARTI"	"AMLA DEVI"	"GITA DEVI"	"SURENDRA NARAYAN SARDAR"	"KAMESHWAR PASWAN"	"KUMARI SHOBHA"	"GHANSHYAM RAM"	"MAHENDRA RISHIDEO"	"SHIV CHANDRA RAM"	"ANMOL RISHIDEO"	"UJINE"	"RENU KUMARI"	"SUDHA KUMARI"	"Total Valid Votes"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"6"	"1"	"83"	"153"	"5"	"47"	"1"	"2"	"2"	"2"	"3"	"11"	"1"	"4"	"6"	"320"
"7"	"2"	"134"	"99"	"3"	"103"	"1"	"4"	"1"	"2"	"5"	"10"	"3"	"5"	"18"	"388"
"8"	"3"	"31"	"67"	"4"	"151"	"5"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"5"	"275"
"9"	"4"	"66"	"307"	"4"	"44"	"4"	"4"	"1"	"8"	"12"	"9"	"6"	"10"	"18"	"493"
"10"	"5"	"163"	"204"	"11"	"56"	"7"	"2"	"0"	"3"	"7"	"4"	"4"	"9"	"20"	"490"
"11"	"6"	"312"	"235"	"6"	"29"	"5"	"5"	"7"	"5"	"2"	"13"	"5"	"9"	"41"	"674"
"12"	"7"	"77"	"266"	"10"	"37"	"2"	"1"	"2"	"3"	"3"	"1"	"3"	"1"	"10"	"416"
"13"	"8"	"283"	"157"	"5"	"2"	"0"	"4"	"5"	"1"	"3"	"2"	"8"	"4"	"24"	"498"
"14"	"9"	"30"	"201"	"8"	"155"	"3"	"1"	"3"	"3"	"7"	"11"	"4"	"16"	"16"	"458"
"15"	"9A"	"35"	"197"	"3"	"84"	"1"	"2"	"2"	"4"	"3"	"2"	"3"	"15"	"21"	"372"
"16"	"10"	"199"	"184"	"5"	"42"	"2"	"6"	"2"	"2"	"7"	"10"	"3"	"8"	"6"	"476"
"17"	"11"	"138"	"508"	"9"	"14"	"4"	"4"	"4"	"5"	"8"	"7"	"7"	"13"	"27"	"748"
"18"	"12"	"242"	"261"	"6"	"11"	"1"	"6"	"3"	"5"	"4"	"6"	"4"	"1"	"6"	"556"
"19"	"13"	"95"	"221"	"12"	"91"	"3"	"9"	"6"	"9"	"12"	"7"	"3"	"6"	"5"	"479"
"20"	"14"	"197"	"391"	"7"	"6"	"0"	"10"	"0"	"2"	"7"	"6"	"1"	"5"	"11"	"643"
"21"	"15"	"354"	"157"	"11"	"90"	"6"	"8"	"3"	"5"	"3"	"4"	"0"	"3"	"9"	"653"
"22"	"16"	"277"	"289"	"7"	"109"	"5"	"8"	"1"	"6"	"10"	"10"	"7"	"6"	"11"	"746"
"23"	"17"	"344"	"306"	"8"	"19"	"1"	"10"	"6"	"2"	"3"	"13"	"3"	"9"	"21"	"745"
"24"	"18"	"352"	"136"	"6"	"20"	"5"	"10"	"4"	"0"	"2"	"8"	"2"	"2"	"8"	"555"
"25"	"19"	"64"	"466"	"7"	"10"	"1"	"5"	"5"	"3"	"6"	"1"	"0"	"4"	"3"	"575"
"26"	"20"	"40"	"479"	"5"	"8"	"1"	"1"	"0"	"2"	"3"	"2"	"4"	"5"	"4"	"554"
"27"	"21"	"144"	"450"	"8"	"12"	"4"	"4"	"1"	"2"	"2"	"6"	"0"	"10"	"12"	"655"
"28"	"22"	"127"	"320"	"5"	"24"	"4"	"7"	"9"	"4"	"4"	"8"	"6"	"10"	"25"	"553"
"29"	"23"	"210"	"620"	"10"	"17"	"5"	"3"	"4"	"6"	"13"	"13"	"6"	"16"	"49"	"972"
"30"	"24"	"60"	"392"	"7"	"39"	"1"	"1"	"2"	"0"	"1"	"2"	"3"	"4"	"9"	"521"
"31"	"25"	"258"	"331"	"4"	"13"	"5"	"3"	"2"	"4"	"4"	"8"	"1"	"10"	"23"	"666"
"32"	"26"	"100"	"217"	"2"	"1"	"0"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"4"	"335"
"33"	"27"	"323"	"104"	"4"	"6"	"0"	"9"	"5"	"1"	"4"	"19"	"4"	"3"	"17"	"499"
"34"	"27A"	"68"	"286"	"4"	"7"	"0"	"0"	"4"	"4"	"13"	"16"	"4"	"11"	"18"	"435"
"35"	"28"	"161"	"448"	"9"	"17"	"5"	"8"	"7"	"7"	"8"	"20"	"2"	"1"	"4"	"697"
"36"	"29"	"231"	"519"	"8"	"21"	"2"	"9"	"2"	"3"	"9"	"18"	"5"	"8"	"18"	"853"
"37"	"30"	"98"	"291"	"3"	"34"	"0"	"2"	"0"	"3"	"5"	"6"	"3"	"8"	"8"	"461"
"38"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 044---Triveniganj(sc) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Assembly Constituency :044---Triveniganj(sc)"	""	""	""	""	""	""	""	"No of Voters :208887"	""	""	""	""	""	""
