"Booth.No."	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"
"1"	""	"Zakir Hussain Khan"	"Narayan Kumar Jha"	"Mahboob Alam"	"Moidur Rahman"	"Shiv Shankar Das"	"Sushil Kumar Biswas"	"Ajay Kumar Jha"	"Anil Kumar"	"Gagan Kumar Jha"	"Nasim"	"Pramod Singh Yadav"	"Manzoor Alam"	"Mohammad Haider Yasin"	"Sita Ram Bishwas"	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"9"
"3"	"1"	"54"	"175"	"10"	"3"	"2"	"3"	"81"	"7"	"7"	"1"	"1"	"0"	"4"	"3"	"351"
"4"	"1A"	"91"	"70"	"6"	"8"	"4"	"22"	"169"	"15"	"12"	"4"	"3"	"1"	"10"	"15"	"430"
"5"	"2"	"75"	"318"	"10"	"13"	"1"	"8"	"94"	"8"	"6"	"5"	"6"	"2"	"9"	"9"	"564"
"6"	"3"	"84"	"151"	"9"	"17"	"0"	"13"	"80"	"21"	"19"	"12"	"16"	"6"	"13"	"21"	"462"
"7"	"4"	"34"	"462"	"7"	"20"	"3"	"7"	"188"	"10"	"8"	"4"	"4"	"5"	"21"	"36"	"809"
"8"	"5"	"138"	"678"	"18"	"14"	"4"	"14"	"43"	"54"	"8"	"4"	"9"	"4"	"5"	"14"	"1007"
"9"	"6"	"106"	"591"	"15"	"4"	"1"	"1"	"14"	"8"	"5"	"4"	"4"	"2"	"4"	"6"	"765"
"10"	"7"	"185"	"449"	"7"	"7"	"1"	"0"	"33"	"4"	"6"	"0"	"7"	"2"	"4"	"1"	"706"
"11"	"8"	"58"	"562"	"9"	"14"	"0"	"2"	"2"	"0"	"4"	"1"	"2"	"0"	"2"	"12"	"668"
"12"	"9"	"406"	"167"	"6"	"8"	"1"	"4"	"18"	"3"	"6"	"2"	"5"	"1"	"3"	"28"	"658"
"13"	"10"	"31"	"278"	"7"	"19"	"4"	"27"	"145"	"10"	"8"	"4"	"8"	"6"	"13"	"15"	"575"
"14"	"11"	"19"	"762"	"15"	"4"	"3"	"3"	"39"	"0"	"3"	"2"	"3"	"5"	"17"	"19"	"894"
"15"	"12"	"39"	"519"	"14"	"19"	"2"	"15"	"225"	"9"	"14"	"11"	"4"	"8"	"17"	"20"	"916"
"16"	"13"	"104"	"639"	"14"	"11"	"4"	"11"	"140"	"6"	"4"	"0"	"10"	"4"	"2"	"29"	"978"
"17"	"14"	"355"	"318"	"8"	"15"	"2"	"12"	"99"	"13"	"6"	"8"	"10"	"6"	"23"	"30"	"905"
"18"	"15"	"16"	"309"	"3"	"9"	"3"	"14"	"181"	"8"	"4"	"4"	"6"	"4"	"11"	"4"	"576"
"19"	"16"	"63"	"329"	"3"	"32"	"4"	"21"	"295"	"17"	"5"	"3"	"8"	"4"	"6"	"18"	"808"
"20"	"17"	"153"	"142"	"3"	"16"	"3"	"1"	"41"	"4"	"2"	"1"	"4"	"2"	"6"	"15"	"393"
"21"	"18"	"145"	"34"	"1"	"12"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"1"	"3"	"4"	"204"
"22"	"19"	"342"	"30"	"3"	"8"	"0"	"4"	"5"	"2"	"1"	"0"	"7"	"1"	"38"	"13"	"454"
"23"	"20"	"343"	"60"	"4"	"16"	"3"	"4"	"10"	"4"	"9"	"5"	"4"	"5"	"87"	"27"	"581"
"24"	"21"	"234"	"13"	"3"	"90"	"2"	"4"	"5"	"3"	"12"	"2"	"3"	"2"	"156"	"14"	"543"
"25"	"21A"	"177"	"5"	"1"	"105"	"2"	"2"	"6"	"0"	"2"	"0"	"2"	"5"	"84"	"12"	"403"
"26"	"22"	"264"	"173"	"6"	"8"	"0"	"8"	"70"	"5"	"2"	"1"	"5"	"2"	"26"	"12"	"582"
"27"	"23"	"287"	"109"	"8"	"31"	"3"	"15"	"175"	"10"	"3"	"2"	"3"	"1"	"35"	"21"	"703"
"28"	"24"	"477"	"22"	"12"	"27"	"0"	"5"	"4"	"8"	"3"	"0"	"5"	"1"	"239"	"13"	"816"
"29"	"25"	"87"	"6"	"6"	"103"	"5"	"7"	"28"	"5"	"6"	"4"	"6"	"12"	"457"	"43"	"775"
"30"	"26"	"79"	"11"	"6"	"196"	"2"	"4"	"45"	"10"	"4"	"4"	"11"	"10"	"179"	"12"	"573"
"31"	"27"	"19"	"64"	"1"	"3"	"1"	"15"	"157"	"4"	"3"	"1"	"3"	"1"	"10"	"0"	"282"
