"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 192---Sandesh CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :192---Sandesh                                                                                                                                                                                                                                                                                                                No of Voters :213076"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""
"6"	""	"JITENDRA KUMAR SINGH"	"BIJENDRA KUMAR YADAV"	"SHASHI KUMAR SINGH"	"SHEO BIHARI ROY"	"SANJAY SINGH(TIGER)"	"BAIJNATH YADAV"	"RAMESHWAR PRASAD"	"SATYENDRA MEHTA"	"ARUN KUMAR"	"KRISHNA PRASAD GUPTA"	"JITENDRA KUMAR"	"DAROGA THAKUR"	"MITHILESH KUMAR"	"DR. RABINDRA NATH SINGH"	"RAJEEV KUMAR"	"SANJAY SINGH"	"SANOJ KUMAR"	"SUNIL KUMAR TIWARY"	"HALIM MANSURI"	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"8"	"1"	"10"	"114"	"10"	"2"	"163"	"1"	"3"	"6"	"23"	"1"	"2"	"5"	"0"	"1"	"2"	"18"	"1"	"4"	"2"	""	"368"	""
"9"	"2"	"10"	"44"	"8"	"4"	"494"	"9"	"67"	"5"	"9"	"2"	"3"	"12"	"1"	"4"	"5"	"60"	"11"	"9"	"11"	""	"768"	""
"10"	"3"	"13"	"115"	"13"	"11"	"174"	"10"	"215"	"12"	"9"	"4"	"7"	"8"	"1"	"6"	"7"	"69"	"4"	"2"	"7"	""	"687"	""
"11"	"4"	"8"	"55"	"6"	"3"	"557"	"11"	"18"	"2"	"8"	"2"	"1"	"10"	"0"	"1"	"3"	"66"	"4"	"2"	"3"	""	"760"	""
"12"	"5"	"6"	"148"	"36"	"4"	"292"	"7"	"14"	"1"	"8"	"2"	"3"	"17"	"2"	"9"	"2"	"41"	"0"	"2"	"1"	""	"595"	""
"13"	"6"	"2"	"6"	"6"	"4"	"274"	"5"	"11"	"2"	"1"	"1"	"2"	"3"	"1"	"1"	"2"	"12"	"0"	"3"	"0"	""	"336"	""
"14"	"7"	"7"	"116"	"6"	"36"	"267"	"6"	"82"	"7"	"30"	"2"	"3"	"8"	"1"	"2"	"5"	"17"	"2"	"5"	"3"	""	"605"	""
"15"	"8"	"13"	"99"	"25"	"2"	"317"	"4"	"1"	"4"	"30"	"2"	"5"	"9"	"4"	"2"	"14"	"156"	"1"	"4"	"2"	""	"694"	""
"16"	"9"	"6"	"28"	"4"	"2"	"221"	"3"	"38"	"1"	"11"	"5"	"2"	"8"	"1"	"1"	"4"	"70"	"0"	"2"	"7"	""	"414"	""
"17"	"10"	"2"	"38"	"4"	"1"	"49"	"2"	"24"	"3"	"21"	"1"	"3"	"5"	"0"	"3"	"5"	"62"	"3"	"4"	"3"	""	"233"	""
