"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"100&  cj kSy h  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"4"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"6"	"1"	"10"	"4"	"3"	"144"	"350"	"9"	"2"	"5"	"17"	"10"	"3"	"8"	"4"	"16"	"585"	"0"	"585"	""
"7"	"2"	"120"	"62"	"9"	"353"	"187"	"4"	"7"	"7"	"5"	"6"	"3"	"8"	"13"	"18"	"802"	"0"	"802"	""
"8"	"3"	"23"	"21"	"7"	"343"	"276"	"5"	"1"	"3"	"1"	"3"	"3"	"7"	"7"	"13"	"713"	"0"	"713"	""
"9"	"4"	"16"	"6"	"3"	"30"	"479"	"9"	"5"	"3"	"4"	"5"	"2"	"2"	"4"	"15"	"583"	"0"	"583"	""
"10"	"5"	"24"	"33"	"16"	"355"	"180"	"5"	"3"	"6"	"10"	"9"	"11"	"7"	"12"	"26"	"697"	"0"	"697"	""
"11"	"6"	"30"	"21"	"3"	"220"	"243"	"9"	"2"	"5"	"6"	"4"	"5"	"4"	"3"	"11"	"566"	"0"	"566"	""
"12"	"7"	"17"	"43"	"7"	"249"	"120"	"3"	"3"	"4"	"3"	"2"	"1"	"4"	"0"	"4"	"460"	"0"	"460"	""
"13"	"8"	"14"	"43"	"8"	"38"	"124"	"5"	"2"	"1"	"1"	"0"	"1"	"5"	"95"	"14"	"351"	"0"	"351"	""
"14"	"9"	"20"	"51"	"11"	"55"	"221"	"27"	"7"	"3"	"1"	"5"	"4"	"6"	"116"	"9"	"536"	"0"	"536"	""
"15"	"10"	"28"	"7"	"4"	"283"	"47"	"11"	"14"	"8"	"3"	"4"	"12"	"6"	"33"	"6"	"466"	"0"	"466"	""
"16"	"11"	"22"	"13"	"8"	"202"	"84"	"16"	"22"	"3"	"5"	"2"	"2"	"8"	"67"	"11"	"465"	"0"	"465"	""
"17"	"12"	"40"	"8"	"8"	"69"	"202"	"4"	"23"	"11"	"10"	"1"	"5"	"270"	"25"	"10"	"686"	"0"	"686"	""
"18"	"13"	"15"	"7"	"1"	"46"	"170"	"5"	"216"	"3"	"3"	"6"	"3"	"3"	"45"	"7"	"530"	"0"	"530"	""
"19"	"14"	"4"	"71"	"4"	"131"	"139"	"4"	"3"	"2"	"5"	"3"	"1"	"10"	"8"	"12"	"397"	"0"	"397"	""
"20"	"; ksx"	"383"	"390"	"92"	"2518"	"2822"	"116"	"310"	"64"	"74"	"60"	"56"	"348"	"432"	"172"	"7837"	"0"	"7837"	""
"21"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"22"	"d qy  ; ksx"	"383"	"390"	"92"	"2518"	"2822"	"116"	"310"	"64"	"74"	"60"	"56"	"348"	"432"	"172"	"7837"	"0"	"7837"	""
"23"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"24"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"25"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
