"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"
"1"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"7"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"8"	""	""	""	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"T"	""	""	""	""
"9"	"1"	""	"1"	"9"	"531"	"4"	""	"1"	"6"	"5"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	"2"	"0"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"5"	"583"	""	"583"	""	""
"10"	"2"	""	"2"	"5"	"72"	"146"	""	"6"	"5"	"20"	"1"	"1"	"3"	"1"	"4"	"0"	"2"	"3"	"7"	"14"	"3"	"6"	"5"	"4"	"0"	"10"	"1"	"0"	"2"	"5"	"5"	"26"	"4"	"9"	"33"	"403"	""	"403"	""	""
"11"	"3"	""	"3"	"1"	"145"	"246"	""	"8"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	"1"	"2"	"1"	"1"	"3"	"429"	""	"429"	""	""
"12"	"4"	""	"4"	"3"	"51"	"320"	""	"4"	"61"	"49"	"2"	"3"	"0"	"0"	"1"	"2"	"15"	"4"	"3"	"88"	"3"	"2"	"5"	"3"	"2"	"10"	"0"	"0"	"1"	"0"	"1"	"5"	"2"	"1"	"14"	"655"	""	"655"	""	""
"13"	"5"	""	"5"	"3"	"196"	"44"	""	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"264"	""	"264"	""	""
"14"	"6"	""	"6"	"0"	"6"	"32"	""	"0"	"4"	"42"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"3"	"2"	"3"	"2"	"1"	"1"	"0"	"9"	"1"	"2"	"115"	"228"	""	"228"	""	""
"15"	"7"	""	"7"	"7"	"86"	"51"	""	"2"	"20"	"111"	"2"	"0"	"0"	"1"	"1"	"0"	"7"	"1"	"0"	"7"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"7"	"0"	"1"	"3"	"313"	""	"313"	""	""
"16"	"8"	""	"8"	"2"	"101"	"8"	""	"0"	"2"	"143"	"4"	"0"	"15"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"284"	""	"284"	""	""
"17"	"9"	""	"9"	"3"	"14"	"121"	""	"6"	"43"	"76"	"2"	"0"	"2"	"3"	"0"	"3"	"3"	"5"	"4"	"26"	"2"	"1"	"0"	"1"	"1"	"9"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"2"	"3"	"334"	""	"334"	""	""
