"Candidate.s..Name"	"ANANT.KUMAR.SATYARTHY"	"PRITAM.SINGH"	"RAKESH.KUMAR"	"RAJEEV.RANJAN.SINGH"	"SHABNAM.PERWIN"	"KAILASH.SINGH.NISHAD"	"CHHAVI.KUMAR"	"ZAFAR.AHMAD"	"TRIDEO.SINGH"	"MANOJ.KUMAR.YADAY"	"RAMDEO.SINGH.YADAV"	"RAMBILASH.NISHAD"	"VIRENDRA.BHARTI"	"SUNIL.SOLANKI..SAHA."	"UCHIT.KUMAR"	"DASRATH.DAS"	"DEVAN.YADAV"	"NACHI.KETA"	"MUKESH.KUMAR.SINGH"	"SUNIL.KUMAR"	"Total"
"1"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"5"	"1"	"4"	"8"	"0"	"0"	"148"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"11"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"174"
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"2"	"145"	"50"	"2"	"2"	"147"	"6"	"14"	"5"	"1"	"4"	"3"	"56"	"47"	"6"	"3"	"12"	"12"	"9"	"3"	"6"	"533"
"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"3"	"65"	"50"	"4"	"3"	"223"	"5"	"5"	"2"	"1"	"3"	"6"	"10"	"23"	"2"	"2"	"16"	"8"	"3"	"1"	"10"	"442"
"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"4"	"55"	"56"	"1"	"3"	"209"	"2"	"8"	"4"	"6"	"3"	"6"	"9"	"24"	"10"	"4"	"23"	"7"	"4"	"3"	"5"	"442"
"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"5"	"84"	"77"	"0"	"7"	"108"	"1"	"2"	"0"	"0"	"1"	"3"	"1"	"19"	"1"	"3"	"6"	"4"	"68"	"1"	"1"	"387"
