"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"2"	"1"	"29"	"9"	"0"	"6"	"8"	"254"	"3"	"6"	"8"	"4"	"17"	"1"	"8"	"14"	"2"	"103"	"472"	"0"	"472"	"0"
"3"	"2"	"137"	"6"	"0"	"0"	"1"	"112"	"1"	"1"	"3"	"2"	"5"	"4"	"5"	"47"	"8"	"76"	"408"	"0"	"408"	"0"
"4"	"3"	"236"	"114"	"38"	"11"	"3"	"123"	"2"	"2"	"16"	"4"	"20"	"10"	"4"	"72"	"13"	"27"	"695"	"0"	"695"	"0"
"5"	"4"	"34"	"1"	"0"	"0"	"1"	"105"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"3"	"94"	"243"	"0"	"243"	"0"
"6"	"5"	"132"	"4"	"61"	"6"	"1"	"156"	"5"	"1"	"2"	"2"	"2"	"1"	"2"	"16"	"1"	"28"	"420"	"0"	"420"	"0"
"7"	"6"	"170"	"33"	"31"	"1"	"3"	"85"	"2"	"0"	"4"	"6"	"4"	"3"	"5"	"46"	"2"	"31"	"426"	"0"	"426"	"0"
"8"	"7"	"54"	"1"	"113"	"9"	"2"	"75"	"1"	"1"	"5"	"70"	"3"	"12"	"7"	"82"	"0"	"24"	"459"	"0"	"459"	"0"
"9"	"8"	"53"	"9"	"1"	"54"	"1"	"120"	"4"	"1"	"3"	"6"	"16"	"4"	"1"	"56"	"3"	"6"	"338"	"0"	"338"	"0"
"10"	"9"	"100"	"10"	"6"	"40"	"2"	"243"	"4"	"1"	"5"	"23"	"14"	"31"	"4"	"33"	"6"	"30"	"552"	"0"	"552"	"0"
"11"	"10"	"61"	"0"	"6"	"2"	"2"	"173"	"0"	"0"	"3"	"0"	"2"	"2"	"0"	"5"	"1"	"2"	"259"	"0"	"259"	"0"
"12"	"11"	"34"	"3"	"35"	"2"	"0"	"45"	"0"	"1"	"1"	"1"	"7"	"8"	"3"	"7"	"1"	"23"	"171"	"0"	"171"	"0"
"13"	"12"	"68"	"6"	"106"	"22"	"4"	"103"	"7"	"2"	"9"	"3"	"9"	"3"	"3"	"70"	"6"	"18"	"439"	"0"	"439"	"0"
"14"	"13"	"82"	"4"	"47"	"17"	"3"	"178"	"3"	"1"	"7"	"4"	"9"	"10"	"4"	"148"	"1"	"9"	"527"	"0"	"527"	"0"
"15"	"14"	"66"	"2"	"2"	"6"	"0"	"375"	"0"	"14"	"3"	"4"	"6"	"15"	"2"	"6"	"1"	"23"	"525"	"0"	"525"	"0"
"16"	"15"	"209"	"31"	"68"	"13"	"2"	"35"	"5"	"4"	"5"	"1"	"7"	"41"	"4"	"113"	"4"	"24"	"566"	"0"	"566"	"0"
"17"	"16"	"194"	"56"	"61"	"12"	"2"	"87"	"1"	"2"	"12"	"6"	"8"	"12"	"14"	"98"	"11"	"62"	"638"	"0"	"638"	"0"
"18"	"17"	"136"	"95"	"55"	"13"	"2"	"62"	"1"	"5"	"2"	"2"	"3"	"13"	"12"	"55"	"7"	"45"	"508"	"0"	"508"	"0"
"19"	"18"	"10"	"0"	"2"	"1"	"0"	"34"	"1"	"1"	"1"	"0"	"0"	"60"	"3"	"6"	"19"	"133"	"271"	"0"	"271"	"0"
"20"	"19"	"138"	"3"	"5"	"25"	"2"	"138"	"3"	"5"	"9"	"3"	"11"	"69"	"7"	"96"	"7"	"13"	"534"	"0"	"534"	"0"
"21"	"20"	"29"	"39"	"4"	"5"	"2"	"289"	"4"	"4"	"7"	"3"	"33"	"22"	"3"	"6"	"3"	"105"	"558"	"0"	"558"	"0"
"22"	"21"	"3"	"0"	"0"	"0"	"0"	"54"	"3"	"0"	"8"	"2"	"4"	"1"	"2"	"3"	"2"	"125"	"207"	"0"	"207"	"0"
"23"	"22"	"18"	"0"	"56"	"3"	"0"	"93"	"1"	"3"	"6"	"0"	"2"	"0"	"1"	"6"	"5"	"157"	"351"	"0"	"351"	"0"
"24"	"23"	"1"	"0"	"1"	"4"	"1"	"272"	"1"	"1"	"3"	"0"	"3"	"0"	"2"	"2"	"0"	"25"	"316"	"0"	"316"	"0"
"25"	"24"	"142"	"4"	"2"	"23"	"2"	"104"	"1"	"2"	"10"	"1"	"11"	"1"	"0"	"152"	"0"	"6"	"461"	"0"	"461"	"0"
"26"	"25"	"94"	"1"	"0"	"11"	"0"	"39"	"0"	"1"	"3"	"`"	"0"	"8"	"1"	"124"	"1"	"2"	"285"	"0"	"285"	"0"
"27"	"26"	"70"	"2"	"0"	"3"	"1"	"51"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"38"	"0"	"2"	"170"	"0"	"170"	"0"
"28"	"27"	"26"	"8"	"157"	"13"	"6"	"101"	"5"	"5"	"11"	"10"	"5"	"16"	"8"	"41"	"4"	"40"	"456"	"0"	"456"	"0"
"29"	"28"	"108"	"1"	"1"	"3"	"0"	"16"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"124"	"0"	"0"	"258"	"0"	"258"	"0"
"30"	"29"	"32"	"1"	"0"	"4"	"1"	"386"	"2"	"0"	"9"	"6"	"11"	"3"	"4"	"13"	"2"	"14"	"488"	"0"	"488"	"0"
"31"	"30"	"164"	"0"	"1"	"2"	"2"	"107"	"4"	"1"	"6"	"1"	"16"	"1"	"1"	"8"	"2"	"5"	"321"	"0"	"321"	"0"
"32"	"31"	"160"	"6"	"55"	"3"	"2"	"46"	"3"	"4"	"3"	"1"	"4"	"25"	"5"	"14"	"2"	"15"	"348"	"0"	"348"	"0"
"33"	"32"	"151"	"11"	"27"	"7"	"4"	"143"	"4"	"6"	"6"	"16"	"10"	"6"	"2"	"21"	"6"	"30"	"450"	"0"	"450"	"0"
"34"	"33"	"178"	"6"	"27"	"7"	"0"	"184"	"4"	"1"	"4"	"2"	"12"	"2"	"2"	"16"	"2"	"73"	"520"	"0"	"520"	"0"
"35"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"36"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"37"	"34"	"212"	"6"	"45"	"5"	"1"	"63"	"0"	"14"	"4"	"9"	"0"	"17"	"2"	"69"	"2"	"25"	"474"	"0"	"474"	"0"
"38"	"35"	"144"	"1"	"10"	"1"	"0"	"71"	"0"	"0"	"5"	"1"	"8"	"4"	"5"	"50"	"3"	"54"	"357"	"0"	"357"	"0"
"39"	"36"	"185"	"6"	"1"	"32"	"3"	"41"	"2"	"8"	"9"	"94"	"9"	"10"	"8"	"104"	"2"	"39"	"553"	"0"	"553"	"0"
"40"	"37"	"124"	"4"	"16"	"7"	"6"	"150"	"10"	"76"	"23"	"8"	"15"	"36"	"11"	"32"	"5"	"69"	"592"	"0"	"592"	"0"
"41"	"38"	"8"	"0"	"1"	"2"	"1"	"140"	"2"	"7"	"8"	"12"	"7"	"0"	"1"	"5"	"1"	"21"	"216"	"0"	"216"	"0"
"42"	"39"	"51"	"6"	"36"	"12"	"0"	"101"	"5"	"2"	"9"	"7"	"7"	"47"	"6"	"138"	"1"	"18"	"446"	"0"	"446"	"0"
"43"	"40"	"65"	"5"	"3"	"7"	"3"	"91"	"0"	"3"	"7"	"4"	"31"	"17"	"7"	"98"	"5"	"39"	"385"	"0"	"385"	"0"
"44"	"41"	"160"	"8"	"3"	"1"	"1"	"43"	"2"	"0"	"8"	"4"	"14"	"14"	"5"	"182"	"9"	"17"	"471"	"0"	"471"	"0"
"45"	"42"	"328"	"8"	"10"	"17"	"4"	"61"	"4"	"4"	"2"	"9"	"2"	"6"	"3"	"21"	"16"	"39"	"534"	"0"	"534"	"0"
