"Candidates.Name.....Booth.No......"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"3"	"1"	"293"	"7"	"25"	"415"	"7"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"0"	"2"	"13"	"6"	"1"	"2"	"1"	"779"
"4"	"2"	"56"	"1"	"17"	"647"	"7"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"3"	"0"	"1"	"3"	"10"	"1"	"1"	"14"	"9"	"778"
"5"	"3"	"59"	"4"	"129"	"63"	"5"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"15"	"7"	"10"	"14"	"3"	"320"
"6"	"4"	"21"	"2"	"5"	"563"	"7"	"2"	"2"	"2"	"2"	"2"	"0"	"2"	"5"	"0"	"0"	"4"	"2"	"3"	"2"	"2"	"3"	"631"
"7"	"5"	"72"	"0"	"4"	"586"	"31"	"2"	"1"	"1"	"0"	"1"	"4"	"0"	"3"	"0"	"1"	"1"	"3"	"0"	"1"	"2"	"1"	"714"
"8"	"6"	"78"	"1"	"58"	"370"	"29"	"0"	"4"	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"3"	"1"	"2"	"1"	"557"
"9"	"7"	"165"	"4"	"12"	"727"	"15"	"4"	"3"	"0"	"3"	"2"	"1"	"1"	"3"	"0"	"1"	"0"	"6"	"0"	"3"	"3"	"2"	"955"
"10"	"8"	"37"	"3"	"91"	"418"	"6"	"2"	"1"	"4"	"1"	"0"	"2"	"2"	"4"	"2"	"1"	"12"	"5"	"4"	"5"	"27"	"2"	"629"
