"Total.No..of.Electors.in.Assembly.Constituency........230072"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"04- Bagaha Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"19"	"20"	"21"	"22"	""
"7"	"1"	"3"	"25"	"172"	"133"	"123"	"5"	"4"	"3"	"11"	"2"	"3"	"4"	"2"	"9"	"9"	"508"	"0"	"508"	"0"	""
"8"	"2"	"8"	"10"	"284"	"33"	"35"	"2"	"3"	"4"	"6"	"0"	"2"	"4"	"19"	"8"	"3"	"421"	"0"	"421"	"0"	""
"9"	"3"	"16"	"39"	"620"	"26"	"42"	"6"	"7"	"14"	"4"	"5"	"3"	"9"	"16"	"14"	"16"	"837"	"0"	"837"	"0"	""
"10"	"4"	"9"	"53"	"406"	"82"	"97"	"4"	"6"	"11"	"10"	"3"	"1"	"6"	"10"	"6"	"5"	"709"	"0"	"709"	"0"	""
"11"	"5"	"11"	"133"	"155"	"24"	"118"	"1"	"3"	"4"	"7"	"0"	"0"	"4"	"3"	"1"	"1"	"465"	"0"	"465"	"0"	""
"12"	"6"	"1"	"48"	"225"	"41"	"97"	"3"	"1"	"6"	"6"	"1"	"1"	"4"	"4"	"8"	"9"	"455"	"0"	"455"	"0"	""
"13"	"7"	"4"	"16"	"359"	"125"	"79"	"1"	"3"	"43"	"13"	"4"	"1"	"9"	"15"	"17"	"15"	"704"	"0"	"704"	"0"	""
"14"	"8"	"7"	"141"	"367"	"42"	"56"	"6"	"6"	"30"	"16"	"3"	"2"	"11"	"9"	"5"	"4"	"705"	"0"	"705"	"0"	""
"15"	"9"	"4"	"100"	"391"	"17"	"55"	"2"	"2"	"7"	"7"	"3"	"2"	"7"	"12"	"16"	"15"	"640"	"0"	"640"	"0"	""
"16"	"10"	"6"	"26"	"358"	"25"	"13"	"3"	"16"	"19"	"5"	"2"	"1"	"0"	"6"	"1"	"9"	"490"	"0"	"490"	"0"	""
"17"	"11"	"2"	"127"	"390"	"35"	"14"	"0"	"23"	"4"	"7"	"2"	"0"	"5"	"11"	"10"	"5"	"635"	"0"	"635"	"0"	""
"18"	"12"	"10"	"15"	"311"	"10"	"45"	"2"	"1"	"2"	"6"	"1"	"1"	"2"	"1"	"1"	"9"	"417"	"0"	"417"	"0"	""
"19"	"13"	"4"	"129"	"99"	"49"	"94"	"6"	"3"	"45"	"5"	"0"	"5"	"3"	"12"	"9"	"7"	"470"	"0"	"470"	"0"	""
"20"	"14"	"7"	"264"	"192"	"57"	"41"	"0"	"9"	"5"	"2"	"1"	"1"	"2"	"2"	"0"	"1"	"584"	"0"	"584"	"0"	""
"21"	"Total"	"92"	"1126"	"4329"	"699"	"909"	"41"	"87"	"197"	"105"	"27"	"23"	"70"	"122"	"105"	"108"	"8040"	"0"	"8040"	"0"	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
