"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 132---Warisnagar CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :132---Warisnagar                                                                                                                                       No of Voters :243721"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                Total Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name ----->"	"ASHOK KUMAR"	""	"GAJENDRA PRASAD SINGH"	""	"BACHCHU LAL SINGH"	""	"RAM CHANDRA MAHTO"	""	""	"RAM CHANDRA SAHNI"	""	"VIJAY KUMAR ROY"	""	"CHANDRA DEV ROY"	""	"JAI PRAKASH YADAV"	""	"JIBACHH PASWAN"	""	"MD. MOSTAK ANSARI"	""	"RAM KUMAR SAHNI"	""	"RAM CHANDRA MAHTO"	""	"SHANKAR MAHTO"	""	"UPENDRA ROY"	""	"RAJESH KUMAR SAHNI"	""	"RAM VILASH MAHTO"	""	"MD. WASIM RAJA"	""	"VIJAY KUMAR AAZAD"	""	"VIJAY PASWAN"	""	"SATISH MAHTO"	""	"B.K. SINGH"	""	"SURESH KUMAR SAHANI"	""	"Total Valied Votes"	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"BOOTH NO -----
>"	"1"	""	"2"	""	"3"	""	"4"	""	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	"22"	""	"23"	""
"9"	"1"	"299"	""	"40"	""	"2"	""	"8"	""	""	"4"	""	"13"	""	"0"	""	"19"	""	"16"	""	"9"	""	"4"	""	"2"	""	"9"	""	"8"	""	"74"	""	"19"	""	"17"	""	"8"	""	"4"	""	"3"	""	"59"	""	"3"	""	"620"	""
"10"	"2"	"218"	""	"266"	""	"8"	""	"48"	""	""	"0"	""	"16"	""	"7"	""	"30"	""	"3"	""	"5"	""	"1"	""	"4"	""	"1"	""	"2"	""	"9"	""	"24"	""	"10"	""	"12"	""	"4"	""	"3"	""	"6"	""	"5"	""	"682"	""
"11"	"3"	"204"	""	"66"	""	"4"	""	"11"	""	""	"2"	""	"9"	""	"1"	""	"22"	""	"5"	""	"8"	""	"1"	""	"3"	""	"3"	""	"2"	""	"5"	""	"19"	""	"18"	""	"13"	""	"5"	""	"9"	""	"113"	""	"11"	""	"534"	""
"12"	"4"	"70"	""	"333"	""	"14"	""	"35"	""	""	"6"	""	"54"	""	"6"	""	"5"	""	"37"	""	"2"	""	"2"	""	"6"	""	"2"	""	"5"	""	"3"	""	"15"	""	"12"	""	"2"	""	"2"	""	"2"	""	"105"	""	"4"	""	"722"	""
"13"	"5"	"80"	""	"269"	""	"3"	""	"9"	""	""	"1"	""	"65"	""	"3"	""	"3"	""	"3"	""	"4"	""	"0"	""	"5"	""	"2"	""	"9"	""	"13"	""	"21"	""	"5"	""	"6"	""	"0"	""	"1"	""	"6"	""	"1"	""	"509"	""
"14"	"6"	"53"	""	"398"	""	"17"	""	"11"	""	""	"1"	""	"57"	""	"3"	""	"5"	""	"2"	""	"3"	""	"4"	""	"4"	""	"7"	""	"12"	""	"38"	""	"35"	""	"7"	""	"27"	""	"2"	""	"1"	""	"2"	""	"5"	""	"694"	""
"15"	"7"	"113"	""	"310"	""	"7"	""	"17"	""	""	"1"	""	"42"	""	"5"	""	"6"	""	"9"	""	"2"	""	"4"	""	"5"	""	"8"	""	"16"	""	"109"	""	"31"	""	"3"	""	"8"	""	"3"	""	"1"	""	"6"	""	"4"	""	"710"	""
"16"	"8"	"129"	""	"313"	""	"10"	""	"73"	""	""	"1"	""	"31"	""	"0"	""	"2"	""	"3"	""	"5"	""	"2"	""	"3"	""	"14"	""	"14"	""	"18"	""	"23"	""	"17"	""	"14"	""	"11"	""	"2"	""	"6"	""	"9"	""	"700"	""
"17"	"9"	"322"	""	"388"	""	"15"	""	"15"	""	""	"3"	""	"29"	""	"0"	""	"1"	""	"3"	""	"13"	""	"1"	""	"1"	""	"2"	""	"0"	""	"48"	""	"12"	""	"36"	""	"2"	""	"2"	""	"1"	""	"10"	""	"0"	""	"904"	""
"18"	"10"	"270"	""	"318"	""	"12"	""	"9"	""	""	"4"	""	"7"	""	"9"	""	"0"	""	"5"	""	"5"	""	"5"	""	"6"	""	"4"	""	"6"	""	"61"	""	"33"	""	"25"	""	"10"	""	"4"	""	"2"	""	"4"	""	"2"	""	"801"	""
"19"	"11"	"42"	""	"122"	""	"2"	""	"4"	""	""	"1"	""	"21"	""	"0"	""	"0"	""	"2"	""	"7"	""	"1"	""	"0"	""	"0"	""	"1"	""	"15"	""	"15"	""	"169"	""	"3"	""	"0"	""	"0"	""	"1"	""	"0"	""	"406"	""
