"fo.kku.l.Hkk.fuokZpu..ks..dh.l.a....k...oa.uke...210.fnukj.k..........................................fuokZpdksa.dh.dyq"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"3"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"4"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"5"	"1"	"1"	"174"	"102"	"11"	"30"	"28"	"71"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"8"	"3"	"432"	"0"	"432"	"0"
"6"	"2"	"1A"	"35"	"34"	"4"	"15"	"308"	"78"	"7"	"5"	"3"	"1"	"1"	"7"	"4"	"20"	"5"	"3"	"4"	"534"	"0"	"534"	"0"
"7"	"3"	"2"	"125"	"2"	"19"	"143"	"6"	"130"	"6"	"2"	"4"	"14"	"4"	"7"	"4"	"9"	"2"	"16"	"7"	"500"	"0"	"500"	"0"
"8"	"4"	"3"	"178"	"4"	"9"	"32"	"9"	"171"	"1"	"7"	"2"	"3"	"4"	"0"	"1"	"5"	"2"	"6"	"3"	"437"	"0"	"437"	"0"
"9"	"5"	"4"	"215"	"5"	"91"	"16"	"25"	"31"	"0"	"7"	"5"	"1"	"3"	"0"	"3"	"22"	"8"	"20"	"26"	"478"	"0"	"478"	"0"
"10"	"6"	"5"	"243"	"3"	"61"	"71"	"23"	"59"	"3"	"5"	"4"	"1"	"0"	"2"	"2"	"43"	"3"	"14"	"3"	"540"	"0"	"540"	"0"
