"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"3"	"1"	"559"	"15"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"584"	"0"	"584"	"0"
"4"	"2"	"180"	"182"	"5"	"1"	"3"	"5"	"10"	"5"	"3"	"6"	"14"	"15"	"15"	"25"	"68"	"537"	"0"	"537"	"0"
"5"	"3"	"40"	"10"	"0"	"4"	"7"	"1"	"1"	"0"	"0"	"41"	"1"	"0"	"0"	"0"	"0"	"105"	"0"	"105"	"0"
"6"	"4"	"66"	"289"	"5"	"5"	"9"	"1"	"0"	"0"	"0"	"3"	"11"	"4"	"3"	"13"	"11"	"420"	"0"	"420"	"0"
"7"	"5"	"78"	"303"	"7"	"3"	"2"	"0"	"14"	"0"	"1"	"0"	"2"	"1"	"5"	"8"	"9"	"433"	"0"	"433"	"0"
"8"	"6"	"135"	"292"	"3"	"0"	"5"	"0"	"2"	"3"	"0"	"35"	"1"	"1"	"2"	"6"	"5"	"490"	"0"	"490"	"0"
"9"	"7"	"49"	"272"	"3"	"1"	"2"	"1"	"2"	"2"	"1"	"10"	"4"	"0"	"2"	"6"	"16"	"371"	"0"	"371"	"0"
"10"	"8"	"29"	"39"	"1"	"0"	"37"	"1"	"1"	"0"	"3"	"2"	"4"	"0"	"4"	"4"	"8"	"133"	"0"	"133"	"0"
