"Tabulation.of.Result.by.Additional.Counting.Staff"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  142 Bachhwara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Abdesh Kumar Rai"	"Asharphi Prasad Mehta"	"Orsheel Paswan"	"Meena Devi"	"Ramdeo Rai"	"Vandana Singh"	"Amresh Kumar Rai"	"Mohamma d Moein Ansari"	"Rajneesh Kumar Mukhiya"	"Rajesh Priyam"	"Sunil Kumar Sashant"	"Arvind Kumar Singh"	"Kundan Singh"	"Jagjit Jha"	"Punit Singh"	"Parphul Kumar"	"Ranjit Paswan"	"Ramshan kar Singh"	""	""	""	""
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"6"	"1"	"49"	"56"	"2"	"12"	"28"	"51"	"2"	"3"	"1"	"7"	"2"	"87"	"4"	"2"	"2"	"4"	"1"	"6"	"319"	"0"	"319"	"0"
"7"	"2"	"83"	"22"	"0"	"58"	"178"	"40"	"2"	"3"	"5"	"2"	"2"	"74"	"16"	"10"	"0"	"3"	"1"	"2"	"501"	"0"	"501"	"0"
"8"	"3"	"10"	"4"	"0"	"82"	"81"	"10"	"0"	"3"	"0"	"3"	"2"	"44"	"10"	"9"	"1"	"4"	"1"	"5"	"269"	"0"	"269"	"0"
"9"	"4"	"109"	"1"	"3"	"72"	"280"	"19"	"6"	"2"	"2"	"7"	"3"	"37"	"12"	"61"	"5"	"11"	"3"	"3"	"636"	"0"	"636"	"0"
"10"	"5"	"109"	"6"	"2"	"119"	"126"	"45"	"6"	"2"	"1"	"10"	"10"	"102"	"34"	"15"	"8"	"14"	"2"	"3"	"614"	"0"	"614"	"0"
"11"	"5A"	"80"	"6"	"0"	"69"	"96"	"7"	"1"	"3"	"1"	"1"	"2"	"58"	"7"	"2"	"1"	"4"	"12"	"4"	"354"	"0"	"354"	"0"
"12"	"6"	"161"	"13"	"4"	"148"	"168"	"39"	"6"	"7"	"3"	"6"	"3"	"74"	"16"	"21"	"1"	"9"	"6"	"0"	"685"	"0"	"685"	"0"
"13"	"7"	"371"	"9"	"5"	"103"	"57"	"19"	"2"	"4"	"9"	"23"	"4"	"163"	"8"	"61"	"4"	"3"	"12"	"2"	"859"	"0"	"859"	"0"
"14"	"8"	"271"	"44"	"9"	"78"	"76"	"39"	"2"	"5"	"1"	"12"	"5"	"155"	"18"	"113"	"9"	"24"	"11"	"5"	"877"	"0"	"877"	"0"
"15"	"9"	"281"	"47"	"9"	"24"	"90"	"33"	"6"	"10"	"5"	"17"	"5"	"137"	"11"	"42"	"4"	"13"	"8"	"3"	"745"	"0"	"745"	"0"
"16"	"10"	"211"	"2"	"4"	"52"	"35"	"24"	"0"	"5"	"1"	"16"	"2"	"57"	"8"	"166"	"1"	"3"	"6"	"3"	"596"	"0"	"596"	"0"
"17"	"11"	"27"	"1"	"0"	"6"	"20"	"110"	"3"	"0"	"0"	"0"	"5"	"12"	"0"	"8"	"3"	"6"	"0"	"2"	"203"	"0"	"203"	"0"
"18"	"12"	"14"	"1"	"9"	"28"	"5"	"70"	"6"	"3"	"3"	"17"	"5"	"31"	"7"	"279"	"4"	"22"	"1"	"2"	"507"	"0"	"507"	"0"
"19"	"13"	"94"	"17"	"5"	"40"	"57"	"116"	"9"	"4"	"2"	"12"	"3"	"69"	"4"	"123"	"3"	"7"	"4"	"1"	"570"	"0"	"570"	"0"
"20"	"14"	"133"	"15"	"5"	"78"	"152"	"96"	"3"	"3"	"3"	"9"	"7"	"142"	"18"	"107"	"1"	"9"	"16"	"7"	"804"	"0"	"804"	"0"
"21"	"15"	"365"	"47"	"2"	"28"	"83"	"26"	"3"	"7"	"2"	"4"	"4"	"46"	"4"	"3"	"1"	"10"	"10"	"8"	"653"	"0"	"653"	"0"
"22"	"16"	"287"	"26"	"4"	"14"	"59"	"24"	"3"	"2"	"4"	"4"	"1"	"65"	"3"	"11"	"4"	"8"	"32"	"20"	"571"	"0"	"571"	"0"
"23"	"17"	"196"	"5"	"3"	"48"	"74"	"88"	"1"	"5"	"1"	"2"	"1"	"41"	"5"	"17"	"4"	"6"	"6"	"4"	"507"	"0"	"507"	"0"
"24"	"18"	"203"	"5"	"2"	"60"	"49"	"9"	"0"	"0"	"0"	"2"	"1"	"15"	"5"	"17"	"2"	"3"	"12"	"9"	"394"	"0"	"394"	"0"
"25"	"19"	"397"	"6"	"2"	"49"	"99"	"31"	"1"	"1"	"0"	"6"	"2"	"21"	"10"	"15"	"1"	"4"	"7"	"2"	"654"	"0"	"654"	"0"
"26"	"20"	"265"	"17"	"3"	"167"	"150"	"124"	"3"	"6"	"3"	"6"	"3"	"42"	"22"	"5"	"1"	"10"	"3"	"3"	"833"	"0"	"833"	"0"
"27"	"21"	"359"	"7"	"1"	"22"	"113"	"43"	"0"	"2"	"0"	"4"	"2"	"39"	"4"	"16"	"1"	"10"	"17"	"6"	"646"	"0"	"646"	"0"
"28"	"22"	"384"	"19"	"2"	"46"	"93"	"28"	"2"	"4"	"1"	"18"	"7"	"141"	"8"	"4"	"9"	"4"	"4"	"8"	"782"	"0"	"782"	"0"
"29"	"23"	"182"	"9"	"1"	"89"	"20"	"79"	"1"	"2"	"3"	"3"	"1"	"45"	"8"	"2"	"1"	"5"	"1"	"4"	"456"	"0"	"456"	"0"
"30"	"23A"	"222"	"3"	"2"	"74"	"7"	"67"	"1"	"1"	"0"	"7"	"3"	"36"	"6"	"6"	"4"	"13"	"2"	"1"	"455"	"0"	"455"	"0"
"31"	"24"	"201"	"1"	"2"	"43"	"56"	"136"	"1"	"5"	"2"	"7"	"2"	"93"	"3"	"17"	"1"	"4"	"2"	"3"	"579"	"0"	"579"	"0"
"32"	"24A"	"156"	"9"	"0"	"10"	"41"	"89"	"2"	"1"	"1"	"2"	"0"	"31"	"1"	"1"	"1"	"1"	"5"	"3"	"354"	"0"	"354"	"0"
