"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 115 BANIAPUR CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency : 115 BANIAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"CANDIDATES NAME"	""	"KANHAIYA YADAV"	"KEDAR NATH SINGH"	"VIRENDRA KUMAR OJHA"	"SHAILESH KUMAR SINGH"	"AKHILESHWAR SINGH"	"ANANDI DEVI"	"UMESDHWAR SINGH"	"KARAN KUMAR SINGH"	"GAYATRI DEVI"	"NARAYAN PD. YADAV"	"RAJU KUMAR SINGH"	"SACHCHIDANAND RAI"	"TOTAL VALID VOTES"
"6"	"BOOTH_NOBO"	"OTH_EX"	"T   CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"TOTAL"
"7"	"1"	""	"10"	"150"	"193"	"6"	"4"	"4"	"2"	"2"	"9"	"6"	"8"	"30"	"424"
"8"	"2"	""	"10"	"208"	"219"	"16"	"9"	"6"	"3"	"6"	"9"	"11"	"14"	"52"	"563"
"9"	"3"	""	"10"	"108"	"166"	"11"	"3"	"3"	"7"	"0"	"10"	"5"	"6"	"31"	"360"
"10"	"4"	""	"30"	"203"	"157"	"19"	"11"	"4"	"10"	"3"	"6"	"3"	"3"	"15"	"464"
"11"	"5"	""	"16"	"168"	"172"	"16"	"3"	"4"	"1"	"2"	"4"	"6"	"4"	"16"	"412"
"12"	"5"	"A"	"2"	"159"	"187"	"8"	"6"	"4"	"2"	"2"	"4"	"14"	"12"	"28"	"428"
"13"	"6"	""	"21"	"205"	"144"	"10"	"1"	"1"	"5"	"3"	"11"	"10"	"14"	"18"	"443"
"14"	"7"	""	"25"	"296"	"108"	"19"	"3"	"3"	"10"	"8"	"4"	"7"	"5"	"18"	"506"
"15"	"8"	""	"13"	"225"	"253"	"20"	"1"	"4"	"2"	"2"	"11"	"16"	"14"	"34"	"595"
"16"	"9"	""	"28"	"245"	"263"	"20"	"2"	"1"	"3"	"4"	"13"	"15"	"20"	"44"	"658"
"17"	"10"	""	"9"	"111"	"203"	"19"	"5"	"3"	"3"	"1"	"16"	"8"	"9"	"35"	"422"
"18"	"10"	"A"	"5"	"142"	"136"	"5"	"4"	"1"	"2"	"1"	"3"	"6"	"5"	"30"	"340"
"19"	"11"	""	"12"	"299"	"155"	"14"	"3"	"4"	"7"	"1"	"2"	"9"	"15"	"19"	"540"
"20"	"12"	""	"25"	"255"	"179"	"12"	"3"	"2"	"7"	"2"	"5"	"11"	"5"	"21"	"527"
"21"	"13"	""	"16"	"310"	"267"	"22"	"7"	"3"	"9"	"1"	"7"	"22"	"16"	"34"	"714"
"22"	"14"	""	"11"	"232"	"91"	"17"	"5"	"3"	"3"	"4"	"12"	"9"	"13"	"34"	"434"
"23"	"15"	""	"9"	"180"	"170"	"11"	"2"	"1"	"3"	"1"	"2"	"4"	"3"	"13"	"399"
"24"	"16"	""	"22"	"261"	"269"	"8"	"7"	"2"	"2"	"2"	"6"	"11"	"13"	"23"	"626"
"25"	"17"	""	"15"	"254"	"335"	"7"	"2"	"4"	"13"	"4"	"5"	"10"	"4"	"24"	"677"
"26"	"18"	""	"15"	"383"	"113"	"45"	"5"	"4"	"8"	"3"	"1"	"3"	"4"	"17"	"601"
"27"	"19"	""	"10"	"290"	"215"	"16"	"3"	"0"	"2"	"3"	"5"	"4"	"3"	"9"	"560"
"28"	"20"	""	"14"	"283"	"182"	"12"	"5"	"0"	"5"	"3"	"12"	"18"	"19"	"53"	"606"
"29"	"21"	""	"11"	"304"	"156"	"16"	"1"	"1"	"2"	"5"	"5"	"1"	"5"	"21"	"528"
"30"	"22"	""	"7"	"119"	"102"	"5"	"1"	"2"	"1"	"2"	"4"	"4"	"9"	"15"	"271"
"31"	"22"	"A"	"6"	"143"	"102"	"5"	"1"	"2"	"1"	"1"	"6"	"3"	"6"	"12"	"288"
"32"	"23"	""	"5"	"162"	"101"	"6"	"0"	"0"	"2"	"1"	"2"	"6"	"5"	"5"	"295"
"33"	"24"	""	"11"	"240"	"68"	"4"	"1"	"0"	"0"	"1"	"3"	"1"	"1"	"3"	"333"
"34"	"25"	""	"8"	"303"	"263"	"59"	"5"	"7"	"5"	"1"	"7"	"4"	"14"	"18"	"694"
"35"	"26"	""	"13"	"273"	"90"	"11"	"5"	"4"	"4"	"4"	"4"	"4"	"14"	"12"	"438"
"36"	"27"	""	"18"	"264"	"215"	"10"	"6"	"0"	"5"	"2"	"7"	"7"	"7"	"22"	"563"
"37"	"28"	""	"20"	"178"	"225"	"13"	"3"	"3"	"2"	"2"	"7"	"6"	"6"	"20"	"485"
"38"	"29"	""	"22"	"311"	"208"	"16"	"2"	"5"	"6"	"5"	"4"	"8"	"19"	"38"	"644"
"39"	"30"	""	"18"	"234"	"101"	"13"	"3"	"5"	"4"	"3"	"4"	"3"	"8"	"11"	"407"
"40"	"31"	""	"10"	"252"	"239"	"17"	"0"	"1"	"0"	"2"	"3"	"4"	"6"	"10"	"544"
"41"	"32"	""	"12"	"190"	"154"	"6"	"1"	"2"	"3"	"2"	"6"	"5"	"6"	"18"	"405"
"42"	"33"	""	"8"	"209"	"140"	"7"	"3"	"1"	"3"	"0"	"1"	"4"	"5"	"7"	"388"
"43"	"34"	""	"14"	"273"	"145"	"17"	"0"	"4"	"4"	"7"	"11"	"11"	"29"	"73"	"588"
"44"	"35"	""	"32"	"519"	"110"	"11"	"6"	"2"	"7"	"4"	"4"	"10"	"7"	"12"	"724"
"45"	"36"	""	"10"	"154"	"165"	"10"	"3"	"2"	"3"	"2"	"4"	"3"	"2"	"4"	"362"
"46"	"37"	""	"5"	"425"	"58"	"3"	"0"	"1"	"1"	"1"	"2"	"2"	"8"	"12"	"518"
"47"	"38"	""	"4"	"325"	"20"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"7"	"363"
"48"	"39"	""	"7"	"207"	"108"	"10"	"3"	"5"	"5"	"6"	"10"	"6"	"16"	"20"	"403"
"49"	"40"	""	"15"	"356"	"127"	"8"	"4"	"4"	"3"	"3"	"2"	"5"	"6"	"6"	"539"
"50"	"41"	""	"1"	"216"	"143"	"4"	"1"	"0"	"1"	"2"	"4"	"2"	"5"	"13"	"392"
"51"	"42"	""	"15"	"267"	"228"	"9"	"3"	"0"	"1"	"2"	"3"	"2"	"4"	"7"	"541"
"52"	"43"	""	"15"	"160"	"177"	"4"	"4"	"5"	"3"	"0"	"3"	"1"	"1"	"11"	"384"
"53"	"44"	""	"9"	"177"	"180"	"9"	"3"	"2"	"5"	"4"	"11"	"7"	"18"	"13"	"438"
"54"	"45"	""	"22"	"265"	"124"	"9"	"6"	"2"	"6"	"3"	"7"	"9"	"13"	"28"	"494"
"55"	"46"	""	"13"	"285"	"172"	"18"	"6"	"4"	"7"	"6"	"4"	"7"	"10"	"12"	"544"
"56"	"47"	""	"16"	"296"	"252"	"10"	"3"	"4"	"5"	"3"	"6"	"0"	"4"	"16"	"615"
"57"	"48"	""	"4"	"118"	"80"	"4"	"0"	"1"	"1"	"1"	"1"	"2"	"3"	"5"	"220"
"58"	"49"	""	"11"	"315"	"131"	"13"	"2"	"2"	"4"	"6"	"5"	"9"	"17"	"13"	"528"
