"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"4"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"5"	"1"	"1"	"258"	"18"	"5"	"28"	"156"	"12"	"8"	"16"	"43"	"8"	"26"	"578"	"0"	"578"	"0"
"6"	"2"	"2"	"152"	"28"	"5"	"31"	"137"	"27"	"4"	"10"	"126"	"10"	"25"	"555"	"0"	"555"	"0"
"7"	"3"	"3"	"104"	"10"	"8"	"66"	"71"	"27"	"4"	"9"	"78"	"8"	"25"	"410"	"0"	"410"	"0"
"8"	"4"	"4"	"188"	"13"	"4"	"18"	"38"	"5"	"1"	"8"	"111"	"7"	"12"	"405"	"0"	"405"	"0"
"9"	"5"	"5"	"190"	"9"	"5"	"51"	"9"	"1"	"2"	"3"	"26"	"2"	"14"	"312"	"0"	"312"	"0"
"10"	"6"	"5 A"	"175"	"12"	"2"	"51"	"5"	"0"	"0"	"3"	"24"	"2"	"6"	"280"	"0"	"280"	"0"
"11"	"7"	"6"	"147"	"10"	"45"	"41"	"77"	"10"	"12"	"28"	"194"	"17"	"23"	"604"	"0"	"604"	"0"
"12"	"8"	"7"	"194"	"15"	"32"	"84"	"13"	"12"	"3"	"13"	"130"	"10"	"34"	"540"	"0"	"540"	"0"
"13"	"9"	"8"	"86"	"5"	"2"	"14"	"5"	"7"	"0"	"10"	"30"	"1"	"4"	"164"	"0"	"164"	"0"
"14"	"10"	"9"	"64"	"12"	"4"	"50"	"9"	"6"	"5"	"19"	"223"	"13"	"9"	"414"	"0"	"414"	"0"
"15"	"11"	"10"	"275"	"18"	"8"	"64"	"7"	"60"	"5"	"11"	"89"	"6"	"25"	"568"	"0"	"568"	"0"
"16"	"12"	"11"	"207"	"10"	"1"	"13"	"16"	"53"	"5"	"83"	"12"	"5"	"67"	"472"	"0"	"472"	"0"
"17"	"13"	"12"	"213"	"19"	"6"	"22"	"78"	"8"	"4"	"122"	"59"	"11"	"45"	"587"	"0"	"587"	"0"
"18"	"14"	"13"	"96"	"10"	"4"	"4"	"63"	"3"	"2"	"35"	"150"	"2"	"14"	"383"	"0"	"383"	"0"
"19"	"15"	"14"	"161"	"2"	"3"	"8"	"217"	"10"	"3"	"3"	"23"	"2"	"11"	"443"	"0"	"443"	"0"
"20"	"16"	"14 A"	"159"	"12"	"1"	"15"	"170"	"6"	"6"	"6"	"35"	"7"	"8"	"425"	"0"	"425"	"0"
"21"	"17"	"15"	"222"	"26"	"1"	"6"	"268"	"19"	"3"	"34"	"42"	"0"	"8"	"629"	"0"	"629"	"0"
"22"	"18"	"16"	"56"	"6"	"6"	"18"	"304"	"9"	"7"	"7"	"26"	"2"	"13"	"454"	"0"	"454"	"0"
"23"	"19"	"17"	"38"	"3"	"1"	"11"	"243"	"4"	"4"	"3"	"46"	"5"	"7"	"365"	"0"	"365"	"0"
"24"	"20"	"18"	"271"	"16"	"2"	"40"	"39"	"5"	"1"	"10"	"11"	"3"	"11"	"409"	"0"	"409"	"0"
"25"	"21"	"19"	"172"	"12"	"1"	"47"	"41"	"10"	"7"	"6"	"10"	"0"	"18"	"324"	"0"	"324"	"0"
"26"	"22"	"20"	"151"	"16"	"5"	"20"	"184"	"10"	"6"	"10"	"32"	"10"	"21"	"465"	"0"	"465"	"0"
"27"	"23"	"21"	"133"	"14"	"2"	"122"	"47"	"6"	"2"	"8"	"41"	"0"	"19"	"394"	"0"	"394"	"0"
"28"	"24"	"22"	"261"	"11"	"8"	"106"	"40"	"20"	"6"	"10"	"13"	"4"	"20"	"499"	"0"	"499"	"0"
"29"	"25"	"23"	"61"	"2"	"4"	"141"	"275"	"22"	"7"	"8"	"59"	"5"	"7"	"591"	"0"	"591"	"0"
"30"	"26"	"24"	"273"	"11"	"12"	"52"	"84"	"15"	"3"	"10"	"22"	"10"	"29"	"521"	"0"	"521"	"0"
"31"	"27"	"25"	"130"	"9"	"19"	"54"	"222"	"12"	"7"	"94"	"91"	"12"	"29"	"679"	"0"	"679"	"0"
"32"	"28"	"26"	"180"	"15"	"18"	"14"	"66"	"6"	"14"	"241"	"45"	"4"	"21"	"624"	"0"	"624"	"0"
"33"	"29"	"27"	"62"	"10"	"15"	"15"	"65"	"5"	"7"	"295"	"72"	"9"	"17"	"572"	"0"	"572"	"0"
"34"	"30"	"28"	"107"	"9"	"64"	"31"	"223"	"17"	"3"	"129"	"42"	"10"	"26"	"661"	"0"	"661"	"0"
"35"	"31"	"29"	"109"	"6"	"209"	"25"	"202"	"44"	"6"	"32"	"23"	"7"	"26"	"689"	"0"	"689"	"0"
"36"	"Page 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"41"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"42"	"32"	"30"	"173"	"9"	"8"	"15"	"7"	"8"	"3"	"16"	"328"	"14"	"19"	"600"	"0"	"600"	"0"
"43"	"33"	"31"	"55"	"2"	"4"	"17"	"1"	"17"	"1"	"3"	"33"	"5"	"5"	"143"	"0"	"143"	"0"
"44"	"34"	"32"	"148"	"12"	"6"	"33"	"18"	"14"	"7"	"26"	"289"	"11"	"37"	"601"	"0"	"601"	"0"
"45"	"35"	"33"	"42"	"8"	"7"	"2"	"251"	"15"	"7"	"13"	"73"	"5"	"16"	"439"	"0"	"439"	"0"
"46"	"36"	"34"	"152"	"10"	"8"	"42"	"24"	"24"	"7"	"19"	"217"	"19"	"46"	"568"	"0"	"568"	"0"
"47"	"37"	"35"	"165"	"4"	"3"	"31"	"9"	"4"	"7"	"15"	"200"	"9"	"40"	"487"	"0"	"487"	"0"
"48"	"38"	"36"	"275"	"11"	"3"	"73"	"9"	"17"	"3"	"27"	"34"	"3"	"11"	"466"	"0"	"466"	"0"
"49"	"39"	"37"	"271"	"17"	"4"	"111"	"12"	"5"	"4"	"10"	"111"	"4"	"22"	"571"	"0"	"571"	"0"
"50"	"40"	"38"	"114"	"9"	"2"	"15"	"12"	"5"	"2"	"9"	"26"	"6"	"65"	"265"	"0"	"265"	"0"
"51"	"41"	"39"	"114"	"9"	"5"	"56"	"8"	"9"	"6"	"44"	"126"	"4"	"9"	"390"	"0"	"390"	"0"
"52"	"42"	"40"	"119"	"13"	"5"	"23"	"6"	"19"	"1"	"21"	"91"	"5"	"12"	"315"	"0"	"315"	"0"
"53"	"43"	"41"	"211"	"12"	"9"	"48"	"34"	"8"	"3"	"24"	"95"	"7"	"12"	"463"	"0"	"463"	"0"
"54"	"44"	"42"	"199"	"10"	"14"	"82"	"13"	"8"	"9"	"17"	"240"	"18"	"23"	"633"	"0"	"633"	"0"
"55"	"45"	"43"	"113"	"9"	"10"	"138"	"9"	"8"	"1"	"12"	"120"	"0"	"3"	"423"	"0"	"423"	"0"
"56"	"46"	"44"	"232"	"17"	"10"	"24"	"38"	"3"	"10"	"24"	"323"	"19"	"35"	"735"	"0"	"735"	"0"
"57"	"47"	"45"	"241"	"19"	"2"	"43"	"29"	"15"	"4"	"8"	"110"	"15"	"39"	"525"	"0"	"525"	"0"
"58"	"48"	"46"	"86"	"15"	"4"	"76"	"21"	"22"	"1"	"7"	"196"	"5"	"5"	"438"	"0"	"438"	"0"
"59"	"49"	"46 A"	"39"	"5"	"3"	"79"	"33"	"26"	"1"	"12"	"225"	"14"	"23"	"460"	"0"	"460"	"0"
"60"	"50"	"47"	"216"	"9"	"2"	"50"	"55"	"80"	"10"	"31"	"28"	"6"	"9"	"496"	"0"	"496"	"0"
"61"	"51"	"48"	"118"	"4"	"9"	"5"	"18"	"130"	"8"	"7"	"63"	"4"	"13"	"379"	"0"	"379"	"0"
"62"	"52"	"49"	"228"	"12"	"1"	"7"	"120"	"29"	"3"	"12"	"61"	"5"	"26"	"504"	"0"	"504"	"0"
"63"	"53"	"49 A"	"157"	"13"	"13"	"9"	"109"	"21"	"4"	"21"	"62"	"5"	"11"	"425"	"0"	"425"	"0"
"64"	"54"	"50"	"49"	"6"	"1"	"37"	"156"	"8"	"4"	"5"	"45"	"6"	"31"	"348"	"0"	"348"	"0"
"65"	"55"	"51"	"129"	"7"	"5"	"9"	"146"	"14"	"6"	"6"	"17"	"3"	"13"	"355"	"0"	"355"	"0"
