"Total.No..of.Electors.in.Assembly.Constituency........191963"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"08- Bettiah Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"7"	"1"	"2"	"20"	"5"	"12"	"433"	"7"	"0"	"0"	"2"	"1"	"30"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"517"	"0"	"517"	"0"	""
"8"	"2"	"1"	"52"	"2"	"2"	"331"	"18"	"0"	"0"	"1"	"0"	"73"	"0"	"0"	"0"	"1"	"4"	"2"	"3"	"490"	"0"	"490"	"0"	""
"9"	"3"	"21"	"92"	"9"	"1"	"373"	"31"	"1"	"0"	"0"	"6"	"69"	"0"	"3"	"1"	"5"	"4"	"5"	"3"	"624"	"0"	"624"	"0"	""
"10"	"4"	"20"	"92"	"4"	"4"	"235"	"10"	"2"	"1"	"4"	"0"	"68"	"0"	"0"	"1"	"2"	"6"	"0"	"2"	"451"	"0"	"451"	"0"	""
"11"	"5"	"2"	"113"	"15"	"8"	"405"	"11"	"2"	"1"	"0"	"2"	"46"	"1"	"0"	"3"	"6"	"3"	"0"	"2"	"620"	"0"	"620"	"0"	""
"12"	"6"	"1"	"119"	"4"	"2"	"181"	"9"	"0"	"0"	"0"	"0"	"28"	"0"	"0"	"0"	"1"	"0"	"0"	"7"	"352"	"0"	"352"	"0"	""
"13"	"7"	"27"	"127"	"7"	"3"	"265"	"8"	"0"	"3"	"0"	"0"	"114"	"2"	"1"	"0"	"0"	"1"	"0"	"6"	"564"	"0"	"564"	"0"	""
"14"	"8"	"1"	"69"	"0"	"4"	"211"	"18"	"0"	"0"	"1"	"0"	"80"	"1"	"0"	"2"	"0"	"2"	"0"	"3"	"392"	"0"	"392"	"0"	""
"15"	"9"	"7"	"68"	"6"	"2"	"276"	"19"	"0"	"5"	"0"	"1"	"110"	"0"	"2"	"2"	"1"	"3"	"3"	"5"	"510"	"0"	"510"	"0"	""
