"Polling.Station.No."	"Ramavatar.Mandal"	"Sanjay.Kumar.Singh"	"Subodh.Rai"	"Suresh.Mohan.Jha"	"Haidar.Ali"	"Omdatta.Choudhary"	"Ganesh.Paswan"	"Chandan.Sharma"	"Matiur.Rahman"	"Rahul"	"Virendra.Kr..Ravi"	"Shivnandan.Sharma"	"Ashok.Yadav"	"Gautam.Yadav"	"Zafar.Alam"	"Pragya.Kumar"	"Pranaw.Roy"	"Md.Maqsud.Alam"	"Rajesh.Kumar"	"Ram.Rekha.Singh"	"Rijwan"	"Binod.Singh"	"Dr..Birendra.Singh"	"Sanjay.Panday"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No..........of.Tendered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"2"	"1"	146	10	104	9	34	33	2	7	6	2	1	5	3	15	9	14	2	29	1	3	0	2	2	3	442	0	442	NA
"3"	"2"	145	9	240	9	7	40	8	2	7	3	1	4	1	9	6	1	8	6	13	2	6	5	3	2	537	0	537	NA
"4"	"3"	261	28	135	37	1	13	3	1	1	1	3	2	3	9	4	16	12	3	2	1	3	15	5	3	562	0	562	NA
"5"	"4"	175	17	208	18	10	65	12	5	2	4	2	9	6	14	5	10	15	21	11	10	19	84	10	14	746	0	746	NA
"6"	"5"	220	8	260	12	5	23	15	4	5	4	4	12	6	24	14	17	12	7	8	3	0	21	5	6	695	0	695	NA
"7"	"6"	143	17	193	14	5	62	11	3	13	5	4	5	4	12	16	6	4	15	3	2	1	8	5	5	556	0	556	NA
"8"	"7"	91	8	142	20	4	33	4	4	6	30	4	2	8	5	15	19	4	5	4	2	4	9	1	3	427	0	427	NA
"9"	"8"	295	5	58	5	1	10	49	3	4	7	6	3	1	13	2	7	5	5	2	0	2	4	7	5	499	0	499	NA
"10"	"9"	103	4	125	26	9	11	4	1	1	0	1	4	2	2	0	1	5	3	2	0	3	4	0	1	312	0	312	NA
"11"	"10"	106	6	166	7	7	32	23	1	3	4	4	8	2	12	9	4	9	10	11	3	8	11	2	3	451	0	451	NA
"12"	"11"	60	9	178	43	5	49	5	6	4	1	0	2	0	15	9	5	2	4	4	2	2	12	5	6	428	0	428	NA
"13"	"12"	163	9	171	39	0	27	7	5	3	7	2	3	1	14	10	4	3	3	2	0	2	7	0	2	484	0	484	NA
"14"	"13"	182	12	161	4	0	29	81	0	5	3	9	7	1	9	8	5	19	23	18	7	5	47	23	37	695	0	695	NA
"15"	"14"	253	16	67	7	3	6	5	1	4	0	0	3	2	28	2	9	30	5	13	3	3	11	4	3	478	0	478	NA
"16"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"18"	"15"	143	11	153	10	4	29	8	3	3	1	3	3	3	20	8	8	6	6	4	3	2	8	1	1	441	0	441	NA
"19"	"16"	148	4	320	11	3	15	4	1	7	0	0	2	1	7	7	2	4	1	1	1	0	15	2	1	557	0	557	NA
"20"	"17"	224	4	127	2	3	13	1	3	3	0	0	2	0	36	2	1	18	21	19	8	5	18	5	9	524	0	524	NA
"21"	"18"	77	9	276	5	8	26	12	6	6	0	3	6	4	27	3	6	6	5	11	6	8	22	4	9	545	0	545	NA
"22"	"19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"23"	"20"	59	9	80	11	0	18	19	0	2	1	1	3	1	77	4	4	7	8	12	6	3	15	7	7	354	0	354	NA
"24"	"21"	58	3	172	30	1	11	1	1	3	4	0	5	2	9	0	11	0	2	1	1	1	4	1	3	324	0	324	NA
"25"	"22"	26	2	317	6	4	16	3	2	3	2	2	3	1	7	1	7	1	0	4	4	1	32	1	3	448	0	448	NA
"26"	"22-A"	48	0	148	4	2	24	12	1	0	1	5	6	7	7	6	8	4	4	4	2	2	12	2	6	315	0	315	NA
"27"	"23"	57	5	479	11	11	26	2	9	8	3	7	10	6	27	5	10	14	8	9	8	5	26	4	11	761	0	761	NA
"28"	"24"	22	0	93	50	6	36	8	0	4	3	0	4	4	52	1	7	4	1	13	2	0	21	3	0	334	0	334	NA
"29"	"25"	26	2	257	26	2	36	2	1	0	2	3	2	1	23	3	4	5	0	3	4	2	24	6	4	438	0	438	NA
"30"	"26"	19	1	170	25	0	14	0	0	0	0	1	2	0	43	2	0	6	5	5	0	3	12	1	6	315	0	315	NA
"31"	"27"	113	5	325	30	0	74	3	6	3	33	10	7	3	46	8	10	8	3	2	0	3	10	2	4	708	0	708	NA
"32"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"34"	"28"	274	1	197	4	1	26	3	5	5	19	7	9	1	22	11	6	15	15	3	2	4	14	1	11	656	0	656	NA
"35"	"29"	41	5	374	10	0	31	5	4	6	2	0	4	1	15	16	5	8	2	7	2	4	30	6	16	594	0	594	NA
"36"	"30"	90	6	314	11	8	42	7	7	5	5	8	10	7	19	20	11	9	10	12	5	4	16	4	15	645	0	645	NA
"37"	"31"	86	1	38	6	8	5	0	0	1	2	0	1	0	6	3	1	4	47	4	1	0	5	5	2	226	0	226	NA
"38"	"32"	154	6	320	18	3	28	10	1	3	3	1	1	1	18	0	0	27	11	13	9	6	26	6	11	676	0	676	NA
"39"	"33"	19	4	236	16	1	26	2	0	0	0	0	0	0	39	8	1	0	3	4	3	0	24	2	11	399	0	399	NA
"40"	"34"	59	4	324	20	2	18	5	5	6	3	3	5	4	42	5	2	4	4	8	3	2	8	2	4	542	0	542	NA
"41"	"35"	46	1	331	6	4	49	1	2	1	5	0	3	0	5	2	0	2	3	10	0	3	38	4	7	523	0	523	NA
"42"	"36"	57	2	38	2	5	10	5	1	2	2	0	0	0	0	0	3	1	33	1	0	0	1	0	0	163	0	163	NA
"43"	"37"	195	1	36	9	20	16	1	3	1	2	2	0	1	2	0	2	9	88	3	1	3	6	1	5	407	0	407	NA
"44"	"38"	222	8	52	14	49	34	1	4	3	5	2	2	1	13	4	5	8	35	5	8	5	7	0	8	495	0	495	NA
"45"	"39"	134	6	2	2	23	3	1	0	0	2	1	0	0	1	3	2	8	8	6	2	3	5	2	1	215	0	215	NA
"46"	"40"	137	16	148	25	127	31	7	4	5	2	4	6	4	9	8	12	20	24	3	9	7	30	7	29	674	0	674	NA
"47"	"41"	144	9	290	33	2	33	1	3	2	3	2	4	1	5	3	2	5	7	3	2	4	12	3	5	578	0	578	NA
"48"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"50"	"42"	89	1	325	25	1	24	7	1	1	3	1	1	0	3	1	3	5	4	20	7	2	11	6	7	548	0	548	NA
"51"	"43"	57	2	180	5	0	9	4	0	0	0	1	0	0	1	0	0	0	1	0	0	2	5	2	0	269	0	269	NA
"52"	"44"	77	7	285	7	0	50	2	5	6	5	5	4	7	32	12	20	7	3	25	2	5	31	5	12	614	0	614	NA
"53"	"45"	28	10	118	5	2	9	25	2	5	0	3	2	3	6	4	1	3	2	2	3	1	9	3	2	248	0	248	NA
"54"	"46"	81	1	386	14	2	38	4	2	10	4	1	2	4	30	11	0	2	2	15	4	6	38	9	12	678	0	678	NA
"55"	"47"	130	5	268	14	2	44	6	1	5	0	4	4	2	14	9	28	8	2	9	2	3	49	10	28	647	0	647	NA
"56"	"48"	205	86	155	7	4	21	3	3	4	1	1	2	9	4	7	9	41	23	18	8	11	25	8	15	670	0	670	NA
"57"	"49"	362	21	157	17	1	35	1	3	5	1	3	2	2	11	4	4	8	6	5	1	1	10	5	6	671	0	671	NA
"58"	"50"	250	8	166	50	5	31	3	30	2	1	3	9	3	5	9	16	12	2	6	6	2	11	1	9	640	0	640	NA
"59"	"51"	131	10	130	144	1	17	4	1	6	2	1	3	1	0	2	0	4	4	3	0	2	9	0	2	477	0	477	NA
"60"	"52"	173	6	154	6	1	46	4	9	7	1	4	13	4	6	9	21	7	5	2	1	3	17	4	8	511	0	511	NA
"61"	"53"	140	4	111	11	9	24	2	2	8	3	1	5	3	5	0	5	19	8	11	8	13	21	9	12	434	0	434	NA
"62"	"54"	9	3	503	6	8	37	2	4	6	1	2	9	4	11	2	2	0	0	6	4	0	17	2	2	640	0	640	NA
"63"	"55"	71	1	312	10	4	72	0	0	3	3	3	4	1	6	10	0	9	3	4	1	5	32	4	3	561	0	561	NA
"64"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"66"	"56"	27	2	126	5	1	26	2	1	0	0	0	0	0	2	5	1	1	2	1	0	2	6	1	1	212	0	212	NA
"67"	"57"	58	1	323	12	14	101	6	2	6	0	0	11	2	4	1	5	1	1	3	0	2	9	0	3	565	0	565	NA
"68"	"58"	212	15	211	10	6	17	16	8	1	2	4	3	2	9	8	7	13	7	4	2	1	9	3	5	575	0	575	NA
"69"	"59"	141	3	95	9	2	21	0	14	6	0	1	1	2	0	1	2	0	0	2	0	1	3	1	1	306	0	306	NA
"70"	"60"	173	20	102	6	5	38	17	9	6	7	6	114	10	9	21	62	4	3	2	0	2	11	0	9	636	0	636	NA
"71"	"61"	86	7	112	17	11	13	2	5	4	1	1	6	8	8	8	6	5	53	4	0	0	5	2	3	367	0	367	NA
"72"	"62"	345	15	33	1	7	8	2	3	4	6	4	3	2	6	4	23	10	7	0	2	0	24	5	7	521	0	521	NA
"73"	"63"	278	12	8	2	0	14	1	2	0	7	1	8	1	6	3	26	19	14	1	0	4	16	0	9	432	0	432	NA
"74"	"64"	81	27	281	14	6	26	3	7	6	4	3	8	2	17	10	11	4	5	4	5	4	43	5	5	581	0	581	NA
"75"	"65"	165	21	177	12	9	50	5	3	5	2	3	4	6	8	6	14	8	4	6	2	1	10	2	3	526	0	526	NA
"76"	"66"	131	4	16	9	5	19	2	6	1	4	4	117	2	5	3	6	24	25	4	1	8	15	4	17	432	0	432	NA
"77"	"67"	170	10	20	21	6	10	1	1	2	0	2	4	2	6	1	4	12	9	2	2	1	1	0	4	291	0	291	NA
"78"	"68"	64	5	175	25	0	24	0	3	2	12	1	1	2	5	2	3	1	3	0	0	1	8	1	3	341	0	341	NA
"79"	"69"	264	94	72	33	2	7	5	1	5	5	3	5	2	16	4	12	15	17	5	4	3	15	2	11	602	0	602	NA
"80"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"82"	"70"	221	4	77	7	1	26	1	1	2	0	0	0	0	1	0	0	8	7	3	1	0	9	1	4	374	0	374	NA
"83"	"71"	168	2	52	4	1	15	1	0	0	0	0	1	3	1	1	4	7	6	1	0	1	5	2	3	278	0	278	NA
"84"	"72"	63	4	186	131	6	40	19	0	1	2	1	3	1	8	6	7	8	1	3	5	0	3	5	0	503	0	503	NA
"85"	"73"	167	9	303	10	15	49	6	3	6	1	2	8	7	12	8	3	2	0	1	0	2	3	1	4	622	0	622	NA
"86"	"74"	201	5	30	8	12	331	7	2	2	1	1	2	1	4	2	8	14	6	2	0	1	21	6	8	675	0	675	NA
"87"	"75"	78	6	234	30	11	63	7	5	10	5	8	9	8	20	6	9	12	6	17	7	11	33	6	18	619	0	619	NA
"88"	"76"	300	35	38	16	5	55	53	1	5	3	2	4	4	31	5	10	16	58	2	2	1	27	4	5	682	0	682	NA
"89"	"77"	99	6	114	1	3	49	0	0	2	0	1	0	0	4	7	9	13	43	6	5	6	33	3	12	416	0	416	NA
"90"	"78"	352	8	17	3	1	32	1	0	0	0	0	0	0	3	1	3	31	19	7	3	4	14	3	10	512	0	512	NA
"91"	"79"	53	1	59	5	4	216	2	0	4	2	5	2	1	13	4	7	3	4	3	3	4	32	3	5	435	0	435	NA
"92"	"80"	86	4	115	6	4	133	4	3	7	0	0	3	0	19	1	5	2	4	1	3	2	28	1	4	435	0	435	NA
"93"	"81"	14	8	84	1	2	97	2	1	1	1	1	2	1	5	1	0	1	0	1	0	1	13	1	1	239	0	239	NA
"94"	"82"	9	15	64	7	6	341	6	2	2	2	5	5	2	3	6	4	2	3	2	1	5	32	2	5	531	0	531	NA
"95"	"83"	33	4	11	6	3	17	1	2	1	0	1	2	1	7	149	9	0	76	1	6	5	0	1	4	340	0	340	NA
"96"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"98"	"84"	27	2	34	7	8	109	4	0	3	3	1	0	4	6	6	3	12	62	8	13	1	30	4	13	360	0	360	NA
"99"	"85"	30	1	14	1	12	46	9	0	1	0	1	0	2	1	0	5	1	19	3	3	2	5	0	2	158	0	158	NA
"100"	"86"	195	19	75	11	7	207	9	0	2	2	1	4	2	8	8	13	14	6	3	2	2	34	5	11	640	0	640	NA
"101"	"87"	147	2	12	1	1	48	1	1	1	2	1	0	0	0	2	5	0	13	0	0	0	1	2	0	240	0	240	NA
"102"	"88"	579	19	18	9	3	13	1	1	0	0	0	1	2	1	3	20	36	24	5	1	1	3	4	8	752	0	752	NA
"103"	"89"	227	8	106	20	11	221	10	6	3	1	2	6	1	6	10	5	9	15	1	1	0	50	3	16	738	0	738	NA
