"Serial.No..of.Polling.Station"	"X."	"No..of.Valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.No..of.Valid.Votes"	"Total.No..of.Rejected.Votes"	"Total"	"No..of.Tendered.votes"
"1"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"2"	"1"	"1"	"9"	"351"	"131"	"60"	"19"	"0"	"4"	"3"	"6"	"5"	"6"	"27"	"5"	"9"	"23"	"15"	"673"	"0"	"673"	"0"
"3"	"2"	"2"	"19"	"423"	"269"	"19"	"8"	"4"	"7"	"4"	"1"	"1"	"1"	"15"	"4"	"4"	"15"	"3"	"797"	"0"	"797"	"0"
"4"	"3"	"3"	"109"	"206"	"34"	"18"	"1"	"2"	"3"	"2"	"1"	"0"	"0"	"1"	"3"	"5"	"9"	"10"	"404"	"0"	"404"	"0"
"5"	"4"	"4"	"1"	"44"	"38"	"7"	"23"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"122"	"0"	"122"	"0"
"6"	"5"	"5"	"11"	"148"	"119"	"13"	"4"	"0"	"3"	"2"	"2"	"5"	"4"	"1"	"3"	"11"	"13"	"4"	"343"	"0"	"343"	"0"
"7"	"6"	"6"	"31"	"318"	"175"	"8"	"4"	"2"	"4"	"1"	"2"	"3"	"2"	"2"	"16"	"12"	"22"	"11"	"613"	"0"	"613"	"0"
"8"	"7"	"7"	"6"	"244"	"107"	"7"	"8"	"0"	"5"	"1"	"2"	"0"	"0"	"0"	"2"	"4"	"9"	"1"	"396"	"0"	"396"	"0"
"9"	"8"	"8"	"15"	"174"	"100"	"34"	"1"	"0"	"4"	"0"	"0"	"2"	"1"	"1"	"3"	"7"	"17"	"6"	"365"	"0"	"365"	"0"
"10"	"9"	"9"	"21"	"285"	"263"	"31"	"10"	"4"	"11"	"5"	"2"	"5"	"4"	"13"	"21"	"30"	"43"	"20"	"768"	"0"	"768"	"0"
"11"	"10"	"10"	"17"	"290"	"119"	"7"	"5"	"3"	"5"	"4"	"2"	"4"	"0"	"3"	"5"	"13"	"28"	"8"	"513"	"0"	"513"	"0"
"12"	"11"	"11"	"45"	"197"	"340"	"21"	"3"	"3"	"4"	"3"	"0"	"3"	"0"	"5"	"4"	"10"	"4"	"7"	"649"	"0"	"649"	"0"
"13"	"12"	"12"	"12"	"388"	"194"	"2"	"1"	"2"	"5"	"5"	"5"	"11"	"8"	"33"	"6"	"12"	"27"	"6"	"717"	"0"	"717"	"0"
"14"	"13"	"13"	"5"	"245"	"78"	"4"	"33"	"3"	"2"	"0"	"2"	"3"	"2"	"17"	"2"	"8"	"14"	"10"	"428"	"0"	"428"	"0"
"15"	"14"	"14"	"5"	"118"	"133"	"13"	"51"	"0"	"6"	"4"	"5"	"1"	"4"	"12"	"7"	"13"	"27"	"11"	"410"	"0"	"410"	"0"
"16"	"15"	"15"	"22"	"123"	"250"	"7"	"3"	"7"	"1"	"2"	"1"	"2"	"1"	"3"	"11"	"23"	"19"	"10"	"485"	"0"	"485"	"0"
"17"	"16"	"16"	"27"	"144"	"285"	"9"	"2"	"1"	"2"	"4"	"1"	"1"	"1"	"2"	"1"	"9"	"4"	"3"	"496"	"0"	"496"	"0"
"18"	"17"	"17"	"31"	"56"	"190"	"5"	"64"	"2"	"0"	"0"	"4"	"0"	"3"	"5"	"3"	"26"	"15"	"10"	"414"	"0"	"414"	"0"
"19"	"18"	"18"	"39"	"116"	"152"	"7"	"37"	"0"	"1"	"2"	"0"	"1"	"2"	"2"	"4"	"7"	"8"	"6"	"384"	"0"	"384"	"0"
"20"	"19"	"19"	"46"	"325"	"118"	"5"	"13"	"2"	"1"	"1"	"2"	"1"	"2"	"0"	"6"	"9"	"25"	"18"	"574"	"0"	"574"	"0"
"21"	"20"	"20"	"47"	"249"	"227"	"10"	"3"	"1"	"2"	"0"	"2"	"1"	"1"	"5"	"4"	"7"	"11"	"7"	"577"	"0"	"577"	"0"
"22"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"23"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"24"	"21"	"21"	"38"	"167"	"185"	"3"	"0"	"5"	"4"	"2"	"12"	"1"	"2"	"10"	"4"	"18"	"19"	"12"	"482"	"0"	"482"	"0"
"25"	"22"	"22"	"11"	"180"	"141"	"6"	"8"	"4"	"1"	"1"	"3"	"0"	"3"	"5"	"7"	"13"	"18"	"9"	"410"	"0"	"410"	"0"
"26"	"23"	"23"	"151"	"166"	"141"	"17"	"61"	"3"	"7"	"3"	"1"	"5"	"3"	"5"	"10"	"13"	"16"	"16"	"618"	"0"	"618"	"0"
"27"	"24"	"24"	"108"	"147"	"239"	"12"	"6"	"6"	"5"	"1"	"0"	"1"	"2"	"2"	"5"	"27"	"20"	"10"	"591"	"0"	"591"	"0"
"28"	"25"	"25"	"119"	"169"	"105"	"7"	"31"	"8"	"5"	"3"	"5"	"1"	"1"	"14"	"6"	"16"	"26"	"25"	"541"	"0"	"541"	"0"
"29"	"26"	"26"	"113"	"179"	"111"	"8"	"7"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"3"	"4"	"7"	"5"	"441"	"0"	"441"	"0"
"30"	"27"	"27"	"56"	"228"	"195"	"9"	"30"	"1"	"4"	"4"	"3"	"3"	"2"	"6"	"8"	"23"	"23"	"18"	"613"	"0"	"613"	"0"
"31"	"28"	"28"	"39"	"80"	"78"	"7"	"11"	"0"	"3"	"3"	"2"	"0"	"1"	"4"	"6"	"9"	"17"	"16"	"276"	"0"	"276"	"0"
"32"	"29"	"29"	"11"	"49"	"72"	"9"	"27"	"1"	"3"	"2"	"4"	"4"	"3"	"24"	"4"	"9"	"10"	"10"	"242"	"0"	"242"	"0"
"33"	"30"	"30"	"118"	"190"	"164"	"7"	"6"	"3"	"2"	"8"	"1"	"6"	"0"	"4"	"7"	"17"	"10"	"15"	"558"	"0"	"558"	"0"
"34"	"31"	"31"	"65"	"153"	"284"	"12"	"4"	"1"	"13"	"4"	"3"	"0"	"2"	"3"	"12"	"26"	"10"	"7"	"599"	"0"	"599"	"0"
"35"	"32"	"32"	"41"	"289"	"245"	"14"	"14"	"9"	"7"	"3"	"4"	"8"	"4"	"12"	"9"	"17"	"24"	"18"	"718"	"0"	"718"	"0"
"36"	"33"	"33"	"14"	"11"	"287"	"5"	"1"	"1"	"3"	"0"	"1"	"0"	"2"	"0"	"1"	"20"	"2"	"4"	"352"	"0"	"352"	"0"
"37"	"34"	"34"	"34"	"106"	"40"	"1"	"16"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"0"	"3"	"2"	"209"	"0"	"209"	"0"
