"BOOTH.NO."	"CHANDESHWRI.SINGH"	"NARENDRA.N..YADAV"	"RAMDEO.SINGH"	"LOVELY.ANAND"	"SHASHI.BHUSHAN.SINGH"	"SANTOSH.KUMAR"	"RAMLAL.SHARMA"	"SEIKH.MAKSUD"	"ASGAR.ALI"	"AHAMAD"	"JANARDAN.P..MANDAL"	"BULBUL.SINGH"	"RAS.BIHARI.MANDAL"	"SANDEEP.KUMAR"
"1"	1	19	360	43	64	63	5	39	8	6	11	12	11	13	35
"2"	2	2	119	11	167	13	1	13	2	1	3	2	5	2	7
"3"	3	5	71	5	173	23	0	17	0	3	1	1	7	4	5
"4"	4	14	309	17	80	28	2	41	30	3	5	4	6	6	5
"5"	5	27	431	29	56	15	4	39	9	3	8	3	10	18	31
"6"	6	33	250	77	128	10	4	31	10	2	3	1	11	4	7
"7"	7	40	433	11	38	21	2	35	11	0	4	8	11	10	34
"8"	8	17	209	5	123	40	5	28	3	4	16	8	7	6	22
"9"	9	49	355	88	21	75	4	51	7	2	9	17	23	10	16
"10"	10	43	465	50	16	13	2	35	8	1	3	2	16	7	35
"11"	11	8	180	12	54	44	4	34	7	6	7	14	20	77	22
"12"	12	3	100	52	57	21	1	22	8	2	7	6	26	9	9
"13"	13	14	308	5	103	2	2	38	6	1	2	3	14	10	17
"14"	14	21	213	35	29	15	3	70	8	0	2	3	77	4	9
"15"	15	13	86	43	48	111	8	24	30	13	17	33	20	7	37
"16"	16	17	139	12	70	15	1	35	3	2	3	5	212	5	23
"17"	17	12	167	9	39	19	3	13	1	1	4	5	12	1	3
"18"	18	20	294	10	46	6	3	37	5	1	1	1	5	22	7
"19"	19	21	240	20	20	10	4	78	2	5	9	5	26	9	43
"20"	20	3	57	2	243	0	2	16	0	0	0	3	63	4	7
"21"	21	6	87	16	235	17	6	21	3	3	1	2	54	2	2
"22"	22	14	383	9	25	25	1	44	5	1	2	2	12	5	6
"23"	NA	13	192	14	75	9	2	14	3	5	1	4	3	15	10
"24"	23	27	291	12	15	96	6	52	10	4	18	14	19	9	8
"25"	24	26	331	22	14	98	5	37	6	3	10	12	9	4	7
"26"	25	18	265	3	134	81	5	35	3	1	10	21	14	6	13
"27"	26	22	307	11	7	13	3	76	4	0	3	0	7	8	8
"28"	27	16	404	10	9	11	2	35	7	0	2	1	2	27	13
"29"	28	23	353	9	16	1	3	13	3	1	3	2	2	2	17
"30"	29	8	144	6	126	27	1	10	0	0	4	3	5	1	5
"31"	30	27	484	7	37	46	1	26	3	1	2	3	2	3	7
"32"	31	17	261	4	9	6	1	37	0	0	2	1	2	0	2
"33"	32	18	460	39	101	5	4	55	39	2	8	4	4	13	21
"34"	33	17	164	18	208	127	3	25	18	6	6	14	11	4	21
"35"	34	16	163	27	280	7	4	8	11	2	3	6	7	7	11
"36"	35	35	148	41	220	36	10	34	5	10	14	18	19	14	18
"37"	36	17	172	39	336	31	4	25	9	7	6	3	5	1	9
"38"	37	13	36	22	284	28	2	4	4	2	2	0	2	1	6
"39"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	38	41	393	12	19	122	13	77	7	3	21	19	8	6	33
"41"	39	104	448	7	5	8	2	39	6	2	3	4	13	13	40
"42"	40	11	198	11	61	96	6	18	3	1	5	10	6	3	10
"43"	41	26	363	4	37	172	10	12	4	3	8	16	3	3	8
"44"	42	4	152	2	280	10	3	34	3	0	1	4	10	3	6
"45"	43	18	340	6	31	29	1	26	3	0	0	3	3	8	8
"46"	44	25	526	14	39	48	5	60	2	1	8	7	6	11	15
"47"	45	10	340	9	98	48	9	52	4	3	5	8	22	7	15
"48"	46	24	325	4	30	152	7	54	3	4	9	6	2	0	4
"49"	47	13	439	11	92	108	5	45	2	1	7	4	8	2	7
"50"	48	10	281	14	257	92	7	38	7	1	9	9	12	3	5
"51"	49	11	300	7	65	80	5	32	6	2	17	8	18	10	11
"52"	50	31	184	15	179	190	22	30	9	8	25	22	12	11	11
"53"	51	13	421	15	74	2	6	30	5	3	2	2	21	12	7
"54"	NA	3	55	7	197	49	5	8	8	1	7	12	158	9	23
"55"	52	9	151	3	54	170	8	20	1	3	8	10	5	4	7
"56"	53	16	55	30	220	88	10	36	19	12	18	24	23	7	18
"57"	54	19	287	3	120	58	4	24	3	3	3	6	5	7	6
"58"	55	8	358	4	22	6	0	14	2	0	2	1	7	3	7
"59"	56	18	322	18	49	28	6	35	13	2	5	1	6	14	8
"60"	57	14	300	6	154	12	3	21	5	1	1	0	2	5	4
"61"	58	21	389	7	75	49	0	15	1	0	0	2	1	1	9
"62"	59	6	204	5	16	90	3	10	1	0	3	5	4	1	4
"63"	60	7	351	11	41	20	1	22	3	2	0	1	5	5	9
"64"	61	6	141	15	240	22	0	7	2	3	3	2	2	3	5
"65"	62	13	365	12	77	34	2	32	4	4	1	4	4	3	5
"66"	63	9	329	10	13	99	9	28	1	6	13	14	11	11	19
"67"	64	13	369	14	137	20	2	23	3	1	2	3	9	6	26
"68"	65	17	516	25	121	13	6	37	5	3	2	4	4	11	4
"69"	66	3	124	3	111	36	4	11	28	3	4	2	4	1	11
"70"	67	6	321	6	74	11	1	30	1	0	2	1	4	6	6
"71"	68	16	240	27	217	53	4	60	12	3	1	4	7	5	6
"72"	69	6	156	11	85	12	1	5	1	0	0	0	2	0	3
"73"	70	3	43	23	280	194	8	9	5	3	22	21	6	9	15
"74"	71	15	228	15	151	43	5	40	2	0	2	2	2	2	4
"75"	NA	12	178	4	113	75	4	23	1	0	3	5	0	2	4
"76"	72	61	254	7	197	225	6	68	7	2	16	15	10	4	6
"77"	73	12	240	19	191	22	4	42	9	4	4	4	3	5	24
"78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	74	10	148	6	59	100	8	40	11	4	8	16	2	3	5
"80"	75	4	145	2	237	35	3	19	6	0	0	6	12	6	7
"81"	76	14	309	7	144	34	1	28	6	2	5	3	15	3	16
"82"	77	21	168	13	149	177	13	35	14	8	18	28	9	6	13
"83"	78	17	252	29	173	23	8	54	8	0	7	8	5	3	20
"84"	79	22	488	14	14	123	9	61	8	2	6	12	9	3	7
"85"	80	13	340	25	54	87	9	56	1	2	4	8	10	5	10
"86"	81	9	448	15	108	17	3	24	6	1	0	3	5	5	3
"87"	82	35	454	17	93	30	2	33	7	2	7	7	16	23	43
"88"	83	32	103	31	312	40	2	14	16	1	2	1	1	2	1
"89"	84	56	338	15	94	97	3	46	25	5	9	6	5	2	8
"90"	85	28	93	7	66	19	2	16	136	1	3	1	8	11	13
"91"	86	10	187	10	22	15	2	22	58	1	1	3	22	6	6
"92"	87	43	207	14	31	229	10	26	1	4	23	16	3	4	16
"93"	88	31	347	10	90	30	4	57	3	3	3	4	6	6	6
"94"	89	26	188	6	94	72	5	43	6	0	4	3	3	1	7
"95"	90	78	254	18	25	30	0	41	4	3	3	0	1	2	5
"96"	91	170	202	7	47	75	2	47	3	1	4	2	4	3	12
"97"	92	60	246	3	27	140	3	82	5	4	11	7	3	4	9
"98"	93	21	154	9	14	128	6	48	6	1	16	15	7	5	13
"99"	94	42	309	13	57	117	6	65	12	0	12	18	9	8	10
"100"	95	19	258	17	174	167	9	43	6	7	20	19	15	13	27
"101"	96	55	153	11	54	273	11	42	12	8	34	32	17	8	16
"102"	97	9	381	16	129	8	1	94	7	2	5	6	17	14	17
"103"	98	15	130	17	89	108	7	48	6	1	12	17	2	1	6
"104"	99	12	230	7	42	313	10	48	11	5	18	26	18	12	13
"105"	100	29	487	9	24	65	5	122	15	4	9	5	17	4	15
"106"	101	21	356	6	18	52	0	47	4	3	7	14	23	5	14
"107"	102	11	189	11	47	86	7	45	6	1	7	9	15	4	22
"108"	103	16	151	12	137	58	2	51	4	2	13	8	14	7	25
"109"	104	17	301	16	46	57	4	65	5	2	5	7	8	23	11
"110"	105	17	135	25	136	56	7	49	22	5	6	4	16	18	21
"111"	106	35	186	10	30	91	10	160	14	3	6	12	17	4	9
"112"	107	12	458	6	14	4	2	87	10	1	0	0	4	8	5
"113"	108	17	299	19	41	4	0	40	6	1	0	7	10	9	11
"114"	109	19	316	9	147	83	6	29	4	4	6	15	13	7	10
"115"	110	36	617	9	57	4	6	39	4	1	1	1	10	2	9
"116"	111	25	290	39	323	14	2	26	11	4	1	3	10	5	13
"117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	112	15	273	14	215	8	1	42	7	2	2	4	21	13	35
"119"	113	24	372	31	140	13	7	31	2	1	2	1	8	7	3
"120"	114	7	124	5	275	12	1	18	3	0	0	4	5	6	4
"121"	115	12	186	6	162	8	3	27	3	2	1	4	8	12	19
"122"	116	14	239	36	16	9	0	14	8	1	1	7	8	21	5
"123"	117	17	392	11	137	75	0	60	4	1	9	7	17	11	24
"124"	118	7	153	6	216	26	2	22	1	1	2	2	35	1	3
"125"	119	14	354	4	106	2	0	42	2	1	1	6	7	7	11
"126"	120	11	661	5	5	2	0	23	4	0	0	0	1	0	6
"127"	121	23	467	8	6	60	1	24	2	2	2	9	5	1	3
"128"	122	9	601	10	33	5	2	64	9	1	1	0	14	64	20
"129"	123	15	323	11	105	2	1	47	1	3	2	5	7	22	17
"130"	124	60	188	18	46	90	4	22	8	4	5	11	5	12	17
"131"	125	5	190	10	193	17	1	14	3	5	0	6	11	5	7
"132"	126	3	73	9	77	68	0	8	0	1	10	8	3	3	3
"133"	127	21	276	33	115	13	4	82	8	93	9	3	7	5	13
"134"	128	9	119	37	349	20	7	9	3	6	1	0	2	2	5
"135"	129	23	110	33	234	13	4	9	5	7	2	5	3	1	7
"136"	130	20	318	6	137	86	9	69	11	7	17	7	17	11	28
"137"	131	11	160	9	146	2	0	32	3	1	1	4	8	4	14
"138"	132	5	186	6	77	2	1	13	0	0	3	0	0	0	2
"139"	133	106	312	16	91	97	5	46	6	0	13	8	16	2	4
"140"	134	71	104	1	7	30	0	12	2	0	4	6	6	0	5
"141"	135	19	351	5	100	3	1	24	1	0	1	0	5	0	9
"142"	136	12	300	11	37	69	3	43	3	3	2	4	2	42	8
"143"	137	23	442	12	114	3	2	57	4	2	5	3	9	17	26
"144"	138	14	285	6	174	19	3	45	11	1	4	1	5	4	13
"145"	139	4	188	8	199	5	1	13	0	0	1	0	2	1	3
"146"	140	7	119	21	126	105	7	31	4	2	8	9	5	7	13
"147"	141	9	178	32	71	104	6	50	3	5	11	20	22	14	15
"148"	142	19	405	19	74	172	10	74	10	2	9	13	14	6	17
"149"	143	34	351	9	46	160	7	52	10	1	12	26	8	2	9
"150"	144	25	270	11	179	15	3	71	7	0	4	5	11	9	13
"151"	145	21	265	9	147	25	5	21	2	0	2	11	5	1	2
"152"	146	10	436	12	42	20	3	69	12	4	1	15	7	7	24
"153"	147	17	236	23	16	63	1	44	6	1	9	23	7	22	7
"154"	148	27	286	13	42	122	3	60	12	5	18	11	8	40	25
"155"	149	20	548	15	34	12	3	43	5	2	1	41	4	64	22
"156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	150	10	214	10	109	147	8	16	2	2	20	11	6	3	13
"158"	151	30	73	13	21	137	4	21	4	2	6	12	2	2	6
"159"	152	8	199	14	246	21	1	29	4	1	1	3	11	9	11
"160"	153	2	158	9	129	41	3	33	3	2	6	4	2	2	17
"161"	154	17	366	25	118	45	5	49	4	1	1	10	12	42	10
"162"	155	23	366	15	167	59	9	49	5	4	13	12	11	12	26
"163"	156	27	410	17	233	15	2	16	6	4	1	5	7	6	25
"164"	157	24	365	45	19	73	4	41	6	7	13	16	16	22	51
"165"	158	17	382	34	149	57	3	72	21	5	13	13	13	12	21
"166"	159	24	290	27	73	175	7	98	9	7	24	31	6	3	10
"167"	160	21	218	14	106	167	4	42	5	3	19	17	16	7	17
"168"	161	21	334	19	25	31	2	64	4	2	4	4	4	15	10
"169"	162	9	239	13	25	64	3	27	9	5	8	9	7	9	25
"170"	163	8	115	278	27	18	0	21	3	0	6	2	4	5	13
"171"	164	18	219	11	130	6	2	15	0	0	0	0	6	2	6
"172"	165	16	186	10	29	17	3	41	5	2	4	2	2	6	9
"173"	166	6	143	10	108	150	5	18	2	3	17	14	9	11	17
"174"	167	16	135	23	89	13	2	27	9	1	1	5	4	54	10
"175"	168	22	258	17	112	32	3	20	5	0	1	3	4	8	5
"176"	169	13	376	14	41	15	1	133	15	3	2	3	14	14	32
"177"	170	14	146	1	10	10	1	102	9	2	2	3	12	5	26
"178"	171	11	439	11	84	33	2	36	6	3	8	15	8	12	18
"179"	172	37	320	17	29	108	2	111	15	8	13	14	13	14	30
"180"	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"181"	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"182"	175	43	220	11	16	137	3	52	16	2	5	7	9	13	15
"183"	176	20	20	4	4	199	4	10	0	0	8	16	2	0	0
"184"	177	21	78	11	13	315	10	23	4	2	21	22	8	2	8
"185"	178	23	131	13	7	277	8	34	5	3	24	26	10	8	10
"186"	179	15	219	6	36	102	4	100	8	3	1	5	3	0	6
"187"	180	176	150	6	13	107	5	41	3	1	7	5	2	5	4
"188"	181	11	328	14	115	9	2	43	1	0	1	0	4	3	9
"189"	182	28	225	5	60	29	2	33	1	1	5	2	4	10	14
"190"	183	21	194	12	42	27	5	116	9	13	8	9	8	11	36
"191"	184	75	181	12	8	114	0	100	7	2	10	13	5	4	14
"192"	185	18	312	21	127	30	11	84	5	1	2	10	15	5	12
"193"	186	232	180	13	16	78	4	67	14	9	12	9	16	10	39
"194"	187	14	287	12	186	20	8	86	13	2	1	7	15	12	10
"195"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	188	6	148	4	7	31	0	14	1	0	9	10	3	19	11
"197"	189	9	244	52	25	56	5	90	9	10	8	19	18	71	65
"198"	190	21	313	23	50	38	6	114	11	4	6	23	20	62	24
"199"	191	67	380	13	25	102	6	72	3	7	15	14	10	9	24
"200"	192	42	228	9	13	88	3	63	4	1	15	14	8	7	10
"201"	193	22	321	21	110	83	9	65	9	5	7	6	11	7	3
"202"	194	38	89	9	33	323	14	37	4	5	36	26	5	6	9
"203"	195	36	359	8	155	87	5	82	10	8	9	19	16	16	28
"204"	196	6	319	9	113	140	7	60	13	4	18	19	17	12	26
"205"	197	8	338	8	51	13	0	99	6	2	6	6	2	4	15
"206"	198	28	384	12	46	191	13	85	12	10	32	18	20	16	44
"207"	199	19	239	11	16	124	13	65	6	5	17	17	11	1	11
"208"	200	19	298	6	29	118	8	47	5	2	10	14	7	5	8
"209"	201	15	261	9	16	119	10	138	10	6	16	21	10	30	14
"210"	202	4	204	10	9	6	1	86	20	6	8	7	18	298	32
"211"	203	21	340	7	13	20	1	90	6	1	1	4	10	82	28
"212"	204	9	175	6	24	10	2	17	201	5	4	0	3	6	6
"213"	205	52	94	7	51	76	12	69	8	2	8	8	8	17	19
"214"	206	43	286	15	7	65	6	60	7	4	10	10	8	12	22
"215"	207	25	19	42	435	40	8	12	54	10	14	20	28	23	54
"216"	208	16	167	16	24	18	5	37	243	9	1	4	4	13	12
"217"	209	64	27	51	347	33	8	13	91	7	6	11	11	7	18
"218"	210	8	51	9	37	16	1	12	281	7	1	1	1	14	7
"219"	211	64	57	30	259	33	5	12	17	0	4	6	7	6	19
"220"	212	32	374	11	16	74	6	58	9	0	7	8	5	4	10
"221"	213	30	432	16	76	25	4	59	16	3	1	7	15	12	22
"222"	214	10	83	248	30	23	2	27	9	2	5	3	7	17	10
"223"	215	26	101	57	72	117	3	42	10	4	15	10	2	21	13
"224"	216	23	342	25	169	59	4	78	40	4	9	7	12	7	9
"225"	217	18	133	69	55	341	17	70	9	2	44	49	14	11	21
"226"	218	96	211	126	44	78	10	79	12	5	12	14	16	96	11
"227"	219	21	323	18	39	37	3	69	15	4	8	2	10	2	4
"228"	220	9	351	11	36	154	7	114	6	11	16	13	10	12	21
"229"	221	21	364	31	55	179	12	80	8	3	35	32	22	6	14
"230"	222	22	292	10	42	239	10	53	13	3	32	40	21	12	37
"231"	223	14	196	16	53	245	16	52	8	4	11	12	9	12	11
"232"	224	7	260	9	40	46	2	33	7	0	4	4	5	5	15
"233"	225	19	171	21	47	162	7	120	9	4	17	13	6	3	10
"234"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	226	10	147	5	32	2	0	30	3	0	1	3	3	9	7
"236"	227	26	359	13	33	29	1	100	19	8	4	3	19	22	44
"237"	228	19	227	16	173	146	7	75	8	9	13	11	11	5	19
"238"	229	6	118	5	38	64	1	30	10	2	1	0	7	5	6
"239"	230	8	211	9	63	77	3	34	2	0	7	8	3	3	3
"240"	231	14	237	9	59	123	8	49	7	3	11	7	20	23	15
"241"	232	17	78	8	30	429	9	28	3	7	36	29	10	2	17
"242"	233	57	66	29	34	305	13	59	6	2	42	34	20	14	20
"243"	234	24	18	27	23	727	12	7	1	0	28	22	7	2	9
"244"	235	43	52	108	32	436	16	35	3	7	23	17	7	4	6
"245"	236	20	107	25	12	394	16	50	9	3	39	21	17	5	11
"246"	237	35	107	17	2	248	3	17	7	5	16	14	10	8	10
"247"	238	29	119	104	8	321	18	29	5	4	39	29	8	19	12
"248"	239	1	23	5	16	139	6	5	2	1	21	8	6	4	2
"249"	240	10	240	13	70	137	7	29	1	1	4	12	5	6	2
"250"	241	39	357	22	101	121	9	80	8	2	18	8	14	25	10
"251"	242	14	107	5	10	141	1	43	5	5	10	9	9	102	17
"252"	243	46	104	7	9	298	13	23	5	10	24	24	9	14	15
"253"	244	24	227	27	213	68	5	63	14	4	15	9	12	94	33
"254"	245	30	147	19	15	73	4	53	15	1	8	10	17	465	89
"255"	246	120	55	43	149	88	8	10	16	3	13	9	5	6	12
"256"	247	44	126	7	8	319	15	19	3	2	34	14	3	2	4
"257"	248	361	52	16	11	325	12	22	2	2	26	16	5	2	14
"258"	249	75	98	30	16	379	19	57	21	12	54	27	15	18	42
"259"	250	112	280	59	26	67	6	173	13	8	16	12	6	16	15
"260"	251	3	89	9	10	79	1	19	4	1	9	8	12	383	33
"261"	252	19	296	51	27	33	1	77	9	5	11	4	11	157	26
"262"	253	22	237	13	33	234	17	87	21	3	31	20	16	47	49
"263"	254	23	93	5	50	293	6	34	3	1	13	19	7	8	28
"264"	255	55	130	7	76	188	18	99	11	4	22	25	7	16	21
"265"	256	54	236	8	11	156	15	82	9	0	11	29	6	58	6
"266"	257	17	300	7	18	131	9	124	11	6	14	35	14	72	32
"267"	258	16	226	16	18	9	5	69	10	1	2	15	2	23	7
"268"	259	24	210	11	42	52	3	73	4	1	13	4	7	5	14
"269"	260	12	303	7	23	4	2	40	2	1	0	2	6	1	5
"270"	261	9	250	6	6	47	2	55	0	1	9	5	9	4	20
"271"	262	17	207	8	99	31	5	60	10	12	253	6	18	11	29
"272"	NA	6774	64964	4920	22622	21612	1310	11915	2887	870	2582	2530	2961	4248	3912
"273"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"274"	NA	0	3	0	0	0	0	0	0	0	0	0	0	0	0
