"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"1"	"[ fu; e 56 º7Ω nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"pÿ  l a0  %&  01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"5"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj  j geku"	""	"t dfj ; k [ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"7"	"1"	"15"	"13"	"189"	"21"	"160"	"7"	"0"	""	"5"	""	""	"1"	""	"3"	""	"2"	""	"5"	""	""	"3"	""	"5"	"18"	"6"	"5"	"3"	"461"	""	"461"	""
"8"	"2"	"5"	"3"	"75"	"11"	"140"	"1"	"1"	""	"6"	""	""	"1"	""	"1"	""	"2"	""	"3"	""	""	"3"	""	"1"	"23"	"3"	"0"	"0"	"279"	""	"279"	""
"9"	"3"	"3"	"37"	"234"	"9"	"174"	"4"	"1"	""	"11"	""	""	"5"	""	"5"	""	"3"	""	"15"	""	""	"2"	""	"6"	"6"	"9"	"5"	"11"	"540"	""	"540"	""
"10"	"4"	"3"	"11"	"122"	"6"	"169"	"1"	"1"	""	"4"	""	""	"0"	""	"0"	""	"4"	""	"7"	""	""	"1"	""	"1"	"5"	"5"	"1"	"2"	"343"	""	"343"	""
"11"	"5"	"1"	"13"	"100"	"9"	"261"	"5"	"2"	""	"7"	""	""	"4"	""	"5"	""	"2"	""	"27"	""	""	"4"	""	"8"	"6"	"6"	"16"	"0"	"476"	""	"476"	""
"12"	"6"	"11"	"25"	"113"	"5"	"355"	"4"	"3"	""	"12"	""	""	"6"	""	"9"	""	"5"	""	"15"	""	""	"3"	""	"5"	"17"	"11"	"15"	"11"	"625"	""	"625"	""
"13"	"7"	"5"	"4"	"273"	"4"	"152"	"3"	"2"	""	"5"	""	""	"8"	""	"3"	""	"1"	""	"5"	""	""	"3"	""	"5"	"46"	"5"	"6"	"10"	"540"	""	"540"	""
"14"	"; ksx"	"43"	"106"	"1106"	"65"	"1411"	"25"	"10"	""	"50"	""	""	"25"	""	"26"	""	"19"	""	"77"	""	""	"19"	""	"31"	"121"	"45"	"48"	"37"	"3264"	""	"3264"	""
"15"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"16"	"d qy  ; ksx"	"43"	"106"	"1106"	"65"	"1411"	"25"	"10"	""	"50"	""	""	"25"	""	"26"	""	"19"	""	"77"	""	""	"19"	""	"31"	"121"	"45"	"48"	"37"	"3264"	""	"3264"	""
