"Candidates.Name...........BOOTH.NO"	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	""	"DR. ARUN KUMAR"	"KISHOR YADAV"	"GANESHI RAM"	"CHOUDHRY MEHBOOBN ALI"	"RAJKUMAR CHOUDHARY"	"HARINANDAN SINGH"	"ASHA DEVI"	"GOPAL KRISHNA"	"POONAM DEVI"	"LALIT SADA"	"Total Valid Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"13"
"3"	"1"	"147"	"159"	"19"	"108"	"16"	"9"	"15"	"13"	"20"	"45"	"551"
"4"	"2"	"43"	"12"	"8"	"437"	"16"	"4"	"1"	"1"	"3"	"7"	"532"
"5"	"3"	"342"	"19"	"12"	"144"	"4"	"8"	"4"	"2"	"4"	"7"	"546"
"6"	"4"	"78"	"187"	"4"	"24"	"0"	"7"	"0"	"2"	"6"	"7"	"315"
"7"	"5"	"366"	"33"	"4"	"61"	"5"	"8"	"1"	"3"	"2"	"0"	"483"
"8"	"6"	"159"	"68"	"8"	"125"	"13"	"15"	"9"	"6"	"10"	"32"	"445"
"9"	"7"	"284"	"82"	"9"	"89"	"10"	"12"	"7"	"7"	"6"	"23"	"529"
"10"	"8"	"220"	"95"	"9"	"78"	"5"	"10"	"6"	"8"	"5"	"16"	"452"
"11"	"9"	"91"	"126"	"1"	"87"	"0"	"7"	"1"	"2"	"5"	"3"	"323"
"12"	"10"	"258"	"88"	"15"	"66"	"8"	"16"	"4"	"4"	"2"	"6"	"467"
"13"	"11"	"269"	"6"	"2"	"150"	"2"	"4"	"1"	"1"	"0"	"4"	"439"
"14"	"12"	"260"	"14"	"6"	"67"	"3"	"8"	"1"	"1"	"0"	"5"	"365"
"15"	"13"	"398"	"132"	"11"	"63"	"3"	"12"	"2"	"4"	"3"	"9"	"637"
"16"	"14"	"251"	"115"	"7"	"105"	"7"	"3"	"0"	"0"	"2"	"4"	"494"
"17"	"15"	"109"	"25"	"3"	"276"	"9"	"7"	"2"	"3"	"0"	"2"	"436"
"18"	"16"	"293"	"10"	"4"	"59"	"1"	"6"	"2"	"1"	"1"	"9"	"386"
"19"	"17"	"176"	"3"	"1"	"108"	"3"	"7"	"1"	"5"	"3"	"17"	"324"
"20"	"18"	"125"	"7"	"1"	"118"	"4"	"2"	"3"	"1"	"2"	"5"	"268"
"21"	"19"	"257"	"74"	"6"	"87"	"10"	"15"	"5"	"2"	"4"	"5"	"465"
"22"	"20"	"105"	"6"	"1"	"95"	"3"	"5"	"5"	"0"	"0"	"7"	"227"
"23"	"21"	"128"	"7"	"5"	"157"	"2"	"6"	"2"	"0"	"9"	"9"	"325"
"24"	"22"	"93"	"18"	"4"	"104"	"4"	"4"	"5"	"2"	"3"	"9"	"246"
"25"	"23"	"234"	"22"	"0"	"124"	"4"	"9"	"1"	"2"	"12"	"13"	"421"
"26"	"24"	"209"	"2"	"1"	"147"	"4"	"8"	"1"	"0"	"4"	"4"	"380"
"27"	"25"	"316"	"7"	"3"	"161"	"3"	"15"	"7"	"3"	"6"	"24"	"545"
"28"	"26"	"270"	"39"	"4"	"37"	"0"	"4"	"0"	"3"	"4"	"1"	"362"
"29"	"27"	"149"	"138"	"8"	"77"	"1"	"1"	"1"	"4"	"10"	"8"	"397"
"30"	"28"	"143"	"8"	"4"	"132"	"3"	"5"	"1"	"2"	"0"	"2"	"300"
"31"	"29"	"141"	"0"	"0"	"5"	"0"	"0"	"1"	"0"	"1"	"12"	"160"
"32"	"30"	"53"	"6"	"0"	"168"	"5"	"1"	"2"	"0"	"1"	"0"	"236"
"33"	"31"	"118"	"15"	"4"	"140"	"3"	"6"	"3"	"2"	"3"	"8"	"302"
"34"	"32"	"173"	"315"	"10"	"62"	"7"	"10"	"7"	"8"	"12"	"5"	"609"
"35"	"33"	"213"	"189"	"7"	"42"	"10"	"6"	"5"	"6"	"4"	"4"	"486"
"36"	"34"	"368"	"161"	"19"	"61"	"6"	"9"	"2"	"3"	"4"	"4"	"637"
"37"	"35"	"216"	"152"	"6"	"57"	"6"	"7"	"7"	"7"	"11"	"7"	"476"
"38"	"36"	"63"	"126"	"9"	"298"	"12"	"10"	"14"	"6"	"9"	"18"	"565"
"39"	"37"	"300"	"72"	"1"	"89"	"8"	"6"	"4"	"2"	"44"	"19"	"545"
"40"	"38"	"221"	"35"	"6"	"63"	"4"	"3"	"3"	"0"	"5"	"6"	"346"
"41"	"39"	"424"	"37"	"5"	"33"	"2"	"11"	"5"	"1"	"0"	"10"	"528"
"42"	"40"	"301"	"200"	"18"	"110"	"11"	"16"	"7"	"12"	"11"	"15"	"701"
"43"	"Candidates Name
--------> BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"44"	""	"DR. ARUN KUMAR"	"KISHOR YADAV"	"GANESHI RAM"	"CHOUDHRY MEHBOOBN ALI"	"RAJKUMAR CHOUDHARY"	"HARINANDAN SINGH"	"ASHA DEVI"	"GOPAL KRISHNA"	"POONAM DEVI"	"LALIT SADA"	"Total Valid Votes"
"45"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"13"
"46"	"41"	"163"	"12"	"0"	"95"	"4"	"5"	"1"	"4"	"2"	"10"	"296"
"47"	"42"	"185"	"5"	"11"	"101"	"2"	"1"	"1"	"0"	"4"	"8"	"318"
"48"	"43"	"171"	"41"	"6"	"81"	"3"	"4"	"3"	"1"	"3"	"10"	"323"
"49"	"44"	"150"	"275"	"11"	"96"	"11"	"11"	"2"	"6"	"16"	"24"	"602"
"50"	"45"	"346"	"46"	"6"	"61"	"5"	"10"	"7"	"10"	"10"	"21"	"522"
"51"	"46"	"84"	"168"	"11"	"20"	"3"	"2"	"1"	"5"	"13"	"4"	"311"
"52"	"47"	"126"	"14"	"6"	"434"	"11"	"11"	"16"	"2"	"4"	"20"	"644"
"53"	"48"	"267"	"38"	"2"	"143"	"2"	"1"	"3"	"1"	"3"	"16"	"476"
"54"	"49"	"134"	"208"	"6"	"25"	"4"	"4"	"2"	"7"	"6"	"2"	"398"
"55"	"50"	"133"	"94"	"7"	"53"	"5"	"15"	"12"	"8"	"7"	"20"	"354"
"56"	"51"	"169"	"142"	"20"	"119"	"23"	"14"	"16"	"16"	"8"	"18"	"545"
"57"	"52"	"246"	"240"	"12"	"47"	"9"	"5"	"4"	"6"	"2"	"3"	"574"
"58"	"53"	"116"	"183"	"10"	"31"	"15"	"18"	"8"	"10"	"25"	"22"	"438"
"59"	"54"	"67"	"247"	"12"	"47"	"6"	"1"	"7"	"6"	"14"	"8"	"415"
"60"	"55"	"51"	"208"	"11"	"160"	"6"	"10"	"4"	"6"	"14"	"15"	"485"
"61"	"56"	"93"	"206"	"16"	"128"	"13"	"15"	"9"	"9"	"12"	"22"	"523"
"62"	"57"	"104"	"149"	"7"	"49"	"3"	"5"	"11"	"9"	"8"	"13"	"358"
"63"	"58"	"221"	"14"	"3"	"58"	"13"	"5"	"5"	"2"	"6"	"9"	"336"
"64"	"59"	"111"	"16"	"1"	"28"	"2"	"6"	"5"	"4"	"0"	"6"	"179"
"65"	"60"	"190"	"47"	"5"	"65"	"8"	"13"	"6"	"4"	"3"	"3"	"344"
"66"	"60A"	"115"	"15"	"7"	"188"	"11"	"14"	"7"	"5"	"9"	"8"	"379"
"67"	"61"	"177"	"183"	"18"	"116"	"10"	"14"	"3"	"8"	"7"	"5"	"541"
"68"	"62"	"620"	"24"	"3"	"50"	"6"	"4"	"2"	"1"	"1"	"25"	"736"
"69"	"63"	"430"	"22"	"3"	"94"	"10"	"11"	"3"	"4"	"2"	"25"	"604"
"70"	"64"	"231"	"29"	"16"	"158"	"8"	"18"	"4"	"4"	"8"	"20"	"496"
"71"	"65"	"151"	"72"	"8"	"249"	"8"	"20"	"4"	"2"	"8"	"11"	"533"
"72"	"66"	"69"	"371"	"13"	"13"	"2"	"1"	"5"	"6"	"5"	"3"	"488"
"73"	"67"	"296"	"46"	"1"	"20"	"2"	"6"	"4"	"4"	"6"	"8"	"393"
"74"	"68"	"333"	"6"	"0"	"11"	"1"	"4"	"0"	"0"	"1"	"2"	"358"
"75"	"69"	"128"	"254"	"23"	"53"	"4"	"7"	"7"	"9"	"15"	"5"	"505"
"76"	"70"	"351"	"56"	"6"	"25"	"0"	"5"	"3"	"6"	"5"	"15"	"472"
"77"	"71"	"176"	"30"	"14"	"181"	"8"	"19"	"2"	"7"	"4"	"18"	"459"
"78"	"72"	"62"	"19"	"1"	"140"	"6"	"6"	"0"	"0"	"1"	"7"	"242"
"79"	"73"	"266"	"87"	"3"	"12"	"1"	"3"	"0"	"1"	"3"	"3"	"379"
"80"	"74"	"134"	"46"	"1"	"16"	"1"	"2"	"1"	"1"	"2"	"17"	"221"
"81"	"75"	"75"	"451"	"7"	"58"	"5"	"4"	"4"	"9"	"20"	"12"	"645"
"82"	"76"	"298"	"97"	"7"	"80"	"8"	"17"	"10"	"11"	"8"	"21"	"557"
"83"	"77"	"385"	"70"	"8"	"78"	"3"	"7"	"3"	"6"	"9"	"25"	"594"
"84"	"78"	"375"	"101"	"5"	"16"	"1"	"1"	"0"	"4"	"2"	"4"	"509"
"85"	"79"	"165"	"1"	"0"	"210"	"5"	"4"	"1"	"1"	"11"	"10"	"408"
"86"	"Candidates Name
--------> BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
