"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…81 - Alinagar Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 215245"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	""	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"9"	""	""	"Abdul Bari
Siddiqui"	"Prabhakar Choudhary"	"Baidynath Mukhia"	"Dr. Madan Mohan  Jha"	""	"Ram Kumar Jha"	"Dileep Kumar Yadav"	"Rajesh Kumar Yadav"	"Harendra Na Singh"	"Manawati Devi"	"Bideshwar Ram"	""	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	""	"16"
"11"	"1"	"1"	"123"	"436"	"11"	"5"	""	"5"	"1"	"24"	"9"	"11"	"15"	"640"	""	"-"	"640"	""	""
"12"	"2"	"2"	"51"	"197"	"4"	"3"	""	"0"	"5"	"8"	"1"	"3"	"2"	"274"	""	"-"	"274"	""	""
"13"	"3"	"3"	"123"	"355"	"9"	"9"	""	"3"	"5"	"9"	"1"	"2"	"10"	"526"	""	"-"	"526"	""	""
"14"	"4"	"4"	"126"	"351"	"10"	"16"	""	"10"	"11"	"61"	"10"	"18"	"29"	"642"	""	"-"	"642"	""	""
"15"	"5"	"5"	"246"	"188"	"5"	"10"	""	"3"	"3"	"54"	"8"	"16"	"31"	"564"	""	"-"	"564"	""	""
"16"	"6"	"6"	"50"	"102"	"9"	"19"	""	"18"	"6"	"88"	"6"	"8"	"27"	"333"	""	"-"	"333"	""	""
"17"	"7"	"6A"	"95"	"37"	"22"	"5"	""	"12"	"5"	"36"	"3"	"3"	"9"	"227"	""	"-"	"227"	""	""
"18"	"8"	"7"	"31"	"18"	"5"	"22"	""	"2"	"3"	"35"	"8"	"5"	"7"	"136"	""	"-"	"136"	""	""
"19"	"9"	"8"	"142"	"56"	"4"	"19"	""	"15"	"11"	"171"	"15"	"6"	"18"	"457"	""	"-"	"457"	""	""
"20"	"10"	"9"	"187"	"66"	"6"	"15"	""	"20"	"12"	"119"	"8"	"6"	"15"	"454"	""	"-"	"454"	""	""
"21"	"11"	"10"	"7"	"251"	"0"	"72"	""	"5"	"0"	"3"	"0"	"5"	"2"	"345"	""	"-"	"345"	""	""
"22"	"12"	"11"	"148"	"92"	"6"	"33"	""	"25"	"3"	"75"	"17"	"3"	"15"	"417"	""	"-"	"417"	""	""
"23"	"13"	"12"	"234"	"15"	"18"	"6"	""	"8"	"6"	"129"	"5"	"6"	"18"	"445"	""	"-"	"445"	""	""
"24"	"14"	"13"	"162"	"35"	"1"	"13"	""	"5"	"5"	"131"	"6"	"2"	"5"	"365"	""	"-"	"365"	""	""
"25"	"15"	"14"	"369"	"96"	"9"	"42"	""	"14"	"9"	"81"	"7"	"3"	"16"	"646"	""	"-"	"646"	""	""
"26"	"16"	"15"	"150"	"215"	"9"	"80"	""	"11"	"4"	"53"	"7"	"11"	"14"	"554"	""	"-"	"554"	""	""
"27"	"17"	"16"	"104"	"221"	"11"	"30"	""	"9"	"4"	"55"	"1"	"3"	"13"	"451"	""	"-"	"451"	""	""
"28"	"18"	"17"	"19"	"309"	"4"	"23"	""	"9"	"2"	"25"	"0"	"6"	"7"	"404"	""	"-"	"404"	""	""
"29"	"19"	"18"	"84"	"176"	"4"	"23"	""	"9"	"1"	"13"	"5"	"8"	"18"	"341"	""	"-"	"341"	""	""
"30"	"20"	"18A"	"180"	"107"	"3"	"13"	""	"5"	"4"	"59"	"3"	"2"	"1"	"377"	""	"-"	"377"	""	""
"31"	"21"	"19"	"128"	"265"	"11"	"27"	""	"26"	"11"	"99"	"11"	"11"	"36"	"625"	""	"-"	"625"	""	""
"32"	"22"	"20"	"80"	"285"	"11"	"31"	""	"31"	"12"	"147"	"10"	"17"	"16"	"640"	""	"-"	"640"	""	""
"33"	"23"	"21"	"55"	"174"	"2"	"95"	""	"18"	"6"	"57"	"3"	"5"	"15"	"430"	""	"-"	"430"	""	""
"34"	"24"	"22"	"6"	"3"	"0"	"1"	""	"7"	"7"	"699"	"5"	"1"	"10"	"739"	""	"-"	"739"	""	""
"35"	"25"	"23"	"22"	"120"	"9"	"40"	""	"18"	"14"	"224"	"14"	"12"	"11"	"484"	""	"-"	"484"	""	""
"36"	"26"	"24"	"87"	"240"	"7"	"6"	""	"2"	"0"	"48"	"5"	"3"	"6"	"404"	""	"-"	"404"	""	""
"37"	"27"	"25"	"12"	"147"	"4"	"20"	""	"11"	"4"	"108"	"2"	"9"	"12"	"329"	""	"-"	"329"	""	""
"38"	"28"	"26"	"178"	"236"	"8"	"5"	""	"3"	"1"	"52"	"4"	"15"	"20"	"522"	""	"-"	"522"	""	""
"39"	"29"	"27"	"92"	"302"	"2"	"22"	""	"11"	"3"	"83"	"3"	"7"	"16"	"541"	""	"-"	"541"	""	""
"40"	"30"	"28"	"238"	"14"	"12"	"16"	""	"5"	"1"	"94"	"0"	"1"	"10"	"391"	""	"-"	"391"	""	""
"41"	"31"	"29"	"349"	"9"	"1"	"14"	""	"2"	"4"	"41"	"3"	"1"	"3"	"427"	""	"-"	"427"	""	""
"42"	"32"	"30"	"137"	"283"	"11"	"11"	""	"18"	"14"	"99"	"6"	"25"	"22"	"626"	""	"-"	"626"	""	""
"43"	"33"	"31"	"89"	"156"	"11"	"16"	""	"15"	"19"	"236"	"3"	"22"	"9"	"576"	""	"-"	"576"	""	""
"44"	"34"	"32"	"32"	"180"	"6"	"17"	""	"12"	"4"	"108"	"4"	"4"	"13"	"380"	""	"-"	"380"	""	""
"45"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	""	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"46"	""	""	"Abdul Bari
Siddiqui"	"Prabhakar Choudhary"	"Baidynath Mukhia"	"Dr. Madan Mohan  Jha"	""	"Ram Kumar Jha"	"Dileep Kumar Yadav"	"Rajesh Kumar Yadav"	"Harendra Na Singh"	"Manawati Devi"	"Bideshwar Ram"	""	""	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	""	"16"
"48"	"35"	"32A"	"15"	"229"	"2"	"44"	""	"11"	"0"	"49"	"0"	"4"	"1"	"355"	""	"-"	"355"	""	""
"49"	"36"	"33"	"69"	"453"	"10"	"22"	""	"9"	"12"	"142"	"4"	"8"	"13"	"742"	""	"-"	"742"	""	""
"50"	"37"	"34"	"164"	"112"	"135"	"7"	""	"16"	"6"	"67"	"27"	"11"	"27"	"572"	""	"-"	"572"	""	""
"51"	"38"	"35"	"62"	"40"	"6"	"6"	""	"9"	"9"	"148"	"8"	"7"	"29"	"324"	""	"-"	"324"	""	""
"52"	"39"	"36"	"158"	"354"	"10"	"6"	""	"3"	"5"	"53"	"6"	"7"	"18"	"620"	""	"-"	"620"	""	""
"53"	"40"	"37"	"29"	"476"	"10"	"7"	""	"7"	"4"	"57"	"1"	"10"	"6"	"607"	""	"-"	"607"	""	""
"54"	"41"	"38"	"33"	"397"	"5"	"38"	""	"14"	"5"	"60"	"7"	"12"	"4"	"575"	""	"-"	"575"	""	""
"55"	"42"	"39"	"23"	"261"	"6"	"3"	""	"8"	"3"	"79"	"7"	"18"	"28"	"436"	""	""	"436"	""	""
"56"	"43"	"40"	"21"	"215"	"55"	"9"	""	"10"	"4"	"61"	"3"	"1"	"12"	"391"	""	"-"	"391"	""	""
"57"	"44"	"41"	"32"	"332"	"8"	"3"	""	"1"	"2"	"20"	"1"	"11"	"25"	"435"	""	"-"	"435"	""	""
"58"	"45"	"42"	"192"	"273"	"7"	"73"	""	"13"	"7"	"62"	"4"	"28"	"33"	"692"	""	"-"	"692"	""	""
"59"	"46"	"43"	"57"	"566"	"4"	"45"	""	"7"	"1"	"3"	"5"	"7"	"10"	"705"	""	"-"	"705"	""	""
"60"	"47"	"44"	"91"	"365"	"7"	"55"	""	"2"	"3"	"24"	"0"	"7"	"11"	"565"	""	"-"	"565"	""	""
"61"	"48"	"45"	"117"	"329"	"9"	"36"	""	"5"	"2"	"52"	"3"	"11"	"23"	"587"	""	"-"	"587"	""	""
"62"	"49"	"46"	"71"	"117"	"46"	"170"	""	"25"	"5"	"41"	"0"	"5"	"12"	"492"	""	"-"	"492"	""	""
"63"	"50"	"47"	"336"	"13"	"0"	"94"	""	"7"	"1"	"9"	"2"	"1"	"2"	"465"	""	"-"	"465"	""	""
"64"	"51"	"48"	"301"	"23"	"2"	"64"	""	"3"	"3"	"8"	"1"	"2"	"5"	"412"	""	"-"	"412"	""	""
"65"	"52"	"49"	"99"	"177"	"69"	"94"	""	"27"	"12"	"69"	"13"	"11"	"24"	"595"	""	"-"	"595"	""	""
"66"	"53"	"50"	"113"	"186"	"7"	"26"	""	"5"	"2"	"20"	"3"	"6"	"15"	"383"	""	"-"	"383"	""	""
"67"	"54"	"51"	"283"	"170"	"4"	"56"	""	"14"	"7"	"84"	"6"	"11"	"21"	"656"	""	"-"	"656"	""	""
"68"	"55"	"52"	"26"	"180"	"0"	"90"	""	"4"	"1"	"1"	"0"	"2"	"1"	"305"	""	"-"	"305"	""	""
