"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"BOOTH_NO"	"PANKAJ KUMAR"	"MAHADEO PRASAD"	"RAMESHWAR PASWAN"	"SINDHU KUMAR PASWAN"	"SUBHASH CHANDRA BOSH"	"KARINA DEVI"	"KRISNHA DEO DAS"	"DEEPAK RAM"	"SUBHASH PASWAN"	"ARJUN DAS"	"PRAYAG CHOUDHRY"	"RAM LAGAN PASWAN"	"TOTAL VALID VOTES"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"3"	"1"	"3"	"15"	"67"	"3"	"33"	"1"	"0"	"0"	"2"	"0"	"17"	"4"	"145"
"4"	"2"	"4"	"15"	"66"	"15"	"97"	"3"	"0"	"1"	"2"	"2"	"11"	"2"	"218"
"5"	"3"	"3"	"35"	"80"	"25"	"67"	"3"	"1"	"1"	"3"	"5"	"12"	"3"	"238"
"6"	"4"	"10"	"71"	"113"	"11"	"89"	"4"	"1"	"2"	"2"	"6"	"0"	"3"	"312"
"7"	"5"	"15"	"100"	"39"	"77"	"59"	"0"	"1"	"2"	"1"	"4"	"8"	"2"	"308"
"8"	"6"	"10"	"108"	"81"	"43"	"75"	"5"	"2"	"4"	"6"	"6"	"16"	"8"	"364"
"9"	"7"	"16"	"33"	"61"	"19"	"244"	"17"	"7"	"21"	"21"	"24"	"44"	"26"	"533"
"10"	"8"	"20"	"36"	"146"	"26"	"91"	"9"	"3"	"6"	"15"	"11"	"11"	"12"	"386"
"11"	"9"	"4"	"2"	"74"	"29"	"58"	"2"	"0"	"0"	"4"	"3"	"3"	"3"	"182"
"12"	"10"	"9"	"18"	"87"	"14"	"68"	"3"	"4"	"3"	"10"	"11"	"8"	"10"	"245"
"13"	"11"	"4"	"17"	"36"	"29"	"84"	"3"	"1"	"2"	"1"	"2"	"5"	"6"	"190"
"14"	"12"	"27"	"80"	"52"	"16"	"146"	"15"	"3"	"10"	"18"	"15"	"60"	"42"	"484"
"15"	"13"	"2"	"21"	"4"	"3"	"106"	"16"	"2"	"5"	"2"	"1"	"9"	"10"	"181"
"16"	"14"	"17"	"24"	"172"	"13"	"182"	"15"	"6"	"5"	"3"	"9"	"31"	"9"	"486"
"17"	"15"	"24"	"60"	"69"	"9"	"99"	"8"	"7"	"5"	"10"	"11"	"8"	"9"	"319"
"18"	"16"	"6"	"46"	"107"	"46"	"51"	"3"	"3"	"0"	"6"	"1"	"8"	"7"	"284"
"19"	"17"	"6"	"11"	"59"	"103"	"366"	"13"	"0"	"6"	"3"	"7"	"25"	"10"	"609"
"20"	"18"	"7"	"44"	"15"	"26"	"140"	"9"	"3"	"3"	"2"	"4"	"4"	"14"	"271"
"21"	"19"	"18"	"71"	"118"	"27"	"81"	"13"	"1"	"4"	"15"	"17"	"14"	"32"	"411"
"22"	"20"	"8"	"46"	"75"	"6"	"182"	"2"	"2"	"7"	"2"	"6"	"9"	"6"	"351"
"23"	"21"	"4"	"11"	"141"	"64"	"26"	"3"	"1"	"3"	"6"	"2"	"2"	"8"	"271"
"24"	"22"	"5"	"15"	"91"	"50"	"72"	"7"	"2"	"1"	"6"	"4"	"3"	"11"	"267"
"25"	"23"	"12"	"9"	"76"	"28"	"113"	"12"	"0"	"4"	"5"	"5"	"4"	"8"	"276"
"26"	"24"	"4"	"28"	"112"	"23"	"155"	"12"	"3"	"2"	"6"	"8"	"5"	"2"	"360"
"27"	"25"	"5"	"6"	"63"	"124"	"14"	"3"	"1"	"2"	"5"	"6"	"8"	"15"	"252"
"28"	"26"	"3"	"3"	"75"	"101"	"8"	"3"	"0"	"0"	"4"	"2"	"2"	"7"	"208"
"29"	"27"	"13"	"73"	"36"	"13"	"5"	"1"	"2"	"2"	"2"	"3"	"4"	"2"	"156"
"30"	"28"	"1"	"22"	"56"	"46"	"36"	"2"	"1"	"2"	"5"	"3"	"4"	"2"	"180"
"31"	"29"	"3"	"64"	"97"	"80"	"61"	"1"	"2"	"4"	"6"	"8"	"15"	"12"	"353"
"32"	"30"	"23"	"30"	"20"	"16"	"208"	"10"	"5"	"17"	"11"	"13"	"15"	"24"	"392"
"33"	"31"	"5"	"3"	"25"	"11"	"74"	"3"	"1"	"5"	"1"	"4"	"3"	"4"	"139"
"34"	"32"	"7"	"57"	"135"	"15"	"103"	"13"	"7"	"6"	"23"	"21"	"22"	"25"	"434"
"35"	"33"	"7"	"28"	"80"	"122"	"117"	"3"	"2"	"2"	"1"	"1"	"1"	"1"	"365"
