"Polling.Station.No."	"Anjani.Devi"	"Aman.Kumar"	"Deep.Narayan.Paswan"	"Pramod.Kumar.Das"	"Ram.Vilash.Paswan"	"Vijay...Kumar.Paswan"	"Gopal.Bharti"	"Nandlal.Paswan"	"Brajesh.Paswan"	"Birendr.a.Kumar.Das"	"Ajab..Lal.Baitha"	"Uttam.Das"	"Upendra.Paswan"	"Usha.Devi"	"Bhupen.dra.Kumar.Mandal"	"Hiralal.Paswan"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"2"	"1"	18	51	16	4	267	121	6	2	4	6	2	9	7	4	9	15	541	0	541	NA
"3"	"2"	9	89	16	0	286	29	2	8	8	6	1	3	2	3	5	7	474	0	474	NA
"4"	"3"	15	184	11	2	179	24	5	3	8	6	11	5	8	5	7	16	489	0	489	NA
"5"	"4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"6"	"5"	14	191	14	8	167	115	5	2	3	1	6	4	6	4	2	7	549	0	549	NA
"7"	"6"	20	251	31	5	142	137	12	5	12	3	7	4	9	5	4	18	665	0	665	NA
"8"	"7"	34	127	11	0	22	285	8	1	3	4	5	1	2	4	3	19	529	0	529	NA
"9"	"8"	6	91	6	4	311	12	1	1	1	1	4	0	1	1	0	3	443	0	443	NA
"10"	"9"	13	285	30	11	201	28	5	5	2	6	3	12	5	8	9	12	635	0	635	NA
"11"	"10"	0	0	0	0	2	10	0	0	0	1	0	0	0	0	1	0	14	0	14	NA
"12"	"11"	2	5	0	0	14	0	0	0	1	0	0	0	0	0	0	1	23	0	23	NA
"13"	"12"	9	166	5	2	17	154	11	2	6	0	1	3	12	7	8	9	412	0	412	NA
"14"	"13"	11	278	13	4	240	9	5	0	7	6	2	6	3	5	9	14	612	0	612	NA
"15"	"14"	32	443	26	5	127	30	6	3	4	3	4	2	10	1	4	10	710	0	710	NA
"16"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
