"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly  :  147 Bakhri (s.C.)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"5"	""	"Gautam Sada"	"Ram Vinod Paswan"	"Ramanand Ram"	"Sajjan Chaudhary"	"Satish Paswan"	"Suryakant Paswan"	"Manoj Rajak"	"Ram Naresh Paswan"	"Sanjeev Ram"	"Ghuran Mochi"	"Vijay Paswan"	""	""	""	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"7"	"1"	"72"	"108"	"214"	"3"	"4"	"113"	"28"	"5"	"6"	"17"	"27"	"597"	"0"	"597"	"0"
"8"	"2"	"14"	"71"	"59"	"7"	"1"	"121"	"8"	"2"	"2"	"2"	"13"	"300"	"0"	"300"	"0"
"9"	"3"	"20"	"89"	"222"	"76"	"6"	"96"	"25"	"9"	"6"	"5"	"17"	"571"	"0"	"571"	"0"
"10"	"4"	"25"	"96"	"167"	"20"	"4"	"213"	"17"	"4"	"2"	"10"	"9"	"567"	"0"	"567"	"0"
"11"	"5"	"8"	"117"	"68"	"12"	"7"	"122"	"15"	"7"	"4"	"11"	"9"	"380"	"0"	"380"	"0"
"12"	"6"	"19"	"114"	"160"	"19"	"0"	"116"	"31"	"9"	"11"	"30"	"36"	"545"	"0"	"545"	"0"
"13"	"7"	"48"	"151"	"131"	"191"	"7"	"120"	"12"	"7"	"4"	"6"	"18"	"695"	"0"	"695"	"0"
"14"	"8"	"48"	"124"	"233"	"22"	"7"	"139"	"31"	"12"	"5"	"7"	"6"	"634"	"0"	"634"	"0"
"15"	"9"	"15"	"174"	"59"	"7"	"7"	"170"	"14"	"5"	"7"	"13"	"19"	"490"	"0"	"490"	"0"
"16"	"9A"	"8"	"86"	"79"	"20"	"4"	"211"	"16"	"3"	"10"	"12"	"25"	"474"	"0"	"474"	"0"
"17"	"10"	"30"	"18"	"228"	"124"	"10"	"90"	"10"	"8"	"6"	"6"	"19"	"549"	"0"	"549"	"0"
"18"	"11"	"11"	"27"	"102"	"135"	"10"	"118"	"11"	"6"	"7"	"5"	"15"	"447"	"0"	"447"	"0"
"19"	"11A"	"21"	"68"	"55"	"172"	"7"	"94"	"4"	"12"	"7"	"17"	"20"	"477"	"0"	"477"	"0"
"20"	"12"	"22"	"30"	"48"	"457"	"7"	"147"	"7"	"14"	"7"	"5"	"16"	"760"	"0"	"760"	"0"
"21"	"13"	"16"	"45"	"19"	"503"	"13"	"22"	"2"	"2"	"2"	"2"	"3"	"629"	"0"	"629"	"0"
"22"	"14"	"33"	"228"	"217"	"40"	"8"	"88"	"18"	"4"	"7"	"21"	"21"	"685"	"0"	"685"	"0"
"23"	"15"	"11"	"188"	"148"	"7"	"6"	"55"	"13"	"2"	"9"	"19"	"47"	"505"	"0"	"505"	"0"
"24"	"16"	"92"	"188"	"279"	"14"	"1"	"27"	"10"	"2"	"9"	"26"	"24"	"672"	"0"	"672"	"0"
"25"	"17"	"36"	"200"	"340"	"17"	"10"	"48"	"15"	"11"	"23"	"54"	"40"	"794"	"0"	"794"	"0"
"26"	"18"	"9"	"120"	"309"	"12"	"3"	"30"	"12"	"7"	"10"	"11"	"16"	"539"	"0"	"539"	"0"
"27"	"19"	"30"	"271"	"177"	"10"	"8"	"52"	"8"	"5"	"5"	"24"	"17"	"607"	"0"	"607"	"0"
"28"	"20"	"86"	"168"	"382"	"38"	"6"	"33"	"15"	"3"	"5"	"14"	"15"	"765"	"0"	"765"	"0"
"29"	"21"	"20"	"139"	"120"	"8"	"8"	"86"	"13"	"6"	"10"	"28"	"33"	"471"	"0"	"471"	"0"
"30"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"31"	""	"Gautam Sada"	"Ram Vinod Paswan"	"Ramanand Ram"	"Sajjan Chaudhary"	"Satish Paswan"	"Suryakant Paswan"	"Manoj Rajak"	"Ram Naresh Paswan"	"Sanjeev Ram"	"Ghuran Mochi"	"Vijay Paswan"	""	""	""	""
"32"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"33"	"22"	"45"	"156"	"302"	"11"	"12"	"153"	"6"	"2"	"1"	"12"	"9"	"709"	"0"	"709"	"0"
"34"	"23"	"11"	"117"	"108"	"8"	"7"	"136"	"7"	"4"	"8"	"21"	"27"	"454"	"0"	"454"	"0"
