"Ac..No."	"BOOTH_.NO"	"BOOTH_.EXT"	"Kaukab.Quadri"	"Jitendra.Singh"	"Nirmala.Devi"	"Dr..Ran.Vijay.Kumar"	"Ramayodhya.Prasad.Yadav"	"Suresh.Prasad.Yadav"	"Awadesh.Mishra"	"Kumari.Anupam.Sinha"	"Sanjay.Sharma"	"Chitranjan.Sharma"	"Devendra.Kumar"	"Madhusud.an.Prasad.Singh"	"Radheysh.yam.Yadav"	"Brijnanad.an.Singh.Yadav"	"TOTAL"	"SLNO"
"1"	219	1	""	11	5	2	101	277	15	3	8	39	9	1	5	5	16	497	1
"2"	219	2	""	31	7	1	211	191	28	5	3	6	8	9	2	3	11	516	2
"3"	219	3	""	68	1	3	184	141	4	5	9	10	3	7	4	17	13	469	3
"4"	219	4	""	11	24	7	166	303	18	8	8	6	5	5	5	20	10	596	4
"5"	219	5	""	63	2	3	238	36	6	1	9	11	9	12	3	6	9	408	5
"6"	219	6	""	33	18	6	198	115	8	7	21	8	3	4	2	3	4	430	6
"7"	219	7	""	146	2	1	103	38	4	0	1	21	0	0	0	1	2	319	7
"8"	219	8	""	14	1	3	385	158	8	1	4	2	13	3	3	0	7	602	8
"9"	219	9	""	32	20	4	301	194	13	6	11	13	3	2	6	5	8	618	9
"10"	219	10	""	7	17	1	264	193	7	2	7	5	6	5	5	4	9	532	10
"11"	219	11	""	7	9	4	242	104	6	7	12	29	8	6	8	11	14	467	11
"12"	219	12	""	35	89	8	328	120	12	6	11	39	8	8	8	17	28	717	12
"13"	219	13	""	26	7	4	223	96	9	7	5	1	5	11	6	16	14	430	13
"14"	219	14	""	7	10	0	21	510	9	2	2	3	2	1	1	1	1	570	14
"15"	219	15	""	24	7	5	215	121	10	2	2	6	2	0	0	4	0	398	15
"16"	219	16	""	24	52	3	164	274	27	4	4	8	3	4	5	2	12	586	16
"17"	219	17	""	171	6	3	214	136	16	5	15	8	11	2	1	7	5	600	17
"18"	219	18	""	15	0	2	8	187	5	0	0	1	0	0	0	2	0	220	18
"19"	219	19	""	24	7	5	385	205	10	6	12	7	11	14	7	6	12	711	19
"20"	219	20	""	13	12	4	230	308	10	0	7	2	2	1	4	1	6	600	20
"21"	219	21	""	9	15	1	253	147	4	0	2	80	5	4	2	0	2	524	21
"22"	219	22	""	19	11	4	321	179	18	3	9	6	6	3	4	3	10	596	22
"23"	219	23	""	139	6	4	189	138	12	7	12	8	19	26	21	23	41	645	23
"24"	219	24	""	72	3	3	187	82	13	4	6	2	8	9	5	3	13	410	24
"25"	219	24	"A"	143	5	1	98	127	6	1	5	10	6	4	1	7	10	424	25
"26"	219	25	""	311	7	4	149	93	15	0	7	7	2	5	1	6	21	628	26
"27"	219	26	""	60	15	6	211	41	11	1	9	3	3	5	2	7	4	378	27
"28"	219	27	""	11	15	6	178	225	20	7	15	6	14	11	4	4	14	530	28
"29"	219	28	""	76	2	3	230	107	4	1	3	0	1	2	2	2	6	439	29
"30"	219	29	""	44	31	2	461	140	26	4	6	6	7	9	4	4	3	747	30
"31"	219	30	""	96	26	2	410	89	13	4	5	2	9	4	4	4	5	673	31
"32"	219	31	""	15	1	1	348	52	1	0	2	0	1	3	0	1	3	428	32
"33"	219	31	"A"	38	0	0	217	62	12	1	3	2	1	0	0	3	1	340	33
"34"	219	32	""	129	1	2	390	43	5	3	6	3	4	3	0	4	6	599	34
