"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 124---Lalganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :124---Lalganj                                                                                                                                                                                                                                No of Voters :254530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ndidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"BOOTH NO"	"ANNU SHUKLA"	"CHANDRA MOHAN CHANCHAL"	"DEONARAYAN PRASAD"	"BINOD KUMAR PANJIYAR"	"BHARAT PRASAD SINGH"	"JAINANDA N RAI"	"GYANENDRA KUMAR SINGH"	"NAVAL KISHOR JHA"	"RANWEER KUMAR RAJAN"	"RUPESH KUMAR SINGH"	"VINOD KUMAR OJHA"	"ABHITABH KUMAR KAMLESH"	"TRIBHUVAN RAI"	"RAJ KUMAR SAH"	"SATYANARAI N THAKUR"	"Total Valid Votes"
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"9"	"1"	"396"	"8"	"10"	"75"	"6"	"10"	"2"	"3"	"7"	"8"	"7"	"20"	"22"	"240"	"42"	"856"
"10"	"2"	"316"	"2"	"0"	"9"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"3"	"7"	"343"
"11"	"3"	"789"	"7"	"2"	"31"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"24"	"2"	"860"
"12"	"4"	"161"	"24"	"7"	"62"	"6"	"2"	"0"	"1"	"2"	"2"	"1"	"12"	"14"	"168"	"23"	"485"
"13"	"5"	"226"	"30"	"13"	"133"	"3"	"12"	"6"	"4"	"6"	"14"	"7"	"23"	"20"	"231"	"29"	"757"
"14"	"6"	"151"	"7"	"5"	"2"	"3"	"1"	"2"	"3"	"3"	"7"	"2"	"7"	"26"	"289"	"23"	"531"
"15"	"7"	"272"	"4"	"1"	"19"	"4"	"3"	"1"	"3"	"0"	"2"	"0"	"3"	"7"	"235"	"19"	"573"
"16"	"8"	"301"	"8"	"5"	"36"	"5"	"1"	"3"	"3"	"3"	"9"	"6"	"18"	"23"	"331"	"48"	"800"
"17"	"9"	"31"	"1"	"2"	"179"	"5"	"0"	"2"	"1"	"1"	"1"	"1"	"15"	"14"	"191"	"4"	"448"
"18"	"10"	"157"	"2"	"8"	"132"	"1"	"6"	"1"	"1"	"2"	"3"	"1"	"15"	"16"	"278"	"25"	"648"
"19"	"11"	"458"	"3"	"3"	"4"	"14"	"2"	"2"	"0"	"0"	"2"	"0"	"0"	"6"	"85"	"12"	"591"
"20"	"12"	"496"	"11"	"5"	"61"	"10"	"8"	"6"	"2"	"3"	"2"	"0"	"4"	"3"	"76"	"15"	"702"
"21"	"13"	"125"	"5"	"10"	"195"	"4"	"2"	"1"	"2"	"1"	"2"	"7"	"16"	"10"	"33"	"13"	"426"
"22"	"14"	"222"	"3"	"2"	"10"	"1"	"3"	"2"	"1"	"5"	"1"	"4"	"2"	"8"	"139"	"22"	"425"
"23"	"15"	"177"	"3"	"6"	"32"	"53"	"6"	"7"	"1"	"5"	"3"	"4"	"8"	"29"	"212"	"11"	"557"
"24"	"16"	"177"	"2"	"5"	"70"	"189"	"4"	"3"	"7"	"4"	"3"	"4"	"15"	"23"	"199"	"26"	"731"
"25"	"17"	"229"	"7"	"14"	"46"	"2"	"3"	"5"	"5"	"4"	"8"	"5"	"9"	"23"	"311"	"25"	"696"
"26"	"18"	"192"	"10"	"10"	"38"	"5"	"4"	"3"	"0"	"0"	"1"	"0"	"3"	"10"	"327"	"8"	"611"
"27"	"18A"	"165"	"10"	"4"	"10"	"6"	"1"	"1"	"1"	"3"	"3"	"1"	"2"	"1"	"109"	"16"	"333"
"28"	"19"	"652"	"1"	"4"	"3"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"5"	"50"	"11"	"732"
"29"	"20"	"293"	"5"	"6"	"71"	"6"	"3"	"1"	"3"	"2"	"7"	"8"	"7"	"27"	"200"	"39"	"678"
"30"	"21"	"154"	"1"	"2"	"68"	"5"	"6"	"0"	"1"	"4"	"2"	"2"	"3"	"4"	"25"	"11"	"288"
"31"	"22"	"435"	"2"	"0"	"39"	"4"	"1"	"0"	"0"	"1"	"1"	"0"	"5"	"3"	"41"	"3"	"535"
"32"	"23"	"125"	"1"	"8"	"206"	"4"	"0"	"0"	"2"	"2"	"2"	"3"	"17"	"12"	"110"	"10"	"502"
"33"	"23A"	"257"	"5"	"1"	"66"	"0"	"2"	"4"	"4"	"3"	"9"	"2"	"6"	"5"	"112"	"15"	"491"
"34"	"BOOTH NO"	"ANNU SHUKLA"	"CHANDRA MOHAN CHANCHAL"	"DEONARAYAN PRASAD"	"BINOD KUMAR PANJIYAR"	"BHARAT PRASAD SINGH"	"JAINANDA N RAI"	"GYANENDRA KUMAR SINGH"	"NAVAL KISHOR JHA"	"RANWEER KUMAR RAJAN"	"RUPESH KUMAR SINGH"	"VINOD KUMAR OJHA"	"ABHITABH KUMAR KAMLESH"	"TRIBHUVAN RAI"	"RAJ KUMAR SAH"	"SATYANARAI N THAKUR"	"Total Valid Votes"
"35"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"36"	"24"	"532"	"5"	"2"	"86"	"3"	"2"	"0"	"5"	"4"	"11"	"0"	"9"	"3"	"129"	"13"	"804"
"37"	"25"	"433"	"7"	"8"	"37"	"4"	"1"	"4"	"5"	"3"	"6"	"0"	"2"	"3"	"210"	"14"	"737"
"38"	"26"	"302"	"4"	"0"	"236"	"7"	"1"	"1"	"2"	"1"	"2"	"3"	"10"	"4"	"139"	"6"	"718"
"39"	"27"	"169"	"2"	"5"	"279"	"5"	"0"	"2"	"2"	"0"	"7"	"2"	"24"	"6"	"71"	"14"	"588"
"40"	"28"	"89"	"0"	"6"	"323"	"5"	"1"	"0"	"4"	"2"	"3"	"2"	"19"	"14"	"46"	"7"	"521"
"41"	"29"	"153"	"4"	"2"	"107"	"3"	"0"	"2"	"0"	"1"	"2"	"0"	"5"	"1"	"126"	"11"	"417"
"42"	"29A"	"161"	"3"	"2"	"107"	"1"	"2"	"1"	"2"	"0"	"3"	"0"	"7"	"9"	"165"	"27"	"490"
"43"	"30"	"234"	"3"	"8"	"134"	"7"	"4"	"1"	"9"	"5"	"4"	"3"	"6"	"23"	"334"	"16"	"791"
"44"	"31"	"151"	"8"	"6"	"77"	"11"	"3"	"2"	"2"	"1"	"2"	"3"	"9"	"8"	"214"	"4"	"501"
"45"	"32"	"216"	"0"	"2"	"15"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"118"	"9"	"372"
"46"	"33"	"168"	"2"	"5"	"92"	"8"	"2"	"7"	"5"	"2"	"3"	"3"	"6"	"5"	"147"	"11"	"466"
