"Total.No..of.Electors.in.Assembly.Constituency."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"41"	"1"	"70"	"25"	"0"	"1"	"231"	"2"	"8"	"3"	"0"	"0"	"6"	"1"	"3"	"3"	"10"	"363"
"42"	"2"	"98"	"9"	"0"	"1"	"301"	"4"	"4"	"1"	"0"	"4"	"11"	"3"	"5"	"5"	"25"	"471"
"43"	"3"	"273"	"19"	"0"	"4"	"198"	"2"	"3"	"6"	"5"	"5"	"10"	"4"	"4"	"4"	"23"	"560"
"44"	"4"	"159"	"5"	"0"	"5"	"443"	"5"	"0"	"6"	"5"	"67"	"8"	"5"	"2"	"2"	"15"	"727"
"45"	"5"	"219"	"10"	"1"	"1"	"381"	"7"	"7"	"10"	"2"	"2"	"2"	"2"	"5"	"1"	"9"	"659"
"46"	"6"	"37"	"19"	"5"	"1"	"372"	"4"	"4"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"3"	"451"
"47"	"7"	"227"	"6"	"6"	"1"	"116"	"2"	"12"	"0"	"3"	"0"	"1"	"3"	"7"	"5"	"9"	"398"
"48"	"8"	"17"	"6"	"1"	"2"	"158"	"4"	"3"	"3"	"1"	"70"	"6"	"0"	"2"	"2"	"7"	"282"
"49"	"9"	"43"	"10"	"2"	"5"	"281"	"6"	"29"	"3"	"4"	"4"	"9"	"4"	"2"	"3"	"14"	"419"
"50"	"10"	"168"	"14"	"0"	"3"	"224"	"8"	"2"	"6"	"2"	"1"	"5"	"2"	"2"	"2"	"8"	"447"
"51"	"11"	"88"	"22"	"50"	"4"	"300"	"4"	"10"	"3"	"6"	"5"	"3"	"9"	"11"	"3"	"23"	"541"
"52"	"12"	"124"	"7"	"0"	"9"	"140"	"3"	"29"	"4"	"1"	"1"	"7"	"3"	"4"	"1"	"3"	"336"
"53"	"13"	"155"	"7"	"1"	"0"	"154"	"1"	"5"	"1"	"2"	"1"	"4"	"2"	"5"	"4"	"16"	"358"
"54"	"14"	"105"	"8"	"25"	"1"	"121"	"2"	"3"	"8"	"1"	"0"	"1"	"3"	"2"	"2"	"4"	"286"
"55"	"15"	"263"	"10"	"2"	"0"	"86"	"2"	"19"	"1"	"2"	"2"	"1"	"2"	"4"	"50"	"12"	"456"
"56"	"16"	"295"	"4"	"97"	"5"	"333"	"3"	"40"	"6"	"3"	"6"	"4"	"9"	"8"	"19"	"24"	"856"
"57"	"17"	"193"	"6"	"5"	"2"	"307"	"13"	"36"	"9"	"1"	"6"	"6"	"2"	"2"	"4"	"9"	"601"
"58"	"18"	"59"	"1"	"1"	"2"	"175"	"1"	"26"	"3"	"0"	"1"	"6"	"7"	"4"	"2"	"9"	"297"
"59"	"19"	"72"	"7"	"0"	"1"	"160"	"5"	"28"	"2"	"1"	"0"	"1"	"3"	"2"	"7"	"6"	"295"
"60"	"20"	"113"	"29"	"19"	"1"	"368"	"5"	"1"	"10"	"3"	"5"	"13"	"4"	"7"	"2"	"12"	"592"
"61"	"21"	"234"	"13"	"1"	"2"	"12"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"3"	"0"	"6"	"278"
"62"	"22"	"433"	"18"	"28"	"4"	"153"	"5"	"1"	"5"	"6"	"6"	"7"	"9"	"24"	"5"	"37"	"741"
"63"	"23"	"181"	"4"	"7"	"1"	"87"	"3"	"1"	"4"	"1"	"1"	"3"	"3"	"1"	"0"	"4"	"301"
"64"	"24"	"130"	"7"	"4"	"2"	"174"	"4"	"21"	"2"	"1"	"0"	"9"	"5"	"5"	"5"	"23"	"392"
"65"	"25"	"339"	"34"	"39"	"5"	"247"	"11"	"5"	"18"	"7"	"1"	"8"	"6"	"15"	"8"	"36"	"779"
"66"	"26"	"14"	"4"	"1"	"3"	"378"	"3"	"63"	"9"	"1"	"3"	"3"	"1"	"1"	"0"	"5"	"489"
"67"	"27"	"277"	"11"	"9"	"1"	"167"	"2"	"1"	"2"	"0"	"0"	"5"	"1"	"5"	"2"	"4"	"487"
"68"	"28"	"116"	"7"	"0"	"3"	"85"	"0"	"4"	"0"	"0"	"0"	"1"	"2"	"4"	"4"	"14"	"240"
"69"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
