"BOOTH.NO"	"UPENDRA.SAHANI"	"MAHAMMED.UMAR.SAIFULLAH.KHAN"	"RADHA.MOHAN.SINGH"	"RAMCHANDRA.SAHANI"	"VIJAY.PRASAD.GUPTA"	"BEMISAL.PRAVIN"	"ARJUN.SINGH.BHARTIY"	"MD..AINULLAH"	"PREMCHANDRA.PRASAD.YADAV"	"RAMBABU.CHAUDHARY"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12
"2"	1	56	144	74	126	124	21	112	18	13	26	714
"3"	2	13	55	30	236	39	11	69	3	11	12	479
"4"	3	12	62	27	191	23	6	187	5	5	15	533
"5"	4	21	275	13	32	171	17	141	19	4	9	702
"6"	5	5	44	8	43	18	2	139	5	18	3	285
"7"	6	6	22	54	69	65	1	48	7	3	3	278
"8"	7	15	55	18	187	158	16	76	8	7	14	554
"9"	8	14	21	8	229	54	7	70	15	7	10	435
"10"	9	4	21	3	163	49	3	57	15	4	3	322
"11"	10	5	144	27	42	11	2	14	4	7	5	261
"12"	11	24	147	40	13	98	8	91	36	5	6	468
"13"	12	49	79	38	106	154	19	185	31	22	10	693
"14"	13	70	8	51	216	80	10	48	73	15	17	588
"15"	14	33	12	36	438	142	13	19	5	11	6	715
"16"	15	53	22	31	286	175	20	10	4	10	5	616
"17"	16	5	1	39	122	3	7	306	7	3	1	494
"18"	17	15	2	5	162	18	9	251	4	2	5	473
"19"	18	9	8	28	190	62	9	94	2	5	0	407
"20"	19	4	20	58	369	46	8	47	3	2	2	559
"21"	20	16	79	1	6	21	177	9	109	2	2	422
"22"	21	3	42	33	417	46	12	39	0	4	5	601
"23"	22	10	26	7	118	45	2	10	6	1	2	227
"24"	23	31	130	21	249	98	22	33	22	12	10	628
"25"	24	10	76	109	210	34	5	25	14	5	7	495
"26"	25	38	83	11	80	21	4	64	141	5	11	458
"27"	26	6	45	76	142	83	13	133	74	12	16	600
"28"	27	8	89	146	157	116	22	19	37	12	18	624
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	1	2	3	4	5	6	7	8	9	10	11	12
"31"	28	6	194	78	62	168	15	21	102	5	11	662
"32"	29	13	93	290	113	62	15	11	14	8	19	638
"33"	30	2	20	28	136	19	1	3	12	0	7	228
"34"	31	15	6	39	306	74	11	17	8	8	20	504
"35"	32	13	72	110	279	109	8	17	3	14	13	638
"36"	33	70	46	19	255	189	9	18	44	4	1	655
"37"	34	11	159	58	190	226	9	24	53	3	11	744
"38"	35	85	25	39	147	198	8	5	7	6	8	528
"39"	NA	27	16	105	83	100	7	8	0	10	8	364
"40"	36	16	58	211	151	81	8	19	9	12	6	571
"41"	37	34	30	80	85	84	9	11	17	299	19	668
"42"	38	23	12	130	246	17	19	136	16	49	9	657
"43"	39	24	36	41	144	154	22	18	68	85	14	606
"44"	40	20	10	119	70	88	14	44	9	92	16	482
"45"	41	6	3	63	40	85	2	9	4	24	7	243
"46"	42	20	16	20	276	64	7	48	0	19	5	475
"47"	43	2	24	10	164	20	4	5	0	5	0	234
"48"	44	8	86	123	171	122	7	16	7	3	8	551
"49"	45	12	21	12	199	85	8	47	7	14	12	417
"50"	46	4	16	95	153	29	4	189	13	8	5	516
"51"	47	7	61	11	64	15	5	31	7	18	10	229
"52"	48	4	25	6	252	58	6	125	8	3	2	489
"53"	49	4	31	3	81	18	4	75	6	1	4	227
"54"	50	6	31	11	308	37	3	90	1	2	5	494
"55"	51	14	28	4	137	68	10	43	0	0	1	305
"56"	52	19	75	4	148	56	9	111	12	15	3	452
"57"	NA	2	32	4	121	50	5	95	3	13	1	326
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	1	2	3	4	5	6	7	8	9	10	11	12
"60"	53	6	84	23	186	95	13	191	13	9	8	628
"61"	54	3	54	11	141	91	10	69	2	0	5	386
"62"	55	9	46	11	337	48	9	97	5	4	2	568
"63"	56	2	104	299	27	15	1	18	4	1	1	472
"64"	NA	5	173	313	39	2	4	13	24	5	0	578
"65"	57	11	86	21	178	155	18	110	6	17	14	616
"66"	58	1	1	0	1	0	3	455	1	0	3	465
"67"	59	3	1	2	4	3	4	481	5	0	3	506
"68"	60	13	161	166	125	65	5	115	9	3	2	664
"69"	61	14	4	11	65	155	23	327	45	6	5	655
"70"	62	11	4	16	140	111	9	187	10	10	15	513
"71"	63	18	9	4	40	21	7	242	1	2	1	345
"72"	64	8	22	9	84	125	17	112	11	7	9	404
"73"	65	3	0	12	26	56	12	458	7	12	11	597
"74"	66	13	70	22	222	72	8	119	45	17	6	594
"75"	67	1	11	6	47	21	2	23	7	2	0	120
"76"	68	46	19	166	242	63	8	6	161	10	6	727
"77"	69	39	27	47	22	48	11	18	462	17	7	698
"78"	70	5	2	3	9	16	0	9	151	10	4	209
