"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 095---Kanti CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of Voters :205260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :095---Kanti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender  Votes"
"7"	""	"AJIT KUMAR"	"ANWAR AZAD"	"ABHAY SHANKAR THAKUR"	"MD.ISRAIL"	"SHAHID EQUBAL"	"ARUN SAH"	"KASHI NATH SAHANI"	"CHANDHESHWAR RAI"	"TAIYAB ALI"	"DEVENDRA RAKESH"	"MD.NAUSHAD"	"PREM KUMAR"	"SURESH PRASAD GUPTA"	"SYED NOUSHAD HASHMI"	"AJAY SHANKAR SHARMA"	"AMARDEV SINGH"	"ASHOK KUMAR CHOUDHARY"	"UMESH PASWAN"	"CHANDRAKANTA SHAHI"	"DINESH KUMAR SINGH"	"MD.NASIR"	"MUNNA MAHTO"	"RAJU THAKUR"	"MD.HABIB"	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"9"	"1"	"282"	"6"	"10"	"15"	"4"	"6"	"2"	"0"	"3"	"4"	"0"	"3"	"0"	"2"	"3"	"0"	"35"	"3"	"7"	"0"	"0"	"0"	"1"	"0"	"386"	""	""
"10"	"2"	"240"	"5"	"48"	"54"	"7"	"3"	"10"	"6"	"3"	"7"	"7"	"4"	"6"	"3"	"8"	"28"	"73"	"3"	"17"	"3"	"2"	"3"	"6"	"8"	"554"	""	""
"11"	"3"	"143"	"8"	"4"	"42"	"10"	"10"	"5"	"3"	"18"	"3"	"1"	"3"	"1"	"6"	"9"	"20"	"190"	"10"	"8"	"1"	"0"	"1"	"1"	"6"	"503"	""	""
"12"	"4"	"72"	"0"	"0"	"29"	"1"	"4"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"4"	"8"	"181"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"311"	""	""
"13"	"5"	"160"	"3"	"6"	"100"	"3"	"4"	"9"	"4"	"8"	"2"	"8"	"0"	"5"	"5"	"19"	"21"	"170"	"5"	"2"	"5"	"0"	"0"	"0"	"7"	"546"	""	""
"14"	"6"	"150"	"4"	"5"	"38"	"6"	"6"	"3"	"1"	"18"	"5"	"1"	"3"	"5"	"4"	"4"	"10"	"262"	"5"	"3"	"2"	"2"	"3"	"2"	"3"	"545"	""	""
"15"	"7"	"27"	"1"	"1"	"304"	"7"	"8"	"3"	"1"	"0"	"0"	"0"	"0"	"5"	"6"	"2"	"8"	"90"	"4"	"10"	"1"	"0"	"0"	"3"	"0"	"481"	""	""
"16"	"8"	"25"	"3"	"0"	"63"	"2"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"48"	"2"	"3"	"3"	"1"	"0"	"1"	"2"	"162"	""	""
"17"	"9"	"14"	"0"	"0"	"221"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"13"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"259"	""	""
"18"	"10"	"325"	"3"	"15"	"8"	"11"	"9"	"6"	"2"	"7"	"5"	"3"	"0"	"2"	"2"	"33"	"28"	"130"	"8"	"6"	"1"	"2"	"0"	"2"	"2"	"610"	""	""
"19"	"11"	"90"	"4"	"6"	"139"	"4"	"4"	"1"	"2"	"6"	"3"	"2"	"0"	"2"	"3"	"5"	"9"	"279"	"6"	"10"	"3"	"2"	"0"	"3"	"4"	"587"	""	""
"20"	"12"	"176"	"0"	"3"	"15"	"3"	"2"	"2"	"2"	"2"	"1"	"0"	"0"	"3"	"1"	"5"	"0"	"82"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"303"	""	""
"21"	"13"	"75"	"12"	"2"	"126"	"6"	"10"	"0"	"1"	"6"	"2"	"0"	"3"	"2"	"1"	"3"	"12"	"150"	"7"	"2"	"7"	"1"	"3"	"2"	"11"	"444"	""	""
"22"	"14"	"97"	"14"	"12"	"21"	"2"	"0"	"0"	"2"	"5"	"4"	"1"	"1"	"0"	"1"	"1"	"3"	"62"	"0"	"7"	"0"	"0"	"1"	"2"	"5"	"241"	""	""
"23"	"15"	"108"	"6"	"6"	"98"	"4"	"6"	"1"	"2"	"7"	"2"	"2"	"1"	"4"	"1"	"4"	"6"	"199"	"3"	"10"	"1"	"3"	"5"	"4"	"5"	"488"	""	""
"24"	"16"	"195"	"1"	"4"	"49"	"4"	"3"	"3"	"1"	"11"	"5"	"0"	"5"	"19"	"5"	"11"	"12"	"110"	"11"	"3"	"2"	"4"	"13"	"6"	"6"	"483"	""	""
"25"	"17"	"115"	"1"	"10"	"55"	"10"	"5"	"7"	"2"	"7"	"4"	"4"	"3"	"1"	"3"	"17"	"18"	"105"	"4"	"1"	"2"	"1"	"3"	"3"	"5"	"386"	""	""
"26"	"18"	"134"	"4"	"4"	"126"	"4"	"7"	"0"	"3"	"2"	"2"	"1"	"4"	"2"	"0"	"3"	"13"	"65"	"1"	"3"	"0"	"1"	"0"	"1"	"3"	"383"	""	""
"27"	"19"	"113"	"2"	"4"	"30"	"3"	"4"	"3"	"1"	"3"	"1"	"0"	"1"	"0"	"6"	"4"	"6"	"66"	"8"	"1"	"1"	"0"	"0"	"1"	"2"	"260"	""	""
"28"	"20"	"248"	"4"	"8"	"17"	"7"	"2"	"5"	"3"	"2"	"0"	"2"	"0"	"1"	"4"	"3"	"6"	"185"	"1"	"3"	"1"	"1"	"6"	"1"	"7"	"517"	""	""
