"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"104&  gFkqv k  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"4"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn
fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"6"	"1"	"20"	"11"	"10"	"148"	"300"	"7"	"5"	"4"	"4"	"1"	"5"	""	"3"	"4"	"5"	"3"	"7"	"9"	"6"	"552"	""	"552"	""
"7"	"2"	"12"	"5"	"6"	"234"	"132"	"5"	"3"	"2"	"3"	"5"	"10"	""	"5"	"7"	"3"	"3"	"8"	"4"	"5"	"452"	""	"452"	""
"8"	"3"	"3"	"10"	"19"	"224"	"111"	"1"	"1"	"5"	"5"	"14"	"11"	""	"31"	"13"	"10"	"8"	"8"	"2"	"4"	"480"	""	"480"	""
"9"	"4"	"7"	"3"	"4"	"70"	"140"	"2"	"4"	"3"	"0"	"2"	"6"	""	"4"	"3"	"5"	"1"	"7"	"0"	"0"	"261"	""	"261"	""
"10"	"5"	"14"	"16"	"19"	"234"	"143"	"4"	"1"	"3"	"2"	"6"	"3"	""	"20"	"8"	"11"	"8"	"7"	"2"	"5"	"506"	""	"506"	""
"11"	"6"	"7"	"9"	"49"	"173"	"111"	"4"	"1"	"5"	"1"	"3"	"3"	""	"4"	"6"	"5"	"3"	"4"	"5"	"0"	"393"	""	"393"	""
"12"	"7"	"14"	"6"	"23"	"286"	"125"	"3"	"4"	"3"	"4"	"5"	"7"	""	"19"	"13"	"8"	"11"	"29"	"3"	"5"	"568"	""	"568"	""
