"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"1"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 139--- Rosera (SC) CONSTITUENCY"	""	""	""	""	""	""	""
"2"	"Assembly Constituency :139---Rosera(SC)                                                                                                  No of Voters :248690"	""	""	""	""	""	""	""
"3"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""
"4"	"Candidates  Name ----->"	"PITAMBER PASWAN"	"BIBHA DEVI"	"MANJU HAJARI"	"SARITA DEVI"	"AASHISH KUMAR PARAS"	"SURESH RAM"	"Total Valid Votes"
"5"	"BOOTH NO"	"3"	"4"	"5"	"6"	"7"	"8"	""
"6"	"1"	"184"	"20"	"206"	"74"	"8"	"14"	"506"
"7"	"2"	"475"	"13"	"32"	"9"	"6"	"27"	"562"
"8"	"3"	"173"	"10"	"222"	"30"	"6"	"11"	"452"
"9"	"3A"	"250"	"8"	"78"	"21"	"2"	"5"	"364"
"10"	"4"	"230"	"12"	"447"	"34"	"16"	"5"	"744"
"11"	"5"	"180"	"11"	"329"	"25"	"13"	"16"	"574"
"12"	"6"	"110"	"12"	"336"	"88"	"13"	"16"	"575"
"13"	"7"	"92"	"10"	"359"	"86"	"11"	"18"	"576"
"14"	"8"	"150"	"8"	"454"	"70"	"22"	"57"	"761"
"15"	"9"	"208"	"13"	"308"	"25"	"9"	"17"	"580"
"16"	"10"	"205"	"14"	"201"	"25"	"9"	"13"	"467"
"17"	"11"	"75"	"14"	"521"	"37"	"17"	"7"	"671"
"18"	"12"	"253"	"9"	"24"	"4"	"2"	"15"	"307"
"19"	"13"	"100"	"11"	"303"	"25"	"9"	"10"	"458"
"20"	"14"	"77"	"8"	"305"	"37"	"6"	"12"	"445"
"21"	"15"	"221"	"9"	"148"	"23"	"4"	"7"	"412"
"22"	"16"	"85"	"7"	"565"	"40"	"13"	"26"	"736"
"23"	"17"	"132"	"7"	"348"	"14"	"7"	"9"	"517"
"24"	"18"	"89"	"12"	"391"	"18"	"11"	"11"	"532"
"25"	"19"	"89"	"13"	"389"	"18"	"7"	"11"	"527"
"26"	"20"	"48"	"8"	"382"	"36"	"9"	"5"	"488"
"27"	"21"	"105"	"4"	"222"	"12"	"4"	"13"	"360"
"28"	"22"	"114"	"7"	"270"	"26"	"11"	"8"	"436"
"29"	"23"	"34"	"9"	"262"	"21"	"4"	"13"	"343"
"30"	"24"	"150"	"7"	"176"	"11"	"1"	"7"	"352"
"31"	"25"	"225"	"31"	"300"	"19"	"11"	"15"	"601"
"32"	"26"	"225"	"10"	"301"	"78"	"9"	"11"	"634"
"33"	"27"	"376"	"19"	"296"	"43"	"17"	"41"	"792"
"34"	"28"	"53"	"10"	"174"	"39"	"9"	"13"	"298"
"35"	"29"	"391"	"10"	"86"	"18"	"5"	"18"	"528"
"36"	"30"	"272"	"17"	"152"	"41"	"7"	"16"	"505"
"37"	"31"	"155"	"8"	"147"	"17"	"8"	"10"	"345"
"38"	"32"	"28"	"10"	"274"	"27"	"7"	"14"	"360"
"39"	"33"	"312"	"24"	"248"	"32"	"22"	"32"	"670"
"40"	"34"	"181"	"16"	"280"	"18"	"9"	"19"	"523"
"41"	"35"	"63"	"4"	"326"	"32"	"8"	"17"	"450"
"42"	"36"	"138"	"7"	"154"	"28"	"8"	"27"	"362"
"43"	"37"	"153"	"9"	"346"	"26"	"6"	"20"	"560"
"44"	"38"	"410"	"27"	"199"	"53"	"23"	"46"	"758"
"45"	"39"	"131"	"17"	"356"	"21"	"19"	"32"	"576"
"46"	"40"	"114"	"12"	"180"	"15"	"3"	"10"	"334"
"47"	"41"	"92"	"11"	"187"	"20"	"7"	"18"	"335"
"48"	"42"	"237"	"12"	"162"	"138"	"7"	"25"	"581"
"49"	"43"	"126"	"9"	"139"	"24"	"7"	"8"	"313"
"50"	"44"	"87"	"10"	"455"	"12"	"3"	"2"	"569"
"51"	"45"	"59"	"7"	"295"	"10"	"7"	"5"	"383"
"52"	"46"	"68"	"10"	"415"	"30"	"10"	"13"	"546"
"53"	"47"	"179"	"16"	"396"	"26"	"27"	"26"	"670"
"54"	"48"	"38"	"9"	"340"	"55"	"3"	"3"	"448"
"55"	"49"	"269"	"31"	"436"	"136"	"27"	"36"	"935"
"56"	"50"	"230"	"16"	"323"	"23"	"13"	"18"	"623"
"57"	"51"	"269"	"20"	"108"	"20"	"11"	"20"	"448"
"58"	"52"	"14"	"0"	"183"	"102"	"0"	"2"	"301"
"59"	"53"	"26"	"2"	"180"	"60"	"5"	"5"	"278"
"60"	"54"	"95"	"5"	"390"	"102"	"11"	"28"	"631"
"61"	"55"	"207"	"29"	"364"	"58"	"9"	"34"	"701"
"62"	"56"	"276"	"15"	"149"	"25"	"5"	"20"	"490"
"63"	"57"	"239"	"23"	"237"	"54"	"23"	"33"	"609"
"64"	"58"	"71"	"8"	"189"	"48"	"11"	"16"	"343"
