"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO BIHAR LEGISLATIVE ASSEMBLY FORM THE 041-NIRMALI CONSTITUENCY NO OF VALID VOTES CASTE IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""
"3"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"4"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"5"	"1"	"335"	"23"	"0"	"3"	"51"	"4"	"5"	"1"	"2"	"4"	"428"
"6"	"1A"	"415"	"24"	"2"	"1"	"14"	"1"	"4"	"4"	"3"	"9"	"477"
"7"	"2"	"431"	"18"	"2"	"2"	"49"	"2"	"1"	"0"	"1"	"13"	"519"
"8"	"2A"	"94"	"71"	"3"	"5"	"165"	"5"	"3"	"4"	"4"	"4"	"358"
"9"	"3"	""	"25"	"2"	"2"	"170"	"1"	"2"	"1"	"1"	"9"	"467"
"10"	"4"	"326"	"85"	"4"	"4"	"54"	"1"	"0"	"3"	"3"	"20"	"500"
"11"	"5"	"203"	"59"	"5"	"5"	"62"	"4"	"5"	"2"	"2"	"3"	"350"
"12"	"6"	"411"	"72"	"4"	"0"	"116"	"1"	"0"	"1"	"2"	"7"	"614"
"13"	"7"	"446"	"75"	"2"	"3"	"79"	"4"	"1"	"3"	"0"	"11"	"624"
"14"	"8"	"315"	"298"	"5"	"4"	"28"	"2"	"0"	"4"	"1"	"3"	"660"
"15"	"9"	"291"	"192"	"5"	"5"	"34"	"0"	"1"	"0"	"2"	"6"	"536"
"16"	"10"	"249"	"97"	"7"	"9"	"170"	"5"	"3"	"4"	"8"	"16"	"568"
"17"	"11"	"157"	"114"	"12"	"3"	"83"	"5"	"5"	"6"	"7"	"7"	"399"
"18"	"12"	"203"	"299"	"7"	"8"	"140"	"6"	"6"	"6"	"9"	"17"	"701"
"19"	"13"	"382"	"9"	"1"	"0"	"24"	"3"	"1"	"2"	"0"	"10"	"432"
"20"	"14"	"251"	"138"	"9"	"1"	"54"	"3"	"1"	"4"	"3"	"4"	"468"
"21"	"15"	"178"	"100"	"8"	"7"	"43"	"1"	"0"	"6"	"0"	"1"	"344"
"22"	"16"	"491"	"72"	"9"	"0"	"57"	"2"	"5"	"1"	"6"	"12"	"655"
"23"	"17"	"523"	"64"	"4"	"5"	"53"	"4"	"9"	"3"	"2"	"16"	"683"
"24"	"18"	"494"	"83"	"5"	"3"	"104"	"8"	"2"	"3"	"3"	"5"	"710"
"25"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"26"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"27"	"19"	"369"	"34"	"1"	"1"	"67"	"2"	"2"	"4"	"1"	"9"	"490"
"28"	"19A"	"304"	"9"	"1"	"2"	"104"	"0"	"2"	"0"	"0"	"1"	"423"
"29"	"20"	"391"	"163"	"8"	"6"	"120"	"4"	"5"	"1"	"1"	"3"	"702"
"30"	"21"	"281"	"68"	"4"	"7"	"79"	"10"	"1"	"2"	"3"	"9"	"464"
"31"	"22"	"276"	"58"	"4"	"4"	"149"	"6"	"1"	"11"	"8"	"21"	"538"
"32"	"23"	"297"	"107"	"6"	"3"	"85"	"2"	"2"	"5"	"6"	"11"	"524"
"33"	"24"	"258"	"50"	"6"	"8"	"168"	"11"	"3"	"3"	"2"	"5"	"514"
"34"	"25"	"246"	"13"	"63"	"10"	"142"	"12"	"8"	"6"	"25"	"28"	"553"
"35"	"26"	"136"	"19"	"2"	"7"	"78"	"4"	"1"	"4"	"1"	"11"	"263"
"36"	"27"	"132"	"46"	"4"	"1"	"43"	"4"	"2"	"2"	"0"	"1"	"235"
"37"	"28"	"117"	"98"	"4"	"5"	"63"	"11"	"3"	"3"	"6"	"11"	"321"
"38"	"29"	"39"	"11"	"1"	"2"	"69"	"2"	"0"	"0"	"1"	"1"	"126"
"39"	"30"	"375"	"113"	"13"	"8"	"53"	"8"	"5"	"10"	"9"	"14"	"608"
"40"	"31"	"363"	"172"	"7"	"7"	"23"	"5"	"3"	"8"	"8"	"11"	"607"
"41"	"32"	"161"	"225"	"5"	"2"	"42"	"2"	"2"	"7"	"5"	"6"	"457"
"42"	"33"	"328"	"88"	"4"	"7"	"89"	"9"	"8"	"5"	"5"	"12"	"555"
"43"	"34"	"586"	"19"	"5"	"9"	"149"	"8"	"3"	"7"	"10"	"28"	"824"
"44"	"35"	"182"	"43"	"45"	"2"	"17"	"1"	"0"	"1"	"0"	"38"	"329"
"45"	"36"	"105"	"245"	"7"	"26"	"12"	"4"	"1"	"3"	"2"	"9"	"414"
"46"	"37"	"69"	"134"	"5"	"83"	"16"	"3"	"2"	"3"	"0"	"0"	"315"
"47"	"38"	"332"	"73"	"3"	"19"	"6"	"2"	"4"	"2"	"3"	"8"	"452"
"48"	"39"	"288"	"10"	"16"	"4"	"105"	"5"	"4"	"3"	"1"	"12"	"448"
"49"	"39A"	"267"	"75"	"3"	"2"	"50"	"3"	"2"	"1"	"4"	"11"	"418"
"50"	"40"	"328"	"16"	"16"	"5"	"48"	"3"	"0"	"1"	"0"	"13"	"430"
"51"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"52"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"53"	"41"	"229"	"1"	"2"	"2"	"85"	"5"	"1"	"1"	"6"	"20"	"352"
"54"	"42"	"390"	"11"	"1"	"6"	"92"	"8"	"2"	"1"	"3"	"8"	"522"
"55"	"43"	"527"	"18"	"6"	"4"	"169"	"0"	"1"	"1"	"2"	"48"	"776"
"56"	"44"	"425"	"7"	"3"	"11"	"116"	"0"	"0"	"1"	"5"	"23"	"591"
"57"	"45"	"252"	"6"	"0"	"11"	"36"	"0"	"0"	"1"	"0"	"11"	"317"
"58"	"46"	"414"	"12"	"2"	"1"	"54"	"3"	"1"	"1"	"5"	"32"	"525"
"59"	"47"	"306"	"48"	"7"	"7"	"45"	"1"	"3"	"2"	"8"	"20"	"447"
"60"	"48"	"226"	"21"	"3"	"8"	"52"	"3"	"0"	"1"	"0"	"11"	"325"
"61"	"49"	"337"	"11"	"5"	"8"	"87"	"3"	"3"	"1"	"2"	"8"	"465"
"62"	"50"	"237"	"24"	"7"	"3"	"47"	"0"	"0"	"1"	"1"	"10"	"330"
"63"	"51"	"453"	"29"	"5"	"21"	"101"	"2"	"1"	"6"	"6"	"43"	"667"
"64"	"52"	"209"	"12"	"2"	"14"	"106"	"1"	"0"	"2"	"6"	"10"	"362"
"65"	"53"	"347"	"9"	"1"	"5"	"58"	"2"	"1"	"1"	"3"	"8"	"435"
"66"	"54"	"293"	"17"	"4"	"8"	"95"	"2"	"1"	"0"	"2"	"9"	"431"
"67"	"55"	"318"	"14"	"4"	"3"	"56"	"2"	"2"	"0"	"1"	"6"	"406"
"68"	"55A"	"303"	"11"	"0"	"6"	"46"	"5"	"3"	"3"	"10"	"13"	"400"
"69"	"56"	"203"	"244"	"6"	"7"	"127"	"10"	"6"	"7"	"5"	"10"	"625"
"70"	"57"	"113"	"57"	"6"	"3"	"17"	"2"	"2"	"1"	"2"	"2"	"205"
"71"	"58"	"141"	"66"	"3"	"0"	"39"	"0"	"1"	"3"	"4"	"5"	"262"
"72"	"59"	"171"	"128"	"65"	"4"	"104"	"5"	"3"	"5"	"6"	"9"	"500"
"73"	"60"	"165"	"171"	"11"	"7"	"68"	"3"	"2"	"4"	"6"	"11"	"448"
"74"	"61"	"394"	"104"	"9"	"23"	"194"	"7"	"4"	"9"	"9"	"19"	"772"
"75"	"62"	"140"	"114"	"2"	"4"	"20"	"2"	"0"	"0"	"4"	"0"	"286"
"76"	"63"	"71"	"85"	"177"	"15"	"186"	"11"	"5"	"9"	"6"	"3"	"568"
"77"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"78"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"79"	"64"	"107"	"130"	"147"	"7"	"159"	"12"	"4"	"13"	"6"	"10"	"595"
"80"	"65"	"71"	"52"	"11"	"3"	"78"	"3"	"1"	"2"	"0"	"5"	"226"
"81"	"66"	"90"	"29"	"82"	"10"	"369"	"10"	"0"	"2"	"4"	"9"	"605"
"82"	"67"	"391"	"242"	"6"	"5"	"24"	"3"	"3"	"3"	"5"	"8"	"690"
"83"	"68"	"114"	"11"	"252"	"13"	"117"	"12"	"8"	"12"	"4"	"19"	"562"
"84"	"68A"	"24"	"7"	"199"	"8"	"46"	"4"	"1"	"1"	"0"	"3"	"293"
"85"	"69"	"354"	"9"	"30"	"21"	"353"	"14"	"9"	"10"	"13"	"18"	"831"
"86"	"70"	"421"	"14"	"143"	"4"	"206"	"12"	"3"	"28"	"2"	"13"	"846"
"87"	"71"	"270"	"22"	"10"	"16"	"395"	"12"	"7"	"3"	"22"	"13"	"770"
"88"	"72"	"329"	"361"	"18"	"6"	"79"	"18"	"8"	"104"	"23"	"33"	"979"
"89"	"73"	"221"	"77"	"8"	"4"	"105"	"4"	"0"	"2"	"6"	"3"	"430"
"90"	"74"	"330"	"147"	"18"	"7"	"122"	"5"	"8"	"3"	"5"	"9"	"654"
"91"	"75"	"409"	"106"	"7"	"6"	"25"	"7"	"2"	"6"	"0"	"9"	"577"
"92"	"76"	"330"	"304"	"15"	"3"	"36"	"5"	"4"	"10"	"5"	"14"	"726"
"93"	"77"	"190"	"10"	"5"	"8"	"326"	"10"	"8"	"4"	"4"	"11"	"576"
"94"	"78"	"317"	"21"	"24"	"5"	"120"	"5"	"4"	"2"	"4"	"2"	"504"
"95"	"79"	"419"	"37"	"40"	"6"	"150"	"6"	"6"	"7"	"11"	"25"	"707"
"96"	"80"	"326"	"31"	"5"	"5"	"101"	"6"	"3"	"2"	"4"	"10"	"493"
"97"	"81"	"493"	"63"	"20"	"9"	"155"	"41"	"6"	"7"	"12"	"20"	"826"
"98"	"82"	"450"	"160"	"135"	"16"	"82"	"5"	"11"	"8"	"11"	"21"	"899"
"99"	"83"	"219"	"13"	"8"	"2"	"224"	"3"	"2"	"0"	"0"	"6"	"477"
"100"	"84"	"434"	"26"	"30"	"2"	"74"	"5"	"0"	"1"	"0"	"4"	"576"
"101"	"85"	"498"	"121"	"33"	"7"	"58"	"6"	"10"	"9"	"15"	"45"	"802"
"102"	"86"	"269"	"47"	"7"	"0"	"32"	"5"	"3"	"5"	"2"	"8"	"378"
"103"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"104"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"105"	"87"	"76"	"70"	"9"	"4"	"105"	"3"	"1"	"1"	"2"	"9"	"280"
"106"	"88"	"70"	"117"	"3"	"1"	"43"	"1"	"0"	"0"	"2"	"4"	"241"
"107"	"89"	"280"	"324"	"8"	"4"	"55"	"5"	"1"	"6"	"3"	"14"	"700"
"108"	"90"	"348"	"16"	"6"	"2"	"146"	"8"	"2"	"5"	"20"	"5"	"558"
"109"	"91"	"326"	"21"	"8"	"6"	"333"	"9"	"3"	"0"	"0"	"2"	"708"
"110"	"92"	"45"	"24"	"0"	"4"	"98"	"2"	"2"	"0"	"2"	"1"	"178"
"111"	"93"	"204"	"122"	"6"	"4"	"143"	"13"	"5"	"4"	"2"	"3"	"506"
"112"	"93A"	"164"	"76"	"3"	"3"	"60"	"5"	"2"	"0"	"2"	"15"	"330"
"113"	"94"	"255"	"54"	"5"	"5"	"238"	"7"	"3"	"2"	"2"	"6"	"577"
"114"	"95"	"263"	"222"	"11"	"14"	"32"	"3"	"4"	"5"	"3"	"11"	"568"
"115"	"96"	"171"	"77"	"4"	"2"	"75"	"11"	"2"	"8"	"8"	"11"	"369"
"116"	"97"	"535"	"66"	"7"	"2"	"108"	"8"	"3"	"4"	"10"	"32"	"775"
"117"	"98"	"131"	"85"	"3"	"1"	"20"	"0"	"0"	"0"	"2"	"2"	"244"
"118"	"99"	"190"	"14"	"2"	"2"	"42"	"11"	"4"	"1"	"2"	"20"	"288"
"119"	"100"	"164"	"13"	"3"	"7"	"82"	"7"	"0"	"2"	"2"	"1"	"281"
"120"	"101"	"70"	"23"	"3"	"2"	"79"	"38"	"3"	"5"	"3"	"13"	"239"
"121"	"102"	"74"	"5"	"3"	"5"	"171"	"8"	"0"	"3"	"1"	"1"	"271"
"122"	"103"	"96"	"73"	"5"	"5"	"216"	"20"	"0"	"3"	"1"	"12"	"431"
"123"	"104"	"186"	"15"	"4"	"1"	"112"	"5"	"3"	"1"	"5"	"14"	"346"
"124"	"105"	"55"	"101"	"8"	"11"	"195"	"5"	"3"	"2"	"0"	"3"	"383"
"125"	"106"	"435"	"34"	"10"	"6"	"77"	"4"	"2"	"3"	"7"	"7"	"585"
"126"	"107"	"137"	"9"	"1"	"1"	"20"	"3"	"0"	"1"	"3"	"7"	"182"
"127"	"108"	"46"	"48"	"4"	"1"	"34"	"1"	"1"	"2"	"3"	"11"	"151"
"128"	"109"	"68"	"48"	"2"	"2"	"50"	"2"	"1"	"1"	"0"	"3"	"177"
"129"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"131"	"110"	"233"	"11"	"18"	"0"	"28"	"0"	"1"	"1"	"1"	"7"	"300"
"132"	"111"	"211"	"15"	"26"	"4"	"38"	"3"	"1"	"0"	"2"	"2"	"302"
"133"	"112"	"197"	"43"	"2"	"7"	"113"	"2"	"1"	"4"	"3"	"4"	"376"
"134"	"113"	"197"	"263"	"10"	"11"	"113"	"8"	"3"	"3"	"1"	"3"	"612"
"135"	"114"	"88"	"139"	"4"	"9"	"189"	"4"	"3"	"7"	"0"	"8"	"451"
