"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 228- BARACHATTI (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :  228- BARACHATTI (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"7"	"1"	""	"299"	"126"	"23"	"21"	"0"	"2"	"3"	"6"	"1"	"5"	"1"	"2"	"9"	"498"
"8"	"2"	""	"222"	"9"	"29"	"230"	"8"	"3"	"4"	"5"	"3"	"8"	"5"	"3"	"7"	"536"
"9"	"3"	""	"220"	"5"	"4"	"78"	"0"	"1"	"0"	"2"	"2"	"2"	"1"	"1"	"5"	"321"
"10"	"4"	""	"33"	"3"	"5"	"194"	"5"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"245"
"11"	"5"	""	"271"	"4"	"4"	"17"	"4"	"6"	"1"	"3"	"2"	"3"	"0"	"4"	"6"	"325"
"12"	"6"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"13"	"7"	""	"95"	"7"	"8"	"182"	"2"	"2"	"5"	"5"	"8"	"8"	"4"	"5"	"20"	"351"
"14"	"8"	""	"360"	"23"	"39"	"92"	"3"	"5"	"5"	"18"	"7"	"10"	"13"	"14"	"26"	"615"
"15"	"9"	""	"215"	"18"	"10"	"222"	"8"	"22"	"3"	"98"	"5"	"2"	"2"	"5"	"5"	"615"
"16"	"10"	""	"469"	"11"	"8"	"19"	"1"	"63"	"0"	"4"	"5"	"8"	"5"	"4"	"14"	"611"
"17"	"11"	""	"127"	"5"	"8"	"246"	"5"	"19"	"7"	"32"	"7"	"15"	"10"	"6"	"17"	"504"
"18"	"12"	""	"183"	"5"	"2"	"96"	"4"	"1"	"1"	"2"	"1"	"7"	"1"	"1"	"6"	"310"
"19"	"13"	""	"172"	"11"	"17"	"109"	"5"	"24"	"5"	"5"	"3"	"5"	"4"	"4"	"5"	"369"
"20"	"14"	""	"364"	"6"	"3"	"55"	"1"	"5"	"1"	"13"	"2"	"7"	"0"	"1"	"7"	"465"
"21"	"15"	""	"213"	"5"	"1"	"71"	"2"	"2"	"0"	"6"	"3"	"11"	"3"	"1"	"15"	"333"
"22"	"16"	""	"5"	"0"	"1"	"248"	"3"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"263"
