"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Boot h No."	"GANGA KAMAT"	"DINBANDHU YADAV"	"MD. MURSHID KHAN"	"SUJATA DEVI"	"SURYA N. YADAV"	"CHANDRA MOHAN YADAV"	"NARAYAN MANDAL"	"MOHAMMAD MUSTAKIM"	"YOGENDRA YADAV"	"RAJENDRA NIRALA"	"SANJEET KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"DILESHWAR KAMAIT"	""	"RAUSHAN KUMAR"	"LAXMIKANT BHARTI `"	"Total Valid Votes"	"No of Voters
:211401"
"2"	"1"	"18"	"12"	"5"	"323"	"12"	"11"	"7"	"2"	"1"	"2"	"7"	"1"	"9"	"5"	"2"	"11"	"428"	""
"3"	"2"	"9"	"77"	"5"	"120"	"18"	"5"	"6"	"0"	"2"	"4"	"5"	"4"	"31"	"8"	"4"	"4"	"302"	""
"4"	"3"	"1"	"18"	"4"	"160"	"9"	"1"	"0"	"0"	"1"	"2"	"2"	"4"	"30"	"3"	"1"	"18"	"254"	""
"5"	"4"	"4"	"46"	"3"	"169"	"8"	"2"	"1"	"2"	"2"	"4"	"3"	"2"	"8"	"4"	"22"	"4"	"284"	""
"6"	"5"	"10"	"27"	"9"	"520"	"9"	"4"	"4"	"6"	"6"	"8"	"16"	"15"	"40"	"13"	"15"	"64"	"766"	""
"7"	"6"	"11"	"59"	"6"	"371"	"11"	"0"	"3"	"0"	"1"	"4"	"8"	"7"	"16"	"5"	"6"	"11"	"519"	""
"8"	"7"	"8"	"69"	"4"	"256"	"6"	"4"	"4"	"0"	"2"	"3"	"3"	"4"	"10"	"2"	"2"	"9"	"386"	""
"9"	"8"	"9"	"114"	"5"	"212"	"14"	"6"	"9"	"2"	"2"	"5"	"6"	"10"	"42"	"11"	"10"	"24"	"481"	""
"10"	"9"	"30"	"139"	"13"	"354"	"7"	"11"	"7"	"0"	"2"	"5"	"14"	"4"	"19"	"5"	"10"	"12"	"632"	""
"11"	"10"	"5"	"114"	"8"	"72"	"1"	"2"	"3"	"1"	"0"	"4"	"0"	"2"	"6"	"5"	"5"	"8"	"236"	""
"12"	"11"	"3"	"3"	"2"	"311"	"3"	"1"	"1"	"1"	"0"	"0"	"3"	"3"	"11"	"1"	"0"	"4"	"347"	""
"13"	"12"	"5"	"18"	"1"	"236"	"8"	"2"	"1"	"1"	"0"	"1"	"1"	"3"	"20"	"1"	"1"	"10"	"309"	""
"14"	"13"	"4"	"19"	"3"	"192"	"10"	"1"	"4"	"0"	"1"	"2"	"2"	"0"	"12"	"4"	"3"	"7"	"264"	""
"15"	"14"	"4"	"9"	"3"	"62"	"3"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"20"	"4"	"0"	"3"	"117"	""
"16"	"15"	"10"	"12"	"1"	"221"	"3"	"1"	"5"	"2"	"4"	"1"	"2"	"0"	"8"	"2"	"2"	"11"	"285"	""
"17"	"16"	"2"	"3"	"4"	"123"	"9"	"2"	"4"	"1"	"0"	"0"	"3"	"2"	"16"	"1"	"1"	"2"	"173"	""
"18"	"17"	"9"	"16"	"7"	"417"	"21"	"4"	"2"	"2"	"2"	"2"	"22"	"14"	"27"	"11"	"9"	"17"	"582"	""
"19"	"18"	"5"	"226"	"6"	"77"	"8"	"6"	"5"	"1"	"1"	"1"	"3"	"4"	"9"	"5"	"11"	"3"	"371"	""
"20"	"19"	"8"	"88"	"1"	"193"	"85"	"9"	"7"	"1"	"0"	"2"	"4"	"5"	"48"	"13"	"5"	"8"	"477"	""
"21"	"20"	"18"	"75"	"10"	"530"	"24"	"3"	"11"	"3"	"3"	"1"	"2"	"6"	"37"	"14"	"4"	"2"	"743"	""
"22"	"21"	"8"	"264"	"6"	"158"	"13"	"8"	"6"	"29"	"7"	"1"	"3"	"5"	"22"	"16"	"27"	"18"	"591"	""
"23"	"22"	"6"	"51"	"5"	"346"	"4"	"1"	"0"	"0"	"2"	"0"	"4"	"8"	"25"	"10"	"4"	"9"	"475"	""
"24"	"23"	"7"	"121"	"12"	"551"	"22"	"6"	"2"	"25"	"2"	"5"	"11"	"13"	"34"	"14"	"15"	"15"	"855"	""
"25"	"24"	"22"	"252"	"9"	"238"	"42"	"6"	"8"	"90"	"8"	"5"	"5"	"2"	"41"	"5"	"7"	"4"	"744"	""
"26"	"25"	"3"	"85"	"2"	"29"	"4"	"2"	"1"	"3"	"1"	"1"	"2"	"1"	"14"	"2"	"1"	"0"	"151"	""
