"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"ARUN KUMAR SINHA"	"KAPILDEO PRASAD YADAV"	"MD. KAMAL PARWEZ"	"BINDESHWARI PRASAD"	"RAM PAVESH NISHAD"	"RAM BHAJAN SINGH \"NISHAD\""	"WASIM SYED"	"VINAY KUMAR"	"SADHNA MISHRA"	"ER. B. N. SINGH"	"ARJUN KUMAR"	"KUNDAN PRASAD SINGH"	"BALRAM PATEL"	"RENU KUSHWAHA"	"LALA PRASAD BIHARI"	""	""	""	""
"2"	"1"	"294"	"40"	"15"	"9"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"362"	"0"	"362"	"0"
"3"	"2"	"273"	"19"	"27"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"331"	"0"	"331"	"0"
"4"	"3"	"263"	"27"	"61"	"6"	"1"	"1"	"0"	"3"	"0"	"4"	"4"	"1"	"3"	"2"	"4"	"380"	"0"	"380"	"0"
"5"	"4"	"301"	"13"	"22"	"5"	"0"	"0"	"0"	"2"	"1"	"1"	"4"	"0"	"4"	"3"	"0"	"356"	"0"	"356"	"0"
"6"	"5"	"202"	"14"	"30"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"0"	"1"	"1"	"256"	"0"	"256"	"0"
"7"	"6"	"211"	"18"	"34"	"1"	"3"	"3"	"4"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"3"	"281"	"0"	"281"	"0"
"8"	"7"	"199"	"28"	"43"	"2"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"277"	"0"	"277"	"0"
"9"	"8"	"223"	"23"	"41"	"4"	"9"	"0"	"18"	"1"	"0"	"1"	"10"	"0"	"3"	"0"	"3"	"336"	"0"	"336"	"0"
"10"	"9"	"219"	"29"	"22"	"11"	"6"	"2"	"11"	"2"	"0"	"1"	"15"	"1"	"6"	"1"	"2"	"328"	"0"	"328"	"0"
"11"	"10"	"138"	"27"	"52"	"14"	"0"	"0"	"6"	"1"	"2"	"1"	"0"	"0"	"6"	"1"	"1"	"249"	"0"	"249"	"0"
"12"	"10A"	"147"	"26"	"66"	"5"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"256"	"0"	"256"	"0"
"13"	"11"	"289"	"31"	"23"	"6"	"1"	"1"	"7"	"0"	"3"	"0"	"4"	"3"	"2"	"2"	"0"	"372"	"0"	"372"	"0"
"14"	"12"	"147"	"53"	"181"	"5"	"1"	"1"	"0"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"396"	"0"	"396"	"0"
"15"	"13"	"198"	"140"	"145"	"5"	"1"	"2"	"0"	"1"	"1"	"5"	"2"	"1"	"2"	"0"	"0"	"503"	"0"	"503"	"0"
