"Total.No..of.Electors.in.Assembly.Constituency........240418"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"01-Valmikinagar Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"7"	"1"	"55"	"41"	"111"	"445"	"6"	"8"	"2"	"2"	"5"	"2"	"6"	"11"	"12"	"19"	"725"	"0"	"725"	"0"	""	""
"8"	"2"	"148"	"147"	"99"	"267"	"4"	"31"	"2"	"3"	"7"	"4"	"6"	"7"	"15"	"10"	"750"	"0"	"750"	"0"	""	""
"9"	"3"	"42"	"98"	"56"	"510"	"8"	"6"	"5"	"2"	"29"	"3"	"14"	"6"	"9"	"13"	"801"	"0"	"801"	"0"	""	""
"10"	"4"	"117"	"107"	"69"	"314"	"5"	"6"	"4"	"0"	"6"	"4"	"4"	"8"	"7"	"25"	"676"	"0"	"676"	"0"	""	""
"11"	"5"	"54"	"310"	"44"	"84"	"2"	"10"	"2"	"1"	"1"	"1"	"1"	"1"	"4"	"2"	"517"	"0"	"517"	"0"	""	""
"12"	"6"	"112"	"114"	"153"	"334"	"6"	"52"	"3"	"7"	"14"	"6"	"7"	"14"	"12"	"39"	"873"	"0"	"873"	"0"	""	""
"13"	"7"	"70"	"209"	"25"	"185"	"6"	"3"	"1"	"1"	"4"	"1"	"0"	"4"	"3"	"15"	"527"	"0"	"527"	"0"	""	""
"14"	"8"	"136"	"119"	"40"	"131"	"1"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"3"	"435"	"0"	"435"	"0"	""	""
"15"	"9"	"83"	"248"	"58"	"235"	"5"	"12"	"3"	"1"	"3"	"1"	"5"	"5"	"10"	"14"	"683"	"0"	"683"	"0"	""	""
"16"	"10"	"77"	"196"	"160"	"316"	"18"	"6"	"3"	"3"	"17"	"2"	"1"	"3"	"6"	"12"	"820"	"0"	"820"	"0"	""	""
"17"	"11"	"44"	"159"	"35"	"190"	"12"	"1"	"1"	"0"	"2"	"1"	"0"	"4"	"1"	"4"	"454"	"0"	"454"	"0"	""	""
"18"	"12"	"45"	"45"	"24"	"214"	"9"	"17"	"3"	"3"	"288"	"3"	"5"	"3"	"5"	"10"	"674"	"0"	"674"	"0"	""	""
"19"	"13"	"6"	"24"	"8"	"63"	"5"	"11"	"2"	"3"	"405"	"0"	"2"	"2"	"1"	"2"	"534"	"0"	"534"	"0"	""	""
"20"	"14"	"13"	"23"	"83"	"159"	"5"	"9"	"2"	"2"	"222"	"4"	"9"	"6"	"11"	"17"	"565"	"0"	"565"	"0"	""	""
"21"	"Total"	"1002"	"1840"	"965"	"3447"	"92"	"173"	"33"	"29"	"1005"	"32"	"61"	"74"	"96"	"185"	"9034"	"0"	"9034"	"0"	""	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
