"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"JAKIR HUSSAIN"	"DURGA PRASAD"	"NITIN NABIN"	"BINOD KUMAR SRIVASTAVA"	"LEELA SINGH"	"AMAR KANT SAH"	"ASHOK PRASAD"	"MOHAMMED SIRAJ AHMAD"	"RAJU KUMAR VIDYARTHI"	"VIJAY KUMAR"	"BINOY KUMAR SINHA"	"REKHA MODI"	"VISHAL SWAROOP"	"SHIV SHANKAR KUMAR BULLY"	"SUNITA PREETAM"	""	""	""	""
"2"	"1"	"0"	"17"	"326"	"102"	"3"	"1"	"1"	"7"	"2"	"1"	"6"	"6"	"7"	"3"	"7"	"489"	"0"	"489"	"0"
"3"	"2"	"3"	"15"	"351"	"51"	"2"	"1"	"0"	"5"	"1"	"3"	"2"	"2"	"2"	"1"	"0"	"439"	"0"	"439"	"0"
"4"	"3"	"3"	"18"	"287"	"48"	"2"	"4"	"0"	"5"	"9"	"5"	"3"	"2"	"5"	"2"	"0"	"393"	"0"	"393"	"0"
"5"	"4"	"3"	"34"	"210"	"165"	"4"	"3"	"2"	"2"	"3"	"1"	"1"	"2"	"3"	"5"	"5"	"443"	"0"	"443"	"0"
"6"	"5"	"1"	"16"	"202"	"57"	"3"	"0"	"2"	"5"	"0"	"1"	"3"	"3"	"2"	"2"	"0"	"297"	"0"	"297"	"0"
"7"	"6"	"3"	"41"	"296"	"82"	"0"	"1"	"2"	"6"	"2"	"5"	"3"	"5"	"5"	"4"	"4"	"459"	"0"	"459"	"0"
"8"	"7"	"0"	"23"	"374"	"25"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"429"	"0"	"429"	"0"
"9"	"8"	"0"	"19"	"410"	"32"	"4"	"0"	"0"	"3"	"0"	"0"	"3"	"3"	"2"	"4"	"3"	"483"	"0"	"483"	"0"
"10"	"9"	"1"	"13"	"362"	"31"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"413"	"0"	"413"	"0"
"11"	"10"	"0"	"22"	"287"	"15"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"332"	"0"	"332"	"0"
"12"	"11"	"2"	"11"	"218"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"2"	"255"	"0"	"255"	"0"
"13"	"12"	"1"	"26"	"249"	"14"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"295"	"0"	"295"	"0"
"14"	"12A"	"0"	"8"	"179"	"7"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"199"	"0"	"199"	"0"
"15"	"13"	"4"	"10"	"332"	"23"	"0"	"0"	"0"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"378"	"0"	"378"	"0"
"16"	"13A"	"0"	"1"	"158"	"16"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"0"	"179"	"0"
"17"	"14"	"0"	"14"	"301"	"29"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"1"	"1"	"2"	"0"	"353"	"0"	"353"	"0"
"18"	"14A"	"1"	"8"	"177"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"198"	"0"	"198"	"0"
"19"	"15"	"1"	"24"	"381"	"32"	"1"	"1"	"2"	"1"	"0"	"1"	"4"	"0"	"0"	"2"	"0"	"450"	"0"	"450"	"0"
"20"	"15A"	"0"	"2"	"61"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"0"	"67"	"0"
"21"	"16"	"0"	"26"	"332"	"15"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"375"	"0"	"375"	"0"
"22"	"17"	"0"	"16"	"258"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"2"	"293"	"0"	"293"	"0"
"23"	"17A"	"0"	"9"	"133"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"153"	"0"	"153"	"0"
"24"	"18"	"0"	"9"	"145"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"157"	"0"	"157"	"0"
"25"	"19"	"1"	"7"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"75"	"0"	"75"	"0"
"26"	"20"	"0"	"7"	"83"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"95"	"0"	"95"	"0"
"27"	"21"	"0"	"6"	"56"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"80"	"0"	"80"	"0"
"28"	"22"	"0"	"13"	"211"	"21"	"2"	"1"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"252"	"0"	"252"	"0"
"29"	"23"	"1"	"8"	"151"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"181"	"0"	"181"	"0"
"30"	"24"	"2"	"28"	"212"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"247"	"0"	"247"	"0"
"31"	"25"	"0"	"1"	"54"	"12"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"69"	"0"	"69"	"0"
"32"	"26"	"0"	"11"	"83"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"103"	"0"	"103"	"0"
"33"	"27"	"0"	"3"	"84"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"96"	"0"	"96"	"0"
"34"	"28"	"0"	"9"	"146"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"0"	"166"	"0"
"35"	"29"	"0"	"2"	"72"	"35"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"3"	"1"	"3"	"3"	"121"	"0"	"121"	"0"
"36"	"30"	"0"	"14"	"92"	"5"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"117"	"0"	"117"	"0"
"37"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"38"	""	"JAKIR HUSSAIN"	"DURGA PRASAD"	"NITIN NABIN"	"BINOD KUMAR SRIVASTAVA"	"LEELA SINGH"	"AMAR KANT SAH"	"ASHOK PRASAD"	"MOHAMMED SIRAJ AHMAD"	"RAJU KUMAR VIDYARTHI"	"VIJAY KUMAR"	"BINOY KUMAR SINHA"	"REKHA MODI"	"VISHAL SWAROOP"	"SHIV SHANKAR KUMAR BULLY"	"SUNITA PREETAM"	""	""	""	""
"39"	"31"	"0"	"7"	"119"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"131"	"0"	"131"	"0"
"40"	"32"	"0"	"19"	"301"	"21"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"347"	"0"	"347"	"0"
"41"	"33"	"0"	"13"	"230"	"12"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"259"	"0"	"259"	"0"
"42"	"34"	"1"	"34"	"498"	"46"	"5"	"2"	"0"	"6"	"2"	"3"	"2"	"2"	"3"	"4"	"2"	"610"	"0"	"610"	"0"
"43"	"35"	"1"	"20"	"466"	"48"	"1"	"2"	"0"	"0"	"2"	"4"	"0"	"1"	"1"	"3"	"3"	"552"	"0"	"552"	"0"
