"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"1"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"3"	"1"	"109"	"5"	"202"	"38"	"46"	"3"	"3"	"4"	"2"	"41"	"453"	"0"	"453"	"0"
"4"	"1A"	"79"	"5"	"212"	"84"	"11"	"8"	"1"	"2"	"1"	"30"	"433"	"0"	"433"	"0"
"5"	"2"	"297"	"10"	"73"	"138"	"14"	"4"	"1"	"2"	"4"	"27"	"570"	"0"	"570"	"0"
"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"7"	"3A"	"153"	"0"	"60"	"62"	"6"	"1"	"0"	"2"	"1"	"15"	"300"	"0"	"300"	"0"
"8"	"4"	"144"	"8"	"141"	"39"	"4"	"3"	"2"	"8"	"3"	"36"	"388"	"0"	"388"	"0"
"9"	"5"	"157"	"7"	"222"	"120"	"10"	"4"	"2"	"7"	"13"	"89"	"631"	"0"	"631"	"0"
"10"	"6"	"156"	"14"	"189"	"135"	"15"	"9"	"4"	"5"	"7"	"84"	"618"	"0"	"618"	"0"
"11"	"7"	"51"	"2"	"271"	"25"	"7"	"6"	"4"	"9"	"5"	"74"	"454"	"0"	"454"	"0"
"12"	"8"	"254"	"5"	"244"	"49"	"12"	"7"	"2"	"11"	"11"	"112"	"707"	"0"	"707"	"0"
"13"	"9"	"144"	"11"	"309"	"32"	"7"	"12"	"1"	"7"	"5"	"14"	"542"	"0"	"542"	"0"
"14"	"9A"	"102"	"4"	"321"	"46"	"18"	"11"	"3"	"6"	"5"	"22"	"538"	"0"	"538"	"0"
"15"	"10"	"80"	"6"	"455"	"100"	"16"	"8"	"6"	"7"	"4"	"78"	"760"	"0"	"760"	"0"
"16"	"11"	"80"	"9"	"495"	"169"	"15"	"18"	"4"	"6"	"7"	"31"	"834"	"0"	"834"	"0"
"17"	"12"	"31"	"0"	"658"	"23"	"7"	"5"	"4"	"11"	"5"	"9"	"753"	"0"	"753"	"0"
"18"	"13"	"49"	"2"	"661"	"27"	"4"	"17"	"0"	"3"	"3"	"5"	"771"	"0"	"771"	"0"
"19"	"14"	"56"	"1"	"471"	"22"	"5"	"14"	"3"	"6"	"4"	"9"	"591"	"0"	"591"	"0"
"20"	"14A"	"57"	"0"	"356"	"46"	"5"	"9"	"2"	"1"	"4"	"9"	"489"	"0"	"489"	"0"
"21"	"15"	"94"	"4"	"603"	"21"	"4"	"23"	"1"	"10"	"5"	"37"	"802"	"0"	"802"	"0"
