"SL..NO..OF.POLLING.STATION"	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"TOTAL.OF.VALID.VOTES"	"NO..OF.REJECTED.VOTES"	"TOTAL"	"NO..OF.TENDERED.VOTES"
"1"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU"	"MUKESH KUMAR
SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"3"	"1"	"1"	"2"	"127"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	"1"	"2"	"1"	"0"	"59"	"248"	"0"	"248"	"0"
"4"	"2"	"22"	"2"	"199"	"42"	"7"	"4"	"2"	"7"	"5"	"2"	"1"	"5"	"3"	"5"	"1"	"0"	"2"	"0"	"3"	"2"	"0"	"1"	"315"	"0"	"315"	"0"
"5"	"3"	"37"	"5"	"332"	"148"	"9"	"16"	"1"	"3"	"1"	"1"	"0"	"0"	"7"	"4"	"1"	"6"	"3"	"3"	"7"	"6"	"4"	"6"	"600"	"0"	"600"	"0"
"6"	"4"	"2"	"2"	"108"	"20"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"47"	"191"	"0"	"191"	"0"
"7"	"5"	"1"	"2"	"144"	"22"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"9"	"189"	"0"	"189"	"0"
"8"	"6"	"17"	"3"	"170"	"111"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"1"	"1"	"1"	"5"	"3"	"3"	"9"	"333"	"0"	"333"	"0"
"9"	"7"	"8"	"4"	"135"	"130"	"40"	"7"	"1"	"4"	"0"	"0"	"0"	"2"	"1"	"3"	"2"	"6"	"4"	"2"	"7"	"7"	"1"	"13"	"377"	"0"	"377"	"0"
"10"	"8"	"17"	"4"	"118"	"163"	"22"	"0"	"2"	"7"	"0"	"3"	"0"	"3"	"4"	"3"	"0"	"5"	"3"	"2"	"8"	"1"	"0"	"113"	"478"	"0"	"478"	"0"
"11"	"9"	"7"	"11"	"432"	"57"	"5"	"1"	"2"	"27"	"2"	"3"	"5"	"8"	"13"	"20"	"8"	"12"	"4"	"2"	"9"	"4"	"1"	"4"	"637"	"0"	"637"	"0"
"12"	"10"	"45"	"7"	"157"	"46"	"5"	"1"	"2"	"7"	"1"	"4"	"7"	"3"	"0"	"2"	"12"	"4"	"9"	"3"	"2"	"1"	"1"	"22"	"341"	"0"	"341"	"0"
"13"	"11"	"19"	"3"	"91"	"15"	"4"	"2"	"0"	"6"	"2"	"1"	"6"	"2"	"7"	"9"	"2"	"3"	"4"	"0"	"3"	"1"	"0"	"2"	"182"	"0"	"182"	"0"
"14"	"12"	"48"	"4"	"196"	"16"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"18"	"294"	"0"	"294"	"0"
"15"	"13"	"29"	"5"	"191"	"156"	"9"	"57"	"1"	"10"	"2"	"2"	"3"	"6"	"3"	"3"	"1"	"4"	"1"	"0"	"1"	"7"	"0"	"3"	"494"	"0"	"494"	"0"
"16"	"14"	"64"	"3"	"132"	"94"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"3"	"0"	"5"	"2"	"0"	"1"	"0"	"3"	"2"	"1"	"319"	"0"	"319"	"0"
"17"	"Total"	"317"	"57"	"2532"	"1068"	"111"	"88"	"12"	"76"	"16"	"17"	"23"	"35"	"47"	"55"	"40"	"46"	"34"	"18"	"49"	"38"	"12"	"307"	"4998"	"0"	"4998"	"0"
"18"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                 Signature of Ret"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"20"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS"	"MUKESH KUMAR
SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"21"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"22"	"BF"	"24"	"6"	"197"	"44"	"16"	"1"	"10"	"54"	"2"	"4"	"1"	"3"	"10"	"9"	"4"	"9"	"6"	"4"	"4"	"3"	"5"	"48"	"464"	"0"	"464"	"0"
"23"	"15"	"86"	"8"	"118"	"98"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"4"	"1"	"8"	"3"	"7"	"2"	"8"	"4"	"1"	"12"	"366"	"0"	"366"	"0"
"24"	"16"	"7"	"1"	"45"	"89"	"5"	"13"	"0"	"12"	"0"	"3"	"0"	"2"	"4"	"3"	"4"	"7"	"6"	"2"	"2"	"1"	"2"	"64"	"272"	"0"	"272"	"0"
"25"	"17"	"28"	"0"	"118"	"89"	"13"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"4"	"2"	"1"	"2"	"3"	"2"	"1"	"8"	"2"	"90"	"368"	"0"	"368"	"0"
