"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM  51-Sikti CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	"Candidate Details"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"BOOTH_ NO"	"BOOTH_ EXT"	"ANANDI PRASAD YADAV"	"GOPAL KUMAR MANDAL"	"MANTU BHAGAT"	"VIJAY KUMAR MANDAL"	"SHAGUF TA"	"JAI NARAYA N SADA"	"FAROOQ UE AHAMAD"	"AZIMUDD IN"	"KALPANA DEVI"	"PALTU MANDAL"	"MAHEND RA PRASAD MANDAL"	"MURLIDH AR MANDAL"	"LUKMAN"	"TOTAL"
"4"	"1"	""	"182"	"9"	"9"	"285"	"91"	"12"	"7"	"26"	"3"	"3"	"3"	"14"	"20"	"664"
"5"	"2"	""	"8"	"3"	"4"	"417"	"112"	"11"	"9"	"4"	"5"	"22"	"7"	"24"	"34"	"660"
"6"	"3"	""	"17"	"4"	"3"	"293"	"148"	"11"	"3"	"1"	"2"	"7"	"3"	"22"	"9"	"523"
"7"	"4"	""	"18"	"6"	"6"	"404"	"133"	"13"	"3"	"5"	"3"	"9"	"5"	"12"	"12"	"629"
"8"	"5"	""	"599"	"6"	"2"	"137"	"44"	"7"	"0"	"4"	"6"	"8"	"6"	"24"	"20"	"863"
"9"	"6"	""	"391"	"10"	"8"	"433"	"51"	"24"	"4"	"13"	"7"	"13"	"10"	"39"	"16"	"1019"
"10"	"7"	""	"437"	"13"	"4"	"321"	"36"	"7"	"2"	"11"	"8"	"8"	"36"	"28"	"21"	"932"
"11"	"8"	""	"484"	"12"	"6"	"152"	"62"	"12"	"4"	"4"	"7"	"18"	"4"	"94"	"31"	"890"
"12"	"9"	""	"128"	"4"	"5"	"350"	"22"	"9"	"0"	"1"	"7"	"8"	"25"	"27"	"24"	"610"
"13"	"10"	""	"258"	"2"	"4"	"182"	"15"	"1"	"1"	"0"	"1"	"0"	"7"	"6"	"7"	"484"
"14"	"11"	""	"137"	"9"	"6"	"610"	"42"	"19"	"3"	"6"	"6"	"20"	"7"	"16"	"38"	"919"
"15"	"12"	""	"32"	"3"	"3"	"278"	"117"	"8"	"4"	"4"	"3"	"8"	"4"	"9"	"24"	"497"
"16"	"13"	""	"107"	"5"	"17"	"381"	"22"	"3"	"1"	"1"	"0"	"1"	"5"	"7"	"10"	"560"
"17"	"14"	""	"135"	"8"	"8"	"259"	"37"	"7"	"0"	"2"	"4"	"17"	"0"	"14"	"24"	"515"
"18"	"15"	""	"174"	"8"	"5"	"339"	"13"	"12"	"2"	"2"	"6"	"15"	"4"	"25"	"29"	"634"
"19"	"16"	""	"23"	"6"	"2"	"525"	"62"	"18"	"1"	"3"	"4"	"6"	"6"	"17"	"29"	"702"
"20"	"17"	""	"428"	"6"	"3"	"88"	"128"	"5"	"3"	"6"	"8"	"5"	"2"	"62"	"27"	"771"
"21"	"18"	""	"508"	"22"	"5"	"120"	"98"	"8"	"5"	"2"	"8"	"10"	"11"	"71"	"23"	"891"
"22"	"19"	""	"214"	"7"	"5"	"278"	"49"	"6"	"5"	"8"	"4"	"9"	"3"	"13"	"20"	"621"
"23"	"20"	""	"199"	"6"	"9"	"469"	"98"	"17"	"3"	"23"	"6"	"15"	"3"	"22"	"23"	"893"
"24"	"21"	""	"156"	"4"	"4"	"128"	"73"	"10"	"2"	"3"	"1"	"2"	"3"	"19"	"16"	"421"
"25"	"22"	""	"131"	"2"	"2"	"163"	"47"	"5"	"2"	"6"	"4"	"11"	"0"	"17"	"11"	"401"
"26"	"23"	""	"224"	"9"	"3"	"292"	"95"	"20"	"4"	"47"	"10"	"6"	"8"	"15"	"20"	"753"
"27"	"24"	""	"273"	"5"	"3"	"412"	"140"	"9"	"2"	"6"	"4"	"10"	"9"	"13"	"16"	"902"
"28"	"25"	""	"24"	"3"	"7"	"438"	"386"	"20"	"3"	"5"	"12"	"21"	"7"	"18"	"20"	"964"
"29"	"26"	""	"157"	"3"	"6"	"525"	"39"	"27"	"3"	"36"	"11"	"20"	"5"	"21"	"31"	"884"
"30"	"27"	""	"87"	"6"	"3"	"393"	"36"	"6"	"1"	"7"	"8"	"19"	"2"	"18"	"19"	"605"
"31"	"27"	"A"	"120"	"6"	"1"	"213"	"25"	"9"	"1"	"2"	"0"	"7"	"4"	"26"	"22"	"436"
"32"	"28"	""	"323"	"5"	"5"	"278"	"26"	"7"	"5"	"4"	"8"	"16"	"5"	"20"	"34"	"736"
"33"	"29"	""	"588"	"15"	"6"	"245"	"18"	"6"	"2"	"4"	"2"	"7"	"2"	"16"	"24"	"935"
"34"	"30"	""	"430"	"13"	"5"	"281"	"87"	"7"	"11"	"17"	"3"	"9"	"4"	"7"	"14"	"888"
"35"	"31"	""	"259"	"12"	"0"	"367"	"42"	"9"	"3"	"3"	"6"	"20"	"4"	"14"	"16"	"755"
"36"	"32"	""	"362"	"15"	"7"	"226"	"11"	"13"	"6"	"1"	"5"	"6"	"11"	"24"	"19"	"706"
"37"	"33"	""	"41"	"6"	"5"	"778"	"16"	"12"	"3"	"3"	"3"	"14"	"4"	"7"	"25"	"917"
"38"	"34"	""	"206"	"6"	"4"	"336"	"61"	"13"	"2"	"3"	"2"	"5"	"1"	"7"	"18"	"664"
"39"	"35"	""	"91"	"7"	"6"	"184"	"148"	"14"	"5"	"7"	"8"	"23"	"3"	"17"	"15"	"528"
"40"	"36"	""	"341"	"7"	"6"	"158"	"12"	"8"	"3"	"6"	"2"	"5"	"18"	"6"	"33"	"605"
"41"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM  51-Sikti CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	""	""	"Candidate Details"	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"BOOTH_ NO"	"BOOTH_ EXT"	"ANANDI PRASAD YADAV"	"GOPAL KUMAR MANDAL"	"MANTU BHAGAT"	"VIJAY KUMAR MANDAL"	"SHAGUF TA"	"JAI NARAYA N SADA"	"FAROOQ UE AHAMAD"	"AZIMUDD IN"	"KALPANA DEVI"	"PALTU MANDAL"	"MAHEND RA PRASAD MANDAL"	"MURLIDH AR MANDAL"	"LUKMAN"	"TOTAL"
"45"	"37"	""	"325"	"13"	"11"	"326"	"15"	"15"	"7"	"2"	"2"	"10"	"9"	"13"	"60"	"808"
"46"	"38"	""	"204"	"3"	"3"	"120"	"44"	"3"	"4"	"1"	"4"	"8"	"6"	"18"	"19"	"437"
"47"	"39"	""	"133"	"6"	"5"	"364"	"26"	"16"	"4"	"0"	"4"	"34"	"8"	"14"	"33"	"647"
"48"	"40"	""	"472"	"8"	"2"	"141"	"90"	"3"	"4"	"1"	"1"	"10"	"0"	"17"	"11"	"760"
"49"	"41"	""	"213"	"3"	"4"	"212"	"62"	"8"	"3"	"0"	"4"	"11"	"4"	"19"	"13"	"556"
"50"	"42"	""	"85"	"0"	"5"	"292"	"27"	"10"	"3"	"0"	"7"	"5"	"1"	"14"	"24"	"473"
"51"	"42"	"A"	"277"	"6"	"2"	"243"	"26"	"7"	"3"	"2"	"3"	"7"	"5"	"28"	"44"	"653"
"52"	"43"	""	"160"	"2"	"9"	"147"	"61"	"10"	"0"	"0"	"4"	"6"	"1"	"8"	"10"	"418"
"53"	"44"	""	"53"	"3"	"3"	"209"	"102"	"12"	"90"	"9"	"4"	"19"	"2"	"6"	"16"	"528"
"54"	"44"	"A"	"9"	"2"	"5"	"151"	"133"	"11"	"143"	"7"	"4"	"7"	"6"	"18"	"21"	"517"
"55"	"45"	""	"69"	"9"	"5"	"396"	"74"	"24"	"123"	"18"	"17"	"28"	"6"	"38"	"57"	"864"
"56"	"46"	""	"279"	"9"	"4"	"117"	"17"	"5"	"5"	"7"	"11"	"12"	"7"	"20"	"47"	"540"
"57"	"47"	""	"242"	"5"	"1"	"69"	"56"	"7"	"6"	"173"	"8"	"7"	"2"	"12"	"11"	"599"
"58"	"48"	""	"142"	"4"	"1"	"44"	"104"	"4"	"2"	"1"	"5"	"9"	"3"	"9"	"27"	"355"
"59"	"49"	""	"53"	"1"	"4"	"350"	"29"	"5"	"35"	"2"	"3"	"12"	"7"	"24"	"28"	"553"
"60"	"50"	""	"443"	"20"	"7"	"285"	"23"	"6"	"5"	"5"	"6"	"21"	"9"	"20"	"27"	"877"
"61"	"51"	""	"353"	"13"	"3"	"235"	"14"	"4"	"3"	"3"	"3"	"10"	"4"	"18"	"22"	"685"
"62"	"52"	""	"370"	"21"	"10"	"266"	"20"	"13"	"1"	"4"	"6"	"21"	"11"	"26"	"68"	"837"
"63"	"53"	""	"165"	"7"	"3"	"390"	"53"	"12"	"0"	"3"	"4"	"8"	"1"	"10"	"16"	"672"
"64"	"54"	""	"34"	"3"	"3"	"393"	"33"	"7"	"2"	"0"	"5"	"11"	"1"	"10"	"23"	"525"
"65"	"55"	""	"646"	"9"	"5"	"117"	"17"	"5"	"0"	"0"	"2"	"4"	"2"	"12"	"9"	"828"
"66"	"56"	""	"457"	"21"	"4"	"261"	"87"	"11"	"10"	"13"	"3"	"8"	"15"	"9"	"28"	"927"
"67"	"57"	""	"270"	"9"	"7"	"235"	"21"	"11"	"2"	"1"	"3"	"8"	"0"	"35"	"13"	"615"
"68"	"58"	""	"197"	"2"	"1"	"198"	"22"	"5"	"3"	"2"	"4"	"6"	"4"	"18"	"19"	"481"
"69"	"59"	""	"160"	"3"	"0"	"250"	"30"	"7"	"1"	"2"	"3"	"11"	"6"	"16"	"20"	"509"
"70"	"60"	""	"147"	"3"	"15"	"111"	"20"	"2"	"2"	"3"	"1"	"4"	"4"	"65"	"21"	"398"
"71"	"61"	""	"660"	"17"	"16"	"114"	"44"	"8"	"2"	"3"	"6"	"2"	"5"	"7"	"17"	"901"
"72"	"62"	""	"491"	"11"	"5"	"57"	"45"	"10"	"2"	"7"	"1"	"7"	"1"	"4"	"10"	"651"
"73"	"63"	""	"263"	"6"	"7"	"353"	"17"	"13"	"3"	"2"	"8"	"15"	"7"	"14"	"39"	"747"
"74"	"64"	""	"308"	"6"	"2"	"60"	"118"	"7"	"3"	"2"	"5"	"2"	"4"	"5"	"16"	"538"
"75"	"65"	""	"171"	"3"	"1"	"44"	"20"	"2"	"1"	"2"	"0"	"3"	"0"	"5"	"5"	"257"
"76"	"66"	""	"308"	"17"	"3"	"212"	"20"	"9"	"6"	"1"	"6"	"13"	"4"	"17"	"24"	"640"
"77"	"67"	""	"354"	"7"	"4"	"73"	"34"	"3"	"2"	"1"	"5"	"2"	"2"	"11"	"19"	"517"
"78"	"68"	""	"93"	"3"	"3"	"223"	"22"	"8"	"3"	"1"	"3"	"6"	"2"	"22"	"7"	"396"
"79"	"69"	""	"213"	"4"	"3"	"147"	"35"	"8"	"8"	"2"	"3"	"10"	"4"	"15"	"28"	"480"
"80"	"70"	""	"60"	"6"	"2"	"348"	"50"	"10"	"2"	"1"	"4"	"9"	"4"	"14"	"17"	"527"
"81"	"71"	""	"337"	"14"	"6"	"106"	"72"	"7"	"1"	"1"	"4"	"4"	"3"	"11"	"13"	"579"
"82"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM  51-Sikti CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	""	""	"Candidate Details"	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"BOOTH_ NO"	"BOOTH_ EXT"	"ANANDI PRASAD YADAV"	"GOPAL KUMAR MANDAL"	"MANTU BHAGAT"	"VIJAY KUMAR MANDAL"	"SHAGUF TA"	"JAI NARAYA N SADA"	"FAROOQ UE AHAMAD"	"AZIMUDD IN"	"KALPANA DEVI"	"PALTU MANDAL"	"MAHEND RA PRASAD MANDAL"	"MURLIDH AR MANDAL"	"LUKMAN"	"TOTAL"
"86"	"72"	""	"173"	"13"	"8"	"416"	"56"	"19"	"11"	"14"	"7"	"8"	"7"	"58"	"16"	"806"
"87"	"73"	""	"83"	"6"	"4"	"222"	"107"	"12"	"5"	"72"	"9"	"7"	"5"	"54"	"22"	"608"
"88"	"74"	""	"123"	"2"	"1"	"110"	"55"	"4"	"1"	"3"	"4"	"6"	"4"	"84"	"13"	"410"
"89"	"75"	""	"159"	"10"	"5"	"171"	"57"	"14"	"4"	"12"	"11"	"11"	"6"	"120"	"29"	"609"
"90"	"76"	""	"465"	"26"	"7"	"360"	"71"	"20"	"8"	"7"	"9"	"14"	"5"	"26"	"20"	"1038"
"91"	"77"	""	"50"	"5"	"1"	"110"	"7"	"12"	"1"	"2"	"4"	"10"	"0"	"141"	"12"	"355"
"92"	"78"	""	"78"	"5"	"8"	"177"	"99"	"6"	"2"	"15"	"6"	"15"	"9"	"174"	"27"	"621"
"93"	"79"	""	"82"	"4"	"10"	"34"	"511"	"18"	"4"	"16"	"7"	"5"	"7"	"168"	"14"	"880"
"94"	"80"	""	"71"	"1"	"5"	"115"	"223"	"15"	"5"	"114"	"8"	"7"	"10"	"112"	"22"	"708"
"95"	"81"	""	"354"	"12"	"4"	"190"	"63"	"5"	"5"	"17"	"9"	"12"	"7"	"64"	"43"	"785"
"96"	"82"	""	"122"	"15"	"7"	"356"	"59"	"9"	"0"	"2"	"3"	"10"	"3"	"116"	"24"	"726"
"97"	"83"	""	"67"	"7"	"2"	"83"	"101"	"4"	"2"	"5"	"4"	"4"	"10"	"585"	"52"	"926"
"98"	"84"	""	"62"	"8"	"8"	"143"	"204"	"16"	"4"	"16"	"6"	"9"	"7"	"354"	"40"	"877"
"99"	"85"	""	"22"	"2"	"5"	"12"	"193"	"14"	"0"	"104"	"5"	"4"	"1"	"4"	"11"	"377"
"100"	"85"	"A"	"153"	"8"	"2"	"85"	"169"	"10"	"3"	"67"	"1"	"3"	"2"	"16"	"24"	"543"
"101"	"86"	""	"224"	"12"	"3"	"114"	"41"	"4"	"3"	"26"	"3"	"6"	"1"	"14"	"22"	"473"
"102"	"86"	"A"	"483"	"6"	"1"	"22"	"1"	"1"	"4"	"3"	"0"	"1"	"0"	"37"	"2"	"561"
"103"	"87"	""	"169"	"3"	"5"	"107"	"35"	"10"	"5"	"363"	"4"	"10"	"9"	"6"	"15"	"741"
"104"	"88"	""	"142"	"4"	"1"	"135"	"75"	"54"	"2"	"28"	"7"	"12"	"4"	"35"	"19"	"518"
"105"	"89"	""	"157"	"7"	"6"	"24"	"95"	"8"	"9"	"397"	"4"	"6"	"4"	"77"	"8"	"802"
"106"	"90"	""	"36"	"10"	"4"	"34"	"16"	"3"	"0"	"0"	"3"	"2"	"22"	"837"	"20"	"987"
"107"	"91"	""	"87"	"4"	"8"	"50"	"56"	"4"	"4"	"43"	"12"	"7"	"8"	"552"	"35"	"870"
