"er.nku..d.sUnz..dh.Øe..l.a....k"	"fuEufy...kr..d.s..i..k..esa..fn...x...fof.kekU...er.ksa..dh..l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	153	3	7	1	242	2	1	0	4	19	1	7	0	1	1	5	6	2	4	2
"4"	"2"	68	1	10	4	105	2	2	3	1	90	6	3	1	2	0	4	7	0	0	1
"5"	"3"	122	0	5	0	79	1	0	1	1	25	0	0	0	2	0	3	1	0	0	1
"6"	"4"	183	1	4	2	186	6	1	2	3	54	4	3	0	3	2	7	14	0	3	11
"7"	"5"	191	2	6	2	324	5	0	0	1	7	3	3	0	0	2	5	5	4	7	0
"8"	"6"	350	5	10	1	53	1	1	0	0	4	0	3	0	2	1	10	7	0	0	1
"9"	"7"	251	3	9	5	124	1	1	1	1	17	4	7	0	6	2	10	4	0	3	5
"10"	"8"	186	2	1	4	204	5	0	2	0	3	2	2	2	0	0	7	7	0	2	3
"11"	"9"	105	1	1	1	43	1	0	1	2	0	1	1	0	1	0	3	1	1	2	2
"12"	"10"	186	0	1	0	122	0	1	0	2	2	3	2	0	0	0	7	2	0	1	1
"13"	"11"	237	8	6	7	186	6	1	0	1	32	3	5	4	2	0	13	11	1	2	5
"14"	"12"	294	1	9	4	280	8	1	1	7	60	7	8	6	3	3	22	17	2	9	6
"15"	"13"	199	2	3	3	143	1	0	0	1	14	0	2	0	1	0	3	8	0	2	2
"16"	"14"	238	7	2	6	107	4	2	1	3	34	5	9	2	2	1	14	3	1	2	2
"17"	"15"	175	0	4	1	84	2	0	0	0	0	3	2	1	2	0	0	8	0	0	0
"18"	"16"	146	5	18	1	175	5	0	1	2	6	2	2	0	1	0	15	3	1	4	4
"19"	"17"	149	2	4	1	237	6	0	0	3	3	0	2	1	7	0	3	2	0	2	1
"20"	"18"	293	6	1	4	54	1	0	0	1	14	0	5	4	2	1	12	21	0	3	6
"21"	"19"	114	0	2	1	54	2	1	0	1	6	2	1	0	0	0	6	0	0	1	2
"22"	"20"	105	7	0	2	33	0	0	0	0	0	0	0	0	0	1	7	2	0	0	0
"23"	"21"	166	3	7	3	179	1	3	0	1	10	0	3	1	1	2	4	4	2	0	1
"24"	"22"	92	1	2	1	76	1	1	0	0	3	1	1	0	1	0	0	2	0	0	0
"25"	"23"	248	1	0	5	156	5	3	4	2	99	9	5	3	1	2	3	5	2	4	2
"26"	"24"	102	1	1	2	160	9	6	5	3	127	4	13	1	11	3	13	10	3	3	13
"27"	"25"	83	3	0	3	182	3	2	1	1	15	1	5	3	5	0	11	1	2	1	6
"28"	"26"	288	62	9	6	288	14	3	2	2	38	6	23	9	44	2	22	5	4	1	3
"29"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"31"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"27"	128	2	1	2	163	6	2	1	1	54	7	1	2	35	5	12	1	3	2	3
"33"	"27A"	58	0	4	3	117	6	6	5	5	60	0	6	7	58	0	4	2	0	2	1
"34"	"28"	227	137	5	13	61	3	5	4	7	46	5	6	4	4	4	15	4	1	0	2
"35"	"29"	374	5	6	8	282	9	3	1	1	10	5	6	1	4	2	21	5	0	1	3
"36"	"30"	53	10	9	10	366	5	5	5	6	48	13	21	5	4	2	27	10	3	5	4
"37"	"31"	8	1	3	2	285	3	0	0	0	0	3	3	1	2	0	12	0	0	3	1
"38"	"32"	286	11	8	0	187	3	2	0	0	2	1	3	2	0	0	1	5	0	1	1
"39"	"33"	48	1	5	1	593	12	1	4	1	3	3	6	3	4	1	4	0	0	0	0
"40"	"34"	137	2	36	0	286	6	0	0	2	1	2	1	0	0	0	3	7	2	2	2
"41"	"35"	177	3	33	9	263	4	2	1	3	6	4	8	2	2	2	5	4	0	2	2
"42"	"36"	229	1	0	2	220	3	2	1	2	7	3	4	4	1	3	11	11	2	4	6
"43"	"37"	139	2	2	7	46	0	0	0	0	2	2	1	1	1	4	10	7	0	0	2
"44"	"38"	250	5	8	4	111	3	0	1	1	1	0	6	0	1	0	9	10	2	1	0
"45"	"39"	215	4	9	5	145	1	4	0	1	3	0	6	2	2	2	7	0	0	1	1
"46"	"40"	305	2	1	5	144	2	0	1	0	5	1	2	2	1	0	3	3	1	2	1
"47"	"41"	363	8	13	3	119	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0
"48"	"42"	45	0	4	3	336	5	5	1	0	44	3	0	2	0	0	5	3	0	0	1
"49"	"43"	95	3	16	1	219	4	0	0	0	9	1	2	3	0	1	3	4	3	6	0
"50"	"44"	445	16	30	8	192	7	2	3	2	8	2	2	1	2	2	10	3	1	0	0
