"Candidates..Name"	"MD..AYUB.ALAM"	"ARUN.YADAV"	"MD..MURSHID.ALAM"	"SARFRAZ.ALAM"	"SADIK"	"JAWWAD.ALAM"	"SHINHESHWAR.MAJHI"	"MD..AYUB.ALAM.1"	"KOSHAR.ZIA"	"ZUBAIR.ALAM"	"DEVANAND.MANDAL"	"NAZIM"	"RANJEET.YADAV"	"RAJESH.KUMAR.MOWAR"	"X."	"Total"
"1"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"2"	"ROUND- I"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"3"	"1"	9	33	2	178	1	2	14	2	1	3	31	12	333	24	""	"645"
"4"	"2"	11	7	9	380	7	4	23	3	5	3	27	19	372	49	""	"919"
"5"	"3"	8	14	4	158	1	2	23	6	10	8	7	12	495	46	""	"794"
"6"	"4"	10	78	4	33	1	2	2	2	3	3	4	7	558	42	""	"749"
"7"	"5"	28	10	24	161	1	7	24	5	18	10	37	14	222	60	""	"621"
"8"	"6"	10	10	7	45	2	6	8	4	1	4	22	5	213	44	""	"381"
"9"	"7"	11	8	426	101	2	2	11	2	13	10	6	15	7	22	""	"636"
"10"	"8"	16	3	583	58	2	1	3	2	0	2	0	1	2	2	""	"675"
"11"	"9"	9	9	94	181	7	0	9	4	84	5	5	17	217	22	""	"663"
"12"	"10"	14	7	220	319	4	2	17	5	16	4	7	10	52	18	""	"695"
"13"	"11"	9	80	6	19	1	0	5	2	9	4	1	7	396	60	""	"599"
"14"	"12"	13	96	259	254	3	3	26	5	3	4	6	2	219	20	""	"913"
"15"	"13"	21	10	295	143	2	2	8	11	4	0	2	12	7	4	""	"521"
"16"	"14"	7	12	627	85	1	2	4	5	2	0	2	8	4	14	""	"773"
"17"	"Round Total"	176	377	2560	2115	35	35	177	58	169	60	157	141	3097	427	""	"9584"
"18"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"19"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"20"	"ROUND - II"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"21"	"15"	11	100	204	67	0	0	98	5	1	7	3	5	219	13	""	"733"
"22"	"16"	7	166	57	17	2	2	9	6	4	6	4	11	283	28	""	"602"
"23"	"17"	6	8	149	6	0	0	4	3	21	1	0	5	80	1	""	"284"
"24"	"18"	26	306	13	8	4	4	2	2	4	6	3	5	314	49	""	"746"
"25"	"19"	5	43	10	118	1	1	15	7	16	4	3	8	83	18	""	"332"
"26"	"20"	9	85	8	246	2	3	35	3	7	2	3	3	240	20	""	"666"
"27"	"21"	4	177	6	2	2	3	12	2	0	1	2	7	297	37	""	"552"
"28"	"22"	15	106	9	106	0	1	62	3	7	1	3	7	308	25	""	"653"
"29"	"23"	11	123	8	97	4	3	23	4	9	3	19	6	173	47	""	"530"
"30"	"24"	3	97	1	4	0	2	17	2	1	2	9	4	324	35	""	"501"
"31"	"25"	13	458	6	18	1	2	23	3	2	1	12	3	73	111	""	"726"
"32"	"26"	14	40	4	24	3	1	15	5	3	6	51	11	177	428	""	"782"
"33"	"27"	18	29	10	24	1	3	24	9	14	5	25	8	352	208	""	"730"
"34"	"28"	13	4	10	61	0	0	24	7	8	3	8	6	86	199	""	"429"
"35"	"Round Total"	155	1742	495	798	20	25	363	61	97	48	145	89	3009	1219	"0"	"8266"
"36"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"37"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"38"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"39"	"ROUND - III"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"40"	"29"	5	22	30	87	2	4	14	4	1	3	59	13	198	300	""	"742"
"41"	"30"	22	18	2	167	4	3	58	4	1	3	29	14	183	165	""	"673"
"42"	"31"	14	59	40	220	3	2	64	13	6	11	80	15	125	75	""	"727"
"43"	"32"	11	27	23	379	5	5	39	6	44	2	4	17	113	20	""	"695"
"44"	"33"	53	65	93	121	7	9	11	1	45	6	15	23	124	74	""	"647"
"45"	"34"	18	94	116	101	0	2	3	6	50	0	57	16	113	31	""	"607"
"46"	"35"	17	1	21	133	3	2	16	5	121	4	3	38	9	6	""	"379"
"47"	"36"	4	25	26	68	0	1	11	5	1	2	29	3	119	70	""	"364"
"48"	"37"	26	12	21	264	6	4	16	5	210	2	4	38	6	22	""	"636"
"49"	"38"	17	15	11	424	15	9	22	4	134	1	3	24	45	9	""	"733"
"50"	"39"	56	12	9	255	7	3	16	5	20	3	2	7	30	16	""	"441"
"51"	"40"	10	3	5	238	1	5	17	3	43	4	4	8	6	8	""	"355"
"52"	"41"	8	5	18	277	10	6	14	28	135	3	0	35	0	2	""	"541"
"53"	"42"	8	3	124	74	4	2	7	3	47	13	2	9	0	0	""	"296"
"54"	"Round Total"	269	361	539	2808	67	57	308	92	858	57	291	260	1071	798	"0"	"7836"
"55"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"56"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"57"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"58"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"59"	"ROUND - IV"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"60"	"43"	24	28	49	282	8	4	36	16	155	8	9	34	30	23	""	"706"
"61"	"44"	8	99	76	126	7	2	16	28	147	4	11	32	103	39	""	"698"
"62"	"45"	12	15	17	380	4	7	15	15	129	7	2	22	75	10	""	"710"
"63"	"46"	37	10	73	213	5	12	9	9	252	9	8	35	2	3	""	"677"
"64"	"47"	48	35	31	156	5	7	12	6	353	4	5	35	73	9	""	"779"
"65"	"48"	16	37	16	196	2	2	22	10	140	6	9	25	238	37	""	"756"
"66"	"49"	6	4	21	237	3	5	16	9	271	8	8	27	5	9	""	"629"
