"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 137---Mohiuddin Nagar CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :137---Mohiuddin Nagar                                                                                                                                                                             No of Voters :199227"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates  Name ----->"	"AJAY KUMAR BULGANIN"	"JAY MANGAL RAY"	"RANA GANGESHWAR SINGH"	"SIDHARTH KSHATRIYA"	"FANI BHUSHAN YADAV"	"MANOJ KUMAR ROY"	"RAM NIWASH ROY"	"ANITA DEVI"	"RADHAKRISHNA SAH"	"RAM CHANDRA ROY"	"VIRENDRA KUMAR AJAY"	"Total Valid Votes"
"6"	"BOOTH NO ----->"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"7"	"1"	"170"	"2"	"265"	"13"	"1"	"5"	"5"	"7"	"19"	"8"	"15"	"510"
"8"	"2"	"183"	"3"	"82"	"4"	"1"	"3"	"5"	"0"	"2"	"7"	"3"	"293"
"9"	"3"	"209"	"3"	"120"	"7"	"5"	"1"	"0"	"3"	"17"	"18"	"34"	"417"
"10"	"4"	"237"	"8"	"192"	"13"	"2"	"4"	"1"	"3"	"14"	"7"	"30"	"511"
"11"	"5"	"394"	"12"	"170"	"7"	"5"	"7"	"1"	"6"	"10"	"12"	"19"	"643"
"12"	"6"	"268"	"6"	"52"	"2"	"0"	"2"	"2"	"0"	"3"	"11"	"24"	"370"
"13"	"6A"	"228"	"5"	"61"	"7"	"5"	"1"	"0"	"3"	"3"	"11"	"12"	"336"
"14"	"7"	"350"	"3"	"40"	"3"	"0"	"0"	"2"	"1"	"4"	"5"	"13"	"421"
"15"	"8"	"282"	"7"	"41"	"5"	"1"	"0"	"0"	"2"	"3"	"8"	"6"	"355"
"16"	"9"	"448"	"6"	"158"	"6"	"2"	"5"	"7"	"5"	"12"	"12"	"32"	"693"
"17"	"10"	"450"	"12"	"105"	"6"	"3"	"3"	"9"	"2"	"7"	"41"	"23"	"661"
"18"	"11"	"441"	"10"	"102"	"4"	"5"	"8"	"22"	"5"	"13"	"21"	"43"	"674"
"19"	"12"	"454"	"15"	"16"	"4"	"2"	"5"	"74"	"1"	"3"	"5"	"10"	"589"
"20"	"13"	"421"	"10"	"30"	"3"	"3"	"11"	"30"	"2"	"6"	"29"	"6"	"551"
"21"	"14"	"330"	"9"	"63"	"7"	"0"	"34"	"12"	"1"	"2"	"11"	"16"	"485"
"22"	"15"	"453"	"8"	"20"	"2"	"2"	"7"	"76"	"2"	"3"	"2"	"6"	"581"
"23"	"16"	"452"	"9"	"109"	"7"	"5"	"4"	"5"	"3"	"4"	"5"	"8"	"611"
"24"	"17"	"211"	"12"	"40"	"0"	"2"	"5"	"3"	"2"	"2"	"9"	"16"	"302"
