"BOOTH.NO."	"AMIT.KUMAR.BHARTI"	"GANESH.PASWAN"	"RAMESH.RISHIDEV"	"RAJENDRA.RAJAK"	"INDO.DEVI"	"CHANDRABHUSAN.PASWAN"	"DINESH.KUMAR.PASWAN"
"1"	1	93	30	485	9	26	13	35
"2"	2	40	16	470	8	7	6	7
"3"	3	121	27	253	8	8	24	7
"4"	4	45	21	406	8	2	12	10
"5"	5	46	37	359	3	7	7	13
"6"	6	128	22	482	4	9	10	12
"7"	7	208	21	470	18	17	20	20
"8"	8	73	19	338	4	10	5	5
"9"	9	172	10	146	1	4	2	4
"10"	10	142	22	379	5	15	17	9
"11"	11	191	28	302	8	9	8	5
"12"	12	303	10	370	4	14	10	11
"13"	13	156	18	231	3	11	7	9
"14"	14	31	9	280	9	6	6	5
"15"	15	119	29	415	7	13	10	12
"16"	16	121	8	308	7	4	4	6
"17"	17	204	38	229	16	9	17	27
"18"	18	77	11	329	6	8	2	5
"19"	19	176	9	351	8	14	6	5
"20"	20	41	10	360	5	12	8	9
"21"	NA	44	10	384	4	7	4	8
"22"	21	475	8	121	2	11	6	7
"23"	22	454	18	279	8	18	6	9
"24"	23	239	9	185	2	5	0	5
"25"	24	332	11	123	4	6	0	1
"26"	NA	238	15	176	2	6	1	4
"27"	25	355	28	244	7	11	13	10
"28"	26	364	12	106	4	7	6	15
"29"	27	137	18	447	15	36	30	53
"30"	28	265	27	337	7	16	7	10
"31"	29	328	7	133	3	19	11	26
"32"	30	259	14	561	9	15	8	14
"33"	31	220	18	480	7	19	11	18
"34"	32	387	30	217	4	23	3	6
"35"	33	74	115	348	13	5	2	2
"36"	34	297	48	303	14	11	17	10
"37"	35	36	8	530	3	8	5	1
"38"	36	40	18	825	7	13	8	5
"39"	37	50	11	400	9	10	8	4
"40"	NA	30	15	403	7	13	5	5
"41"	38	42	14	583	9	5	6	7
"42"	39	178	44	443	7	12	6	9
"43"	40	139	20	336	8	7	3	15
"44"	NA	60	16	351	3	5	4	6
"45"	NA	NA	NA	NA	NA	NA	NA	NA
"46"	41	134	27	333	4	10	6	8
"47"	NA	67	53	301	11	7	6	12
"48"	42	119	9	514	1	18	11	7
"49"	43	45	15	521	15	20	15	22
"50"	44	103	25	590	11	4	7	11
"51"	45	156	10	207	3	12	4	12
"52"	46	226	22	534	12	7	10	6
"53"	47	54	6	415	2	5	4	4
"54"	48	120	19	310	11	14	9	21
"55"	49	175	15	249	1	13	1	1
"56"	NA	208	22	245	7	15	5	5
"57"	50	31	8	356	6	11	7	1
"58"	51	190	6	497	11	14	5	11
"59"	52	110	20	565	13	33	14	35
"60"	53	344	14	92	3	3	4	22
"61"	54	152	14	387	9	18	14	25
"62"	55	274	34	238	3	12	3	9
"63"	56	259	25	136	3	10	3	5
"64"	57	91	17	322	18	13	9	6
"65"	NA	117	13	275	7	11	8	8
"66"	58	48	7	359	4	4	2	2
"67"	59	243	19	470	7	13	5	3
"68"	60	348	22	408	25	29	14	21
"69"	61	242	11	157	4	6	2	12
"70"	62	94	15	562	14	19	7	16
"71"	63	363	16	189	4	15	2	5
"72"	64	314	6	57	4	6	1	0
"73"	65	98	7	290	1	8	6	5
"74"	66	165	29	162	7	14	12	5
"75"	NA	261	17	169	10	29	10	21
"76"	67	462	14	219	13	22	10	13
"77"	68	486	19	294	16	17	13	32
"78"	69	372	16	261	11	28	6	24
"79"	70	144	6	243	12	12	2	3
"80"	71	414	9	106	4	7	1	7
"81"	72	195	20	204	8	17	1	11
"82"	73	555	23	173	3	12	5	10
"83"	74	459	16	58	1	7	10	14
"84"	75	385	18	32	6	4	6	2
"85"	76	64	75	158	9	11	2	9
"86"	77	273	10	187	2	6	5	4
"87"	NA	163	5	300	3	3	2	2
"88"	78	547	24	48	6	6	6	11
"89"	79	179	14	645	7	15	7	10
"90"	NA	NA	NA	NA	NA	NA	NA	NA
"91"	80	547	13	126	4	8	2	4
"92"	NA	176	36	330	15	15	4	16
"93"	81	294	76	253	13	17	5	7
"94"	82	246	51	240	7	10	5	13
"95"	83	114	31	288	7	7	7	7
"96"	84	259	17	497	14	15	16	15
"97"	85	222	46	433	18	26	13	38
"98"	86	328	24	164	3	6	4	11
"99"	87	465	19	48	3	10	6	8
"100"	88	325	17	431	7	14	4	2
"101"	89	362	32	483	8	19	11	18
"102"	90	405	10	187	5	8	7	4
"103"	91	327	15	275	5	22	14	15
"104"	92	112	8	262	7	9	13	7
"105"	93	18	32	272	7	7	2	8
"106"	94	106	24	329	3	5	6	10
"107"	NA	186	13	344	8	10	3	14
"108"	95	74	4	343	6	10	3	8
"109"	96	98	39	438	13	10	8	4
"110"	97	419	28	247	10	12	11	8
"111"	98	360	24	150	4	17	8	10
"112"	99	71	20	424	9	8	11	8
"113"	100	364	13	187	6	25	9	15
"114"	101	537	21	232	4	4	4	10
"115"	102	335	16	181	12	14	8	26
"116"	103	341	13	116	6	6	1	4
"117"	104	249	8	43	2	11	2	9
"118"	105	527	21	132	5	13	3	10
"119"	106	543	18	38	7	12	7	38
"120"	107	432	19	25	3	5	9	14
"121"	NA	276	14	151	1	11	10	13
"122"	108	495	30	286	15	25	9	20
"123"	109	293	16	500	9	18	6	10
"124"	110	326	10	138	2	2	3	2
"125"	111	146	5	344	7	10	11	5
"126"	NA	145	6	256	3	6	7	15
"127"	112	412	25	119	6	8	6	22
"128"	113	80	33	354	6	11	3	13
"129"	114	152	8	254	3	9	5	1
"130"	115	358	14	193	4	11	7	6
"131"	116	85	12	517	10	22	3	9
"132"	117	198	14	476	8	17	4	6
"133"	118	324	21	318	5	15	6	13
"134"	119	158	14	436	7	10	3	1
"135"	NA	NA	NA	NA	NA	NA	NA	NA
"136"	120	357	35	275	7	34	15	14
"137"	121	164	29	577	15	29	21	35
"138"	122	434	29	194	17	10	5	27
"139"	123	147	45	195	1	7	1	4
"140"	NA	152	29	76	2	5	0	13
"141"	124	237	10	460	5	18	8	10
"142"	125	139	10	708	11	7	11	15
"143"	126	219	10	193	4	9	1	4
"144"	127	225	11	224	11	2	4	4
"145"	128	445	19	167	10	12	8	34
"146"	129	375	10	43	2	3	3	11
"147"	130	236	16	404	17	8	9	14
"148"	131	235	13	382	6	20	18	11
"149"	132	398	23	313	8	18	7	13
"150"	133	483	24	253	8	12	7	11
"151"	134	114	2	164	5	10	4	13
"152"	135	306	15	255	12	8	6	10
"153"	136	25	31	447	6	12	4	2
"154"	137	30	30	443	9	5	2	3
"155"	138	134	13	358	5	8	4	12
"156"	139	79	35	703	15	22	10	15
"157"	140	88	24	527	27	22	18	44
"158"	141	105	15	432	9	26	14	15
"159"	142	60	21	427	13	13	8	8
"160"	143	162	87	312	20	32	11	17
"161"	144	23	9	235	3	11	3	5
"162"	145	59	9	346	7	11	13	8
"163"	146	64	20	294	7	10	9	22
"164"	147	96	22	335	12	22	7	10
"165"	148	80	22	575	8	21	4	12
"166"	149	77	22	549	19	18	12	8
"167"	150	191	17	222	5	6	4	4
"168"	NA	206	16	183	4	10	7	2
"169"	151	252	21	276	4	15	2	2
"170"	152	167	29	289	3	21	10	12
"171"	153	295	66	168	11	22	8	11
"172"	154	192	12	430	4	9	5	6
"173"	155	9	32	361	5	10	5	6
"174"	156	136	24	491	15	17	10	15
"175"	157	230	23	214	5	5	9	14
"176"	158	60	7	402	3	9	5	8
"177"	159	120	45	101	2	2	2	2
"178"	160	311	17	365	7	14	8	6
"179"	161	496	14	296	9	7	3	5
"180"	NA	NA	NA	NA	NA	NA	NA	NA
"181"	162	189	22	315	8	7	5	26
"182"	163	245	9	261	4	17	4	9
"183"	164	215	26	455	13	26	10	19
"184"	165	258	20	482	12	25	20	34
"185"	166	175	3	531	5	18	6	11
"186"	167	328	16	256	0	8	6	8
"187"	168	440	26	249	8	20	11	22
"188"	169	276	17	375	3	56	4	4
"189"	170	502	18	208	8	17	4	11
"190"	171	116	7	278	4	4	3	6
"191"	172	383	19	104	13	23	5	8
"192"	173	465	29	32	3	4	3	6
"193"	174	363	24	284	12	14	15	20
"194"	175	271	10	112	3	9	3	8
"195"	176	238	47	305	4	20	12	14
"196"	177	222	26	363	16	11	7	10
"197"	178	534	25	189	12	16	6	25
"198"	179	188	20	323	10	24	13	30
"199"	180	449	19	67	1	12	4	22
"200"	181	346	22	277	11	15	11	23
"201"	182	343	40	389	14	41	8	23
"202"	183	288	24	190	8	23	5	29
"203"	184	286	12	333	3	16	5	11
"204"	185	420	24	394	6	16	11	6
"205"	186	476	20	64	4	18	6	13
"206"	187	146	15	261	7	5	4	3
"207"	188	327	28	222	6	14	9	14
"208"	189	349	13	124	10	7	6	10
"209"	190	340	26	123	2	19	6	5
"210"	191	172	9	59	2	2	0	4
"211"	192	321	15	249	6	16	6	36
"212"	193	172	36	536	12	21	10	13
"213"	194	248	19	221	7	18	15	27
"214"	195	236	14	288	7	21	18	28
"215"	196	64	15	589	13	14	11	12
"216"	197	198	21	518	15	29	8	20
"217"	198	469	23	57	4	5	7	14
"218"	199	112	18	310	4	6	5	6
"219"	200	386	27	142	9	6	14	38
"220"	201	440	14	27	4	7	0	4
"221"	202	360	9	148	4	9	2	10
"222"	203	244	139	303	18	18	12	12
"223"	204	73	45	238	6	8	5	1
"224"	205	120	27	352	12	12	12	14
"225"	NA	NA	NA	NA	NA	NA	NA	NA
"226"	206	393	63	159	11	19	11	12
"227"	207	267	16	13	1	7	3	11
"228"	208	281	41	212	12	18	12	17
"229"	209	324	31	268	10	16	7	19
"230"	210	457	19	52	3	10	8	24
"231"	211	301	25	260	8	11	14	20
"232"	212	134	19	338	20	16	10	22
"233"	213	132	19	228	4	12	7	26
"234"	214	546	23	116	5	11	8	9
"235"	215	242	104	212	13	19	10	16
"236"	216	176	86	462	9	19	9	12
"237"	217	194	25	260	7	14	14	9
"238"	218	112	147	157	11	16	5	8
"239"	219	131	131	307	18	18	8	12
"240"	220	277	16	237	3	3	6	8
"241"	221	183	65	160	5	9	7	7
"242"	222	42	15	295	4	6	7	7
"243"	223	166	153	163	11	20	25	53
"244"	224	215	23	355	8	23	12	19
"245"	225	151	51	90	2	4	7	7
"246"	226	243	23	200	5	13	8	15
"247"	227	217	34	296	6	10	9	15
"248"	228	314	30	331	9	21	14	36
"249"	229	268	21	318	3	11	8	9
"250"	230	262	63	247	10	18	5	3
"251"	231	183	24	303	13	11	8	15
"252"	NA	57086	5969	72282	1860	3227	1839	3033
