"BOOTH.NO"	"Name.of.Polling.Station"	"Total.Electors"	"TOTAL.VALID.VOTES"	"voter.turn.out.."
"1"	1	""	763	384	50.33
"2"	2	""	1230	481	39.11
"3"	3	""	781	389	49.81
"4"	4	""	920	382	41.52
"5"	5	""	1295	630	48.65
"6"	6	""	1036	426	41.12
"7"	7	""	1352	733	54.22
"8"	8	""	560	318	56.79
"9"	9	""	1351	719	53.22
"10"	10	""	1185	537	45.32
"11"	11	""	499	268	53.71
"12"	12	""	1161	479	41.26
"13"	13	""	1379	571	41.41
"14"	14	""	1179	461	39.1
"15"	15	""	1331	717	53.87
"16"	16	""	781	413	52.88
"17"	17	""	456	324	71.05
"18"	18	""	931	525	56.39
"19"	19	""	1111	544	48.96
"20"	20	""	1102	521	47.28
"21"	21	""	909	444	48.84
"22"	22	""	1345	591	43.94
"23"	23	"e/; fo|ky; fo\".kqijk nf{k.kh Hkkx"	1034	354	34.24
"24"	24	""	820	460	56.1
"25"	NA	""	719	296	41.17
"26"	25	""	1196	483	40.38
"27"	26	""	998	448	44.89
"28"	27	""	427	220	51.52
"29"	28	""	891	341	38.27
"30"	29	"mRØfer e/; fo|ky; ednqexat"	1384	509	36.78
"31"	30	""	1287	582	45.22
"32"	31	""	794	462	58.19
"33"	32	""	1433	698	48.71
"34"	33	""	1098	530	48.27
"35"	34	""	764	418	54.71
"36"	35	""	860	467	54.3
"37"	36	""	675	353	52.3
"38"	37	""	1383	546	39.48
"39"	38	""	829	465	56.09
"40"	39	""	835	450	53.89
"41"	40	""	832	558	67.07
"42"	41	""	597	262	43.89
"43"	42	""	1009	471	46.68
"44"	43	""	1006	400	39.76
"45"	44	""	991	370	37.34
"46"	NA	"Name of Polling Station"	NA	NA	NA
"47"	45	""	1251	479	38.29
"48"	46	""	986	396	40.16
"49"	47	""	1454	641	44.09
"50"	48	""	1080	472	43.7
"51"	49	""	567	218	38.45
"52"	50	""	973	527	54.16
"53"	51	""	960	516	53.75
"54"	52	""	1185	451	38.06
