"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 126---Mahua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :126---Mahua"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of Voters :207869"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"No of valid votes caste in favour of                            Total Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl No"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"8"	""	"BOOTH NO"	"CHAND HASAN"	"JAGESHWAR RAY"	"MASUDUL HAQUE"	"RAVINDRA RAY"	"A M EZHARUL HAQUE"	"JAY NARAYAN SAH"	"PRIYA RANJAN KUMAR SINHA"	"MANJAR HUSSAIN"	"MANOJ PRASAD SINGH"	"MISHRI LAL RAY"	"RAM BABU SAH"	"LALIT KUMAR GHOSH"	"MD. SHAMSHAD AHMAD"	"ANUJ KUMAR"	"MD. ALIEMAM"	"MD. ALAM"	"UMA SHANKAR NIRALA"	"KUSHESHWAR SINGH"	"JAYANT KUMAR JAISWAL"	"ZAIGAM AKHTER"	"NITISH KUMAR NISHAD"	"PRABHAT KUMAR"	"PREM NATH SINGH"	"BHOLA ROY"	"YOGENDRA RAM"	"MD. RAZI ANSARI"	"RAMESH KUMAR"	"LALJI KUMAR RAKESH"	"VINOD KUMAR"	"SATYENDRA KUMAR"	"DR. SUMAN KUMAR SINHA"	""
"9"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	""
"10"	"1"	"1"	"23"	"105"	"13"	"350"	"8"	"5"	"5"	"10"	"2"	"4"	"4"	"1"	"5"	"0"	"0"	"4"	"3"	"2"	"1"	"4"	"4"	"3"	"21"	"0"	"1"	"20"	"2"	"1"	"3"	"18"	"3"	"625"
"11"	"2"	"2"	"7"	"70"	"5"	"257"	"8"	"7"	"11"	"2"	"4"	"2"	"2"	"5"	"15"	"6"	"5"	"15"	"5"	"3"	"5"	"12"	"35"	"3"	"5"	"2"	"0"	"8"	"10"	"7"	"12"	"19"	"18"	"565"
"12"	"3"	"3"	"4"	"70"	"7"	"235"	"3"	"2"	"5"	"6"	"1"	"0"	"3"	"2"	"9"	"1"	"3"	"6"	"1"	"3"	"5"	"8"	"2"	"4"	"5"	"0"	"0"	"5"	"6"	"4"	"10"	"10"	"6"	"426"
"13"	"4"	"4"	"7"	"337"	"12"	"277"	"3"	"1"	"1"	"6"	"0"	"0"	"0"	"3"	"6"	"12"	"8"	"7"	"0"	"2"	"0"	"4"	"0"	"3"	"9"	"3"	"0"	"1"	"2"	"4"	"3"	"4"	"17"	"732"
"14"	"5"	"5"	"7"	"125"	"37"	"25"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"2"	"3"	"1"	"6"	"6"	"1"	"4"	"0"	"31"	"2"	"0"	"16"	"8"	"1"	"3"	"2"	"3"	"2"	"18"	"7"	"315"
"15"	"6"	"6"	"4"	"45"	"20"	"185"	"9"	"0"	"2"	"7"	"3"	"3"	"1"	"7"	"7"	"4"	"5"	"10"	"4"	"2"	"3"	"49"	"1"	"2"	"21"	"5"	"3"	"8"	"10"	"9"	"6"	"6"	"8"	"449"
"16"	"7"	"7"	"6"	"238"	"22"	"359"	"9"	"4"	"4"	"8"	"0"	"3"	"3"	"7"	"31"	"7"	"12"	"14"	"3"	"2"	"4"	"5"	"4"	"5"	"2"	"2"	"1"	"5"	"7"	"7"	"3"	"14"	"12"	"803"
"17"	"8"	"8"	"14"	"206"	"18"	"108"	"2"	"2"	"5"	"5"	"3"	"0"	"2"	"3"	"11"	"10"	"12"	"17"	"2"	"4"	"8"	"26"	"3"	"7"	"4"	"3"	"1"	"7"	"6"	"3"	"10"	"11"	"5"	"518"
"18"	"9"	"9"	"6"	"141"	"15"	"158"	"1"	"6"	"4"	"4"	"1"	"2"	"1"	"2"	"14"	"5"	"13"	"12"	"1"	"2"	"0"	"2"	"2"	"4"	"1"	"0"	"0"	"3"	"0"	"4"	"6"	"21"	"8"	"439"
"19"	"10"	"10"	"3"	"234"	"14"	"204"	"11"	"11"	"6"	"11"	"1"	"2"	"3"	"11"	"17"	"11"	"47"	"21"	"2"	"8"	"2"	"1"	"8"	"3"	"4"	"2"	"4"	"36"	"4"	"7"	"6"	"10"	"11"	"715"
