"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"3"	"1"	"199"	"7"	"117"	"6"	"0"	"45"	"5"	"3"	"2"	"2"	"1"	"1"	"6"	"6"	"1"	"12"	"5"	"2"	"420"
"4"	"2"	"199"	"22"	"162"	"10"	"7"	"121"	"8"	"3"	"4"	"2"	"1"	"1"	"2"	"5"	"2"	"8"	"4"	"0"	"561"
"5"	"3"	"194"	"9"	"70"	"8"	"0"	"14"	"4"	"0"	"3"	"2"	"1"	"0"	"6"	"9"	"0"	"17"	"8"	"0"	"345"
"6"	"4"	"97"	"8"	"144"	"3"	"1"	"63"	"4"	"4"	"8"	"1"	"2"	"0"	"2"	"5"	"2"	"12"	"8"	"1"	"365"
"7"	"5"	"347"	"17"	"145"	"20"	"1"	"39"	"8"	"1"	"8"	"3"	"5"	"10"	"3"	"18"	"6"	"37"	"14"	"2"	"684"
"8"	"6"	"341"	"16"	"63"	"1"	"1"	"57"	"4"	"5"	"1"	"0"	"4"	"0"	"2"	"3"	"1"	"21"	"7"	"2"	"529"
"9"	"7"	"332"	"10"	"47"	"35"	"2"	"47"	"5"	"1"	"3"	"2"	"2"	"1"	"4"	"3"	"2"	"7"	"16"	"1"	"520"
"10"	"8"	"204"	"10"	"205"	"11"	"0"	"19"	"5"	"0"	"4"	"1"	"2"	"2"	"7"	"8"	"4"	"21"	"13"	"11"	"527"
"11"	"9"	"58"	"1"	"199"	"3"	"2"	"9"	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"20"	"1"	"302"
"12"	"10"	"159"	"4"	"189"	"3"	"3"	"53"	"2"	"0"	"3"	"2"	"0"	"1"	"8"	"19"	"5"	"44"	"18"	"6"	"519"
"13"	"11"	"474"	"19"	"4"	"15"	"4"	"18"	"8"	"3"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"17"	"7"	"1"	"575"
"14"	"12"	"142"	"5"	"59"	"18"	"1"	"121"	"9"	"4"	"3"	"2"	"2"	"2"	"2"	"6"	"5"	"32"	"5"	"0"	"418"
"15"	"13"	"320"	"8"	"77"	"9"	"0"	"39"	"3"	"2"	"2"	"1"	"2"	"0"	"3"	"2"	"1"	"8"	"11"	"4"	"492"
"16"	"14"	"379"	"16"	"25"	"37"	"0"	"59"	"0"	"2"	"3"	"1"	"3"	"0"	"3"	"2"	"1"	"10"	"9"	"2"	"552"
"17"	"15"	"354"	"8"	"39"	"33"	"2"	"30"	"6"	"1"	"0"	"1"	"4"	"2"	"4"	"4"	"7"	"9"	"21"	"7"	"532"
"18"	"16"	"182"	"3"	"150"	"17"	"1"	"20"	"2"	"1"	"1"	"1"	"1"	"1"	"3"	"3"	"1"	"4"	"23"	"4"	"418"
"19"	"17"	"163"	"9"	"115"	"3"	"6"	"21"	"5"	"0"	"2"	"1"	"2"	"1"	"4"	"2"	"2"	"10"	"8"	"3"	"357"
"20"	"18"	"431"	"31"	"80"	"5"	"5"	"35"	"7"	"2"	"3"	"2"	"3"	"0"	"1"	"1"	"1"	"35"	"12"	"4"	"658"
"21"	"19"	"176"	"14"	"209"	"9"	"1"	"9"	"1"	"0"	"1"	"2"	"1"	"0"	"9"	"5"	"0"	"4"	"8"	"7"	"456"
"22"	"20"	"77"	"8"	"157"	"7"	"0"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"1"	"2"	"2"	"0"	"263"
"23"	"21"	"234"	"35"	"29"	"1"	"0"	"21"	"71"	"1"	"0"	"0"	"3"	"1"	"0"	"2"	"1"	"7"	"9"	"2"	"417"
"24"	"22"	"183"	"33"	"135"	"4"	"0"	"5"	"2"	"1"	"2"	"0"	"1"	"1"	"2"	"4"	"1"	"7"	"1"	"5"	"387"
"25"	"23"	"193"	"9"	"94"	"4"	"1"	"13"	"1"	"0"	"4"	"0"	"0"	"1"	"2"	"2"	"0"	"2"	"4"	"0"	"330"
"26"	"24"	"162"	"25"	"67"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"3"	"0"	"3"	"1"	"0"	"1"	"3"	"1"	"276"
"27"	"25"	"122"	"5"	"43"	"14"	"1"	"8"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"6"	"0"	"205"
"28"	"26"	"148"	"4"	"100"	"14"	"0"	"29"	"6"	"1"	"2"	"0"	"2"	"1"	"0"	"1"	"0"	"6"	"9"	"4"	"327"
