"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"103&  Hkksj s  ¼v -t k-½  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"4"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"6"	"1"	"54"	"257"	"88"	"36"	"4"	"16"	"60"	"11"	"19"	"20"	"21"	"56"	"642"	""	"642"	""
"7"	"2"	"36"	"208"	"69"	"3"	"2"	"5"	"42"	"2"	"11"	"6"	"10"	"8"	"402"	""	"402"	""
"8"	"3"	"9"	"154"	"69"	"9"	"3"	"4"	"14"	"2"	"3"	"6"	"4"	"0"	"277"	""	"277"	""
"9"	"4"	"40"	"212"	"116"	"7"	"0"	"1"	"14"	"4"	"4"	"1"	"7"	"7"	"413"	""	"413"	""
"10"	"5"	"39"	"416"	"66"	"33"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"4"	"568"	""	"568"	""
"11"	"6"	"17"	"164"	"40"	"21"	"2"	"2"	"1"	"3"	"5"	"5"	"7"	"6"	"273"	""	"273"	""
"12"	"7"	"1"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	""	"9"	""
"13"	"7¼d½"	"22"	"54"	"24"	"37"	"0"	"6"	"11"	"3"	"2"	"2"	"7"	"5"	"173"	""	"173"	""
"14"	"8"	"129"	"140"	"102"	"7"	"2"	"1"	"12"	"5"	"1"	"8"	"18"	"22"	"447"	""	"447"	""
"15"	"9"	"44"	"23"	"178"	"10"	"2"	"2"	"6"	"1"	"0"	"9"	"10"	"14"	"299"	""	"299"	""
"16"	"10"	"53"	"178"	"75"	"14"	"2"	"7"	"43"	"3"	"4"	"4"	"9"	"18"	"410"	""	"410"	""
"17"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"18"	"12"	"66"	"185"	"47"	"13"	"0"	"6"	"8"	"2"	"18"	"10"	"19"	"26"	"400"	""	"400"	""
"19"	"13"	"64"	"283"	"31"	"5"	"4"	"1"	"5"	"1"	"2"	"2"	"12"	"26"	"436"	""	"436"	""
"20"	"; ksx"	"574"	"2277"	"907"	"198"	"23"	"52"	"218"	"38"	"70"	"75"	"125"	"192"	"4749"	""	"4749"	""
"21"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"22"	"d qy  ; ksx"	"574"	"2277"	"907"	"198"	"23"	"52"	"218"	"38"	"70"	"75"	"125"	"192"	"4749"	""	"4749"	""
"23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"25"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"26"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"27"	"14"	"40"	"394"	"53"	"15"	"2"	"8"	"18"	"6"	"6"	"6"	"15"	"27"	"590"	""	"590"	""
"28"	"15"	"38"	"310"	"44"	"28"	"5"	"4"	"6"	"1"	"6"	"1"	"7"	"16"	"466"	""	"466"	""
"29"	"16"	"17"	"193"	"61"	"12"	"1"	"4"	"2"	"1"	"5"	"1"	"18"	"10"	"325"	""	"325"	""
"30"	"17"	"47"	"292"	"4"	"18"	"5"	"3"	"22"	"2"	"2"	"4"	"22"	"10"	"431"	""	"431"	""
"31"	"18"	"88"	"245"	"21"	"13"	"0"	"1"	"7"	"3"	"1"	"12"	"7"	"13"	"411"	""	"411"	""
"32"	"19"	"30"	"236"	"95"	"12"	"4"	"3"	"6"	"1"	"2"	"9"	"10"	"11"	"419"	""	"419"	""
"33"	"20"	"42"	"255"	"144"	"14"	"2"	"5"	"6"	"2"	"10"	"9"	"9"	"35"	"533"	""	"533"	""
"34"	"21"	"46"	"300"	"155"	"48"	"7"	"5"	"9"	"5"	"25"	"8"	"24"	"20"	"652"	""	"652"	""
"35"	"22"	"44"	"60"	"44"	"21"	"1"	"1"	"1"	"1"	"9"	"2"	"1"	"4"	"189"	""	"189"	""
"36"	"23"	"5"	"50"	"85"	"46"	"0"	"0"	"1"	"0"	"4"	"0"	"4"	"5"	"200"	""	"200"	""
"37"	"24"	"38"	"211"	"33"	"152"	"2"	"6"	"13"	"2"	"8"	"2"	"10"	"16"	"493"	""	"493"	""
"38"	"25"	"46"	"223"	"108"	"27"	"4"	"4"	"24"	"5"	"11"	"10"	"15"	"18"	"495"	""	"495"	""
"39"	"26"	"14"	"45"	"76"	"13"	"0"	"0"	"10"	"3"	"1"	"4"	"10"	"10"	"186"	""	"186"	""
"40"	"27"	"41"	"202"	"214"	"11"	"4"	"3"	"6"	"5"	"1"	"10"	"14"	"16"	"527"	""	"527"	""
"41"	"; ksx"	"536"	"3016"	"1137"	"430"	"37"	"47"	"131"	"37"	"91"	"78"	"166"	"211"	"5917"	""	"5917"	""
"42"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"574"	"2277"	"907"	"198"	"23"	"52"	"218"	"38"	"70"	"75"	"125"	"192"	"4749"	""	"4749"	""
"43"	"d qy  ; ksx"	"1110"	"5293"	"2044"	"628"	"60"	"99"	"349"	"75"	"161"	"153"	"291"	"403"	"10666"	"0"	"10666"	""
"44"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"45"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"46"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"47"	"28"	"38"	"480"	"67"	"12"	"1"	"2"	"4"	"1"	"2"	"0"	"14"	"23"	"644"	""	"644"	""
"48"	"29"	"22"	"408"	"100"	"17"	"5"	"9"	"25"	"1"	"5"	"11"	"21"	"16"	"640"	""	"640"	""
"49"	"30"	"10"	"367"	"34"	"34"	"13"	"2"	"3"	"6"	"2"	"13"	"16"	"27"	"527"	""	"527"	""
"50"	"31"	"39"	"380"	"71"	"101"	"4"	"8"	"23"	"9"	"9"	"8"	"38"	"24"	"714"	""	"714"	""
"51"	"32"	"27"	"312"	"56"	"18"	"5"	"7"	"12"	"3"	"6"	"8"	"17"	"20"	"491"	""	"491"	""
"52"	"33"	"18"	"97"	"60"	"21"	"2"	"1"	"7"	"6"	"3"	"9"	"111"	"17"	"352"	""	"352"	""
"53"	"34"	"15"	"120"	"18"	"184"	"3"	"6"	"11"	"3"	"2"	"0"	"4"	"7"	"373"	""	"373"	""
"54"	"35"	"16"	"242"	"55"	"22"	"3"	"2"	"11"	"3"	"4"	"7"	"13"	"12"	"390"	""	"390"	""
"55"	"36"	"18"	"116"	"54"	"21"	"2"	"5"	"11"	"0"	"6"	"7"	"3"	"8"	"251"	""	"251"	""
"56"	"37"	"38"	"302"	"95"	"33"	"4"	"3"	"8"	"2"	"17"	"16"	"33"	"31"	"582"	""	"582"	""
"57"	"38"	"21"	"160"	"25"	"12"	"0"	"2"	"1"	"0"	"0"	"3"	"6"	"5"	"235"	""	"235"	""
"58"	"39"	"30"	"185"	"63"	"27"	"3"	"0"	"3"	"1"	"1"	"1"	"5"	"18"	"337"	""	"337"	""
"59"	"40"	"35"	"327"	"27"	"157"	"4"	"3"	"3"	"2"	"2"	"2"	"8"	"19"	"589"	""	"589"	""
"60"	"41"	"59"	"129"	"34"	"54"	"1"	"2"	"7"	"2"	"4"	"2"	"8"	"9"	"311"	""	"311"	""
"61"	"; ksx"	"386"	"3625"	"759"	"713"	"50"	"52"	"129"	"39"	"63"	"87"	"297"	"236"	"6436"	""	"6436"	""
"62"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1110"	"5293"	"2044"	"628"	"60"	"99"	"349"	"75"	"161"	"153"	"291"	"403"	"10666"	""	"10666"	""
"63"	"d qy  ; ksx"	"1496"	"8918"	"2803"	"1341"	"110"	"151"	"478"	"114"	"224"	"240"	"588"	"639"	"17102"	""	"17102"	""
"64"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"65"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
