"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 230- GAYA TOWN  CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :  230- GAYA TOWN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"7"	"1"	""	"23"	"108"	"215"	"4"	"1"	"57"	"2"	"0"	"3"	"3"	"5"	"6"	"4"	"9"	"6"	"2"	"1"	"1"	"1"	"1"	"0"	"452"
"8"	"2"	""	"6"	"112"	"251"	"4"	"3"	"58"	"3"	"3"	"2"	"3"	"1"	"1"	"3"	"3"	"3"	"2"	"0"	"0"	"3"	"1"	"0"	"462"
"9"	"3"	""	"25"	"53"	"139"	"5"	"1"	"119"	"3"	"3"	"4"	"4"	"4"	"1"	"2"	"9"	"6"	"3"	"0"	"6"	"1"	"1"	"1"	"390"
"10"	"4"	""	"21"	"32"	"235"	"3"	"1"	"17"	"2"	"3"	"1"	"1"	"2"	"2"	"1"	"0"	"3"	"1"	"1"	"3"	"3"	"0"	"0"	"332"
"11"	"4"	"A"	"33"	"60"	"118"	"15"	"2"	"44"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"2"	"2"	"0"	"2"	"0"	"0"	"284"
"12"	"5"	""	"22"	"117"	"156"	"1"	"4"	"23"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"333"
"13"	"6"	""	"28"	"153"	"249"	"10"	"0"	"20"	"1"	"1"	"3"	"4"	"2"	"1"	"0"	"2"	"6"	"1"	"1"	"1"	"2"	"1"	"4"	"490"
"14"	"7"	""	"56"	"136"	"328"	"16"	"1"	"64"	"3"	"3"	"5"	"6"	"11"	"7"	"7"	"5"	"13"	"11"	"2"	"1"	"7"	"4"	"25"	"711"
"15"	"8"	""	"23"	"55"	"360"	"15"	"0"	"49"	"1"	"2"	"1"	"1"	"0"	"3"	"5"	"1"	"3"	"4"	"0"	"1"	"2"	"0"	"1"	"527"
"16"	"9"	""	"12"	"70"	"208"	"3"	"1"	"20"	"1"	"1"	"1"	"2"	"2"	"3"	"2"	"3"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"333"
"17"	"10"	""	"16"	"94"	"226"	"43"	"4"	"73"	"1"	"2"	"4"	"6"	"2"	"3"	"5"	"2"	"4"	"9"	"1"	"1"	"0"	"0"	"0"	"496"
