"Total.No..of.Electors.in.Assembly.Constituency........198785"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"07- Chanpatia Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"7"	"1"	"29"	"26"	"8"	"398"	"41"	"48"	"4"	"0"	"2"	"6"	"2"	"6"	"17"	"11"	"6"	"8"	"15"	"8"	"635"	"0"	"635"	"0"	""
"8"	"2"	"197"	"8"	"18"	"280"	"20"	"33"	"3"	"28"	"6"	"4"	"4"	"2"	"7"	"4"	"4"	"7"	"4"	"3"	"632"	"0"	"632"	"0"	""
"9"	"3"	"8"	"18"	"21"	"128"	"12"	"129"	"5"	"1"	"3"	"6"	"7"	"5"	"2"	"6"	"4"	"12"	"8"	"13"	"388"	"0"	"388"	"0"	""
"10"	"4"	"93"	"26"	"20"	"106"	"10"	"72"	"3"	"5"	"4"	"2"	"1"	"1"	"3"	"1"	"3"	"6"	"7"	"5"	"368"	"0"	"368"	"0"	""
"11"	"5"	"29"	"17"	"113"	"247"	"28"	"91"	"62"	"2"	"6"	"10"	"7"	"5"	"20"	"14"	"14"	"9"	"31"	"21"	"726"	"0"	"726"	"0"	""
"12"	"6"	"87"	"9"	"10"	"181"	"33"	"176"	"11"	"3"	"7"	"5"	"6"	"1"	"3"	"2"	"4"	"22"	"3"	"7"	"570"	"0"	"570"	"0"	""
"13"	"7"	"133"	"5"	"6"	"196"	"10"	"41"	"1"	"0"	"4"	"4"	"4"	"4"	"3"	"7"	"6"	"57"	"5"	"2"	"488"	"0"	"488"	"0"	""
"14"	"8"	"75"	"16"	"1"	"147"	"13"	"74"	"6"	"1"	"1"	"0"	"1"	"3"	"0"	"2"	"1"	"6"	"6"	"2"	"355"	"0"	"355"	"0"	""
"15"	"9"	"104"	"9"	"9"	"189"	"9"	"0"	"1"	"3"	"2"	"6"	"1"	"2"	"1"	"2"	"1"	"15"	"8"	"8"	"370"	"0"	"370"	"0"	""
"16"	"10"	"14"	"23"	"79"	"305"	"59"	"14"	"1"	"1"	"1"	"5"	"0"	"1"	"0"	"2"	"0"	"7"	"12"	"4"	"528"	"0"	"528"	"0"	""
"17"	"11"	"24"	"4"	"6"	"225"	"4"	"42"	"11"	"1"	"2"	"4"	"4"	"4"	"5"	"3"	"5"	"32"	"4"	"3"	"383"	"0"	"383"	"0"	""
"18"	"12"	"72"	"59"	"18"	"321"	"79"	"21"	"21"	"2"	"2"	"3"	"3"	"7"	"7"	"13"	"15"	"80"	"17"	"12"	"752"	"0"	"752"	"0"	""
"19"	"13"	"212"	"48"	"30"	"308"	"16"	"22"	"5"	"0"	"4"	"1"	"3"	"2"	"2"	"6"	"4"	"110"	"4"	"4"	"781"	"0"	"781"	"0"	""
"20"	"14"	"135"	"134"	"4"	"303"	"42"	"42"	"6"	"1"	"6"	"5"	"5"	"6"	"2"	"13"	"9"	"20"	"3"	"7"	"743"	"0"	"743"	"0"	""
