"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…86 - Keoti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 232621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"8"	""	""	"Ashok Kumar Yadav"	"Faraz Fatmi"	"Madhu Ranjan Prasad"	"Md.
Mohasin"	"Md. Junaid Sattar"	"Md.
Mojahidul Islam"	"Rambabu Sahu"	"Wasi  Ahmed Khan"	"Nazre Alam"	"Nesar Ahmad"	"Bal Krishna
Jha"	"Sadre Alam"	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"10"	"1"	"1"	"295"	"124"	"15"	"36"	"3"	"2"	"3"	"3"	"1"	"4"	"5"	"21"	"512"	"-"	"512"	""
"11"	"2"	"2"	"280"	"128"	"5"	"43"	"1"	"0"	"1"	"0"	"1"	"2"	"3"	"5"	"469"	"-"	"469"	""
"12"	"3"	"3"	"236"	"250"	"16"	"10"	"0"	"1"	"0"	"1"	"3"	"2"	"11"	"21"	"551"	"-"	"551"	""
"13"	"4"	"4"	"198"	"169"	"6"	"8"	"4"	"0"	"2"	"4"	"1"	"2"	"2"	"12"	"408"	"-"	"408"	""
"14"	"5"	"5"	"269"	"130"	"13"	"3"	"1"	"1"	"0"	"2"	"1"	"4"	"5"	"10"	"439"	"-"	"439"	""
"15"	"6"	"6"	"324"	"149"	"2"	"5"	"0"	"3"	"4"	"2"	"2"	"7"	"5"	"16"	"519"	"-"	"519"	""
"16"	"7"	"7"	"334"	"151"	"19"	"6"	"5"	"7"	"11"	"1"	"4"	"3"	"10"	"40"	"591"	"-"	"591"	""
"17"	"8"	"8"	"456"	"110"	"6"	"9"	"2"	"3"	"2"	"5"	"3"	"3"	"6"	"22"	"627"	"-"	"627"	""
