"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total..Valid.Votes"
"1"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"2"	"1"	"217"	"21"	"2"	"41"	"0"	"0"	"1"	"3"	""	"0"	"2"	"1"	"6"	"8"	"302"
"3"	"2"	"174"	"2"	"2"	"83"	"1"	"0"	"0"	"1"	""	"2"	"3"	"3"	"4"	"16"	"291"
"4"	"3"	"101"	"6"	"7"	"213"	"5"	"2"	"4"	"10"	""	"2"	"9"	"5"	"9"	"25"	"398"
"5"	"4"	"27"	"3"	"4"	"213"	"6"	"3"	"4"	"19"	""	"6"	"2"	"4"	"6"	"12"	"309"
"6"	"5"	"10"	"0"	"13"	"150"	"5"	"2"	"0"	"4"	""	"3"	"4"	"2"	"3"	"9"	"205"
"7"	"6"	"252"	"5"	"6"	"100"	"1"	"2"	"1"	"3"	""	"1"	"1"	"3"	"4"	"13"	"392"
"8"	"7"	"311"	"41"	"1"	"88"	"2"	"0"	"2"	"6"	""	"7"	"2"	"5"	"5"	"13"	"483"
"9"	"8"	"212"	"5"	"7"	"151"	"0"	"0"	"0"	"11"	""	"0"	"5"	"1"	"3"	"6"	"401"
"10"	"9"	"124"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"1"	"0"	"2"	"130"
"11"	"10"	"158"	"8"	"14"	"231"	"7"	"2"	"1"	"11"	""	"4"	"4"	"13"	"12"	"27"	"492"
"12"	"11"	"227"	"6"	"7"	"197"	"8"	"2"	"21"	"14"	""	"5"	"2"	"10"	"8"	"20"	"527"
"13"	"12"	"151"	"6"	"1"	"22"	"1"	"1"	"0"	"2"	""	"0"	"1"	"4"	"1"	"8"	"198"
"14"	"13"	"53"	"15"	"5"	"251"	"7"	"0"	"1"	"22"	""	"5"	"4"	"4"	"10"	"25"	"402"
