"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X260646.29.260675.40.Laukaha"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"4"	"1"	"207"	"96"	"16"	"10"	"60"	"255"	"47"	"10"	"9"	"1"	"2"	"18"	"15"	"9"	"755"	""	"755"	""
"5"	"2"	"66"	"33"	"2"	"5"	"39"	"341"	"29"	"12"	"9"	"1"	"3"	"13"	"11"	"1"	"565"	""	"565"	""
"6"	"3"	"287"	"29"	"7"	"7"	"16"	"241"	"93"	"10"	"2"	"2"	"4"	"12"	"6"	"10"	"726"	""	"726"	""
"7"	"4"	"166"	"11"	"4"	"3"	"27"	"173"	"348"	"7"	"6"	"5"	"2"	"11"	"4"	"15"	"782"	""	"782"	""
"8"	"5"	"119"	"24"	"10"	"16"	"39"	"319"	"47"	"16"	"26"	"6"	"6"	"20"	"37"	"14"	"699"	""	"699"	""
"9"	"6"	"245"	"24"	"5"	"10"	"7"	"39"	"311"	"19"	"9"	"5"	"7"	"2"	"5"	"37"	"725"	""	"725"	""
"10"	"7"	"149"	"14"	"9"	"1"	"18"	"77"	"134"	"8"	"2"	"0"	"2"	"3"	"2"	"5"	"424"	""	"424"	""
"11"	"7A"	"144"	"10"	"9"	"2"	"20"	"167"	"2"	"0"	"2"	"1"	"2"	"10"	"2"	"9"	"380"	""	"380"	""
"12"	"8"	"195"	"13"	"4"	"4"	"17"	"193"	"5"	"4"	"6"	"2"	"2"	"7"	"2"	"7"	"461"	""	"461"	""
"13"	"9"	"54"	"31"	"1"	"3"	"10"	"361"	"2"	"7"	"5"	"4"	"2"	"8"	"6"	"20"	"514"	""	"514"	""
"14"	"10"	"92"	"64"	"12"	"8"	"26"	"305"	"13"	"8"	"10"	"1"	"11"	"16"	"10"	"7"	"583"	""	"583"	""
"15"	"11"	"104"	"55"	"7"	"5"	"24"	"323"	"19"	"4"	"15"	"5"	"8"	"19"	"15"	"36"	"639"	""	"639"	""
"16"	"12"	"194"	"63"	"2"	"3"	"16"	"123"	"98"	"4"	"2"	"4"	"3"	"9"	"5"	"11"	"537"	""	"537"	""
"17"	"13"	"206"	"40"	"4"	"7"	"65"	"270"	"47"	"13"	"11"	"6"	"12"	"10"	"14"	"10"	"715"	""	"715"	""
"18"	"Total -1"	"2228"	"507"	"92"	"84"	"384"	"3187"	"1195"	"122"	"114"	"43"	"66"	"158"	"134"	"191"	"8505"	"0"	"8505"	"0"
"19"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"23"	"B.F."	"2228"	"507"	"92"	"84"	"384"	"3187"	"1195"	"122"	"114"	"43"	"66"	"158"	"134"	"191"	"8505"	"0"	"8505"	"0"
"24"	"14"	"170"	"44"	"10"	"5"	"13"	"188"	"79"	"4"	"2"	"3"	"2"	"8"	"5"	"8"	"541"	""	"541"	""
"25"	"15"	"37"	"16"	"5"	"3"	"15"	"284"	"25"	"0"	"2"	"0"	"2"	"5"	"2"	"1"	"397"	""	"397"	""
"26"	"16"	"75"	"18"	"20"	"15"	"37"	"462"	"47"	"3"	"11"	"2"	"4"	"26"	"6"	"14"	"740"	""	"740"	""
"27"	"17"	"397"	"22"	"3"	"11"	"45"	"88"	"59"	"5"	"2"	"4"	"2"	"8"	"8"	"14"	"668"	""	"668"	""
"28"	"18"	"88"	"15"	"2"	"2"	"30"	"161"	"43"	"9"	"4"	"1"	"0"	"8"	"8"	"5"	"376"	""	"376"	""
"29"	"19"	"260"	"19"	"7"	"5"	"79"	"28"	"15"	"10"	"4"	"2"	"1"	"4"	"16"	"3"	"453"	""	"453"	""
"30"	"20"	"209"	"12"	"2"	"2"	"77"	"58"	"22"	"3"	"3"	"3"	"1"	"5"	"5"	"4"	"406"	""	"406"	""
"31"	"21"	"90"	"79"	"15"	"33"	"28"	"167"	"376"	"35"	"13"	"10"	"16"	"10"	"21"	"40"	"933"	""	"933"	""
"32"	"22"	"165"	"33"	"2"	"3"	"72"	"179"	"22"	"4"	"11"	"2"	"6"	"19"	"7"	"20"	"545"	""	"545"	""
"33"	"23"	"64"	"68"	"6"	"23"	"26"	"426"	"95"	"13"	"14"	"5"	"2"	"20"	"11"	"17"	"790"	""	"790"	""
"34"	"24"	"81"	"18"	"8"	"46"	"77"	"174"	"27"	"3"	"4"	"2"	"4"	"8"	"3"	"4"	"459"	""	"459"	""
"35"	"25"	"19"	"11"	"0"	"2"	"4"	"14"	"539"	"12"	"3"	"3"	"2"	"1"	"3"	"9"	"622"	""	"622"	""
"36"	"26"	"159"	"86"	"6"	"7"	"28"	"133"	"97"	"22"	"8"	"4"	"0"	"11"	"17"	"11"	"589"	""	"589"	""
"37"	"27"	"477"	"76"	"8"	"14"	"16"	"98"	"36"	"8"	"1"	"2"	"1"	"7"	"5"	"8"	"757"	""	"757"	""
"38"	"Total -2"	"2291"	"517"	"94"	"171"	"547"	"2460"	"1482"	"131"	"82"	"43"	"43"	"140"	"117"	"158"	"8276"	"0"	"8276"	"0"
"39"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"41"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"43"	"B.F."	"4519"	"1024"	"186"	"255"	"931"	"5647"	"2677"	"253"	"196"	"86"	"109"	"298"	"251"	"349"	"16781"	"0"	"16781"	"0"
"44"	"28"	"27"	"13"	"1"	"3"	"11"	"346"	"17"	"4"	"7"	"2"	"2"	"9"	"9"	"5"	"456"	""	"456"	""
"45"	"29"	"135"	"33"	"6"	"4"	"24"	"186"	"126"	"7"	"5"	"1"	"4"	"10"	"14"	"7"	"562"	""	"562"	""
"46"	"30"	"152"	"36"	"21"	"48"	"20"	"235"	"82"	"12"	"10"	"1"	"0"	"2"	"10"	"16"	"645"	""	"645"	""
"47"	"31"	"37"	"37"	"4"	"74"	"34"	"415"	"51"	"9"	"7"	"1"	"1"	"8"	"9"	"8"	"695"	""	"695"	""
"48"	"32"	"28"	"142"	"3"	"16"	"21"	"151"	"45"	"7"	"6"	"1"	"0"	"9"	"12"	"3"	"444"	""	"444"	""
"49"	"33"	"64"	"37"	"3"	"10"	"33"	"452"	"73"	"7"	"6"	"2"	"2"	"5"	"7"	"3"	"704"	""	"704"	""
"50"	"34"	"28"	"25"	"4"	"2"	"17"	"276"	"12"	"2"	"5"	"1"	"2"	"3"	"4"	"7"	"388"	""	"388"	""
"51"	"35"	"11"	"7"	"1"	"4"	"19"	"358"	"10"	"4"	"5"	"2"	"1"	"5"	"3"	"8"	"438"	""	"438"	""
"52"	"36"	"249"	"10"	"9"	"3"	"16"	"321"	"21"	"7"	"6"	"9"	"13"	"17"	"17"	"54"	"752"	""	"752"	""
"53"	"37"	"21"	"9"	"7"	"4"	"21"	"501"	"12"	"8"	"14"	"2"	"1"	"7"	"7"	"8"	"622"	""	"622"	""
"54"	"38"	"229"	"15"	"6"	"13"	"23"	"229"	"12"	"10"	"14"	"3"	"4"	"12"	"12"	"8"	"590"	""	"590"	""
"55"	"39"	"31"	"157"	"5"	"7"	"15"	"129"	"25"	"7"	"5"	"0"	"3"	"13"	"5"	"5"	"407"	""	"407"	""
"56"	"40"	"25"	"194"	"23"	"4"	"22"	"159"	"14"	"4"	"10"	"4"	"5"	"15"	"24"	"28"	"531"	""	"531"	""
"57"	"41"	"261"	"11"	"23"	"21"	"26"	"247"	"9"	"10"	"18"	"11"	"1"	"19"	"10"	"27"	"694"	""	"694"	""
"58"	"Total -3"	"1298"	"726"	"116"	"213"	"302"	"4005"	"509"	"98"	"118"	"40"	"39"	"134"	"143"	"187"	"7928"	"0"	"7928"	"0"
"59"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"61"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"63"	"B.F."	"5817"	"1750"	"302"	"468"	"1233"	"9652"	"3186"	"351"	"314"	"126"	"148"	"432"	"394"	"536"	"24709"	"0"	"24709"	"0"
"64"	"42"	"248"	"40"	"5"	"52"	"13"	"92"	"11"	"2"	"9"	"9"	"2"	"7"	"18"	"10"	"518"	""	"518"	""
"65"	"43"	"223"	"57"	"0"	"62"	"14"	"48"	"4"	"2"	"3"	"4"	"4"	"3"	"2"	"16"	"442"	""	"442"	""
"66"	"44"	"120"	"42"	"14"	"90"	"21"	"199"	"14"	"3"	"19"	"8"	"6"	"14"	"11"	"33"	"594"	""	"594"	""
"67"	"45"	"202"	"10"	"50"	"2"	"13"	"196"	"337"	"17"	"6"	"8"	"6"	"7"	"6"	"8"	"868"	""	"868"	""
"68"	"46"	"426"	"16"	"16"	"9"	"24"	"94"	"93"	"6"	"8"	"4"	"3"	"3"	"6"	"18"	"726"	""	"726"	""
"69"	"47"	"10"	"2"	"1"	"2"	"9"	"67"	"922"	"8"	"0"	"0"	"0"	"3"	"0"	"2"	"1026"	""	"1026"	""
"70"	"48"	"184"	"4"	"2"	"2"	"9"	"293"	"74"	"3"	"5"	"1"	"2"	"3"	"3"	"6"	"591"	""	"591"	""
"71"	"49"	"41"	"11"	"6"	"3"	"5"	"47"	"279"	"13"	"6"	"4"	"1"	"4"	"11"	"23"	"454"	""	"454"	""
"72"	"50"	"12"	"14"	"4"	"2"	"5"	"11"	"363"	"10"	"2"	"2"	"4"	"1"	"2"	"12"	"444"	""	"444"	""
