"No..of.vailed.Votes.Caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	""	""	"CHANDRIKA RAI"	"CHHOTE LAL RAI"	"MURLI MANOHAR SINGH"	"RAMNATH VIDYARTHI"	"SANDHAYA RAY"	"KRISHNA ROY"	"SARBA RAI"	"ASHUTOSH ROY"	"BRIJ BIHARI SINGH"	"RITESH KUMAR ROUSHAN"	"TOTAL VALID VOTES"
"2"	"BOOTH_ NO"	"BOOTH_ EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"TOTAL"
"3"	"1"	""	"350"	"125"	"9"	"6"	"3"	"4"	"1"	"6"	"4"	"7"	"515"
"4"	"2"	""	"203"	"219"	"7"	"5"	"3"	"4"	"3"	"7"	"15"	"51"	"517"
"5"	"3"	""	"75"	"274"	"12"	"3"	"0"	"5"	"0"	"0"	"2"	"7"	"378"
"6"	"4"	""	"107"	"431"	"5"	"3"	"1"	"4"	"1"	"5"	"9"	"10"	"576"
"7"	"5"	""	"259"	"258"	"11"	"9"	"4"	"11"	"5"	"5"	"21"	"28"	"611"
"8"	"6"	""	"265"	"267"	"2"	"2"	"1"	"1"	"0"	"0"	"2"	"3"	"543"
"9"	"7"	""	"181"	"378"	"11"	"2"	"0"	"5"	"1"	"3"	"17"	"14"	"612"
"10"	"8"	""	"225"	"294"	"45"	"5"	"0"	"4"	"3"	"6"	"15"	"12"	"609"
"11"	"9"	""	"67"	"303"	"7"	"3"	"3"	"7"	"0"	"1"	"6"	"8"	"405"
"12"	"9"	"A"	"133"	"253"	"6"	"3"	"3"	"5"	"3"	"1"	"9"	"15"	"431"
"13"	"10"	""	"226"	"200"	"19"	"8"	"3"	"4"	"5"	"4"	"12"	"11"	"492"
"14"	"11"	""	"105"	"234"	"5"	"9"	"4"	"6"	"5"	"9"	"11"	"292"	"680"
"15"	"12"	""	"103"	"316"	"8"	"5"	"3"	"10"	"5"	"5"	"9"	"36"	"500"
"16"	"13"	""	"129"	"269"	"4"	"6"	"3"	"9"	"2"	"18"	"12"	"18"	"470"
"17"	"Round 1"	""	"2428"	"3821"	"151"	"69"	"31"	"79"	"34"	"70"	"144"	"512"	"7339"
"18"	"14"	""	"120"	"379"	"4"	"2"	"0"	"1"	"6"	"1"	"8"	"10"	"531"
"19"	"15"	""	"212"	"320"	"39"	"10"	"3"	"12"	"4"	"45"	"30"	"31"	"706"
"20"	"16"	""	"293"	"380"	"6"	"0"	"4"	"4"	"3"	"3"	"19"	"42"	"754"
"21"	"17"	""	"332"	"267"	"5"	"6"	"3"	"6"	"6"	"15"	"44"	"22"	"706"
"22"	"18"	""	"35"	"443"	"5"	"3"	"2"	"4"	"0"	"5"	"7"	"5"	"509"
"23"	"19"	""	"202"	"156"	"5"	"4"	"5"	"9"	"1"	"5"	"26"	"34"	"447"
"24"	"20"	""	"115"	"247"	"7"	"7"	"2"	"6"	"3"	"3"	"16"	"31"	"437"
"25"	"21"	""	"222"	"225"	"6"	"3"	"3"	"5"	"3"	"1"	"27"	"40"	"535"
"26"	"22"	""	"264"	"288"	"9"	"2"	"3"	"8"	"5"	"2"	"14"	"12"	"607"
"27"	"23"	""	"110"	"245"	"7"	"2"	"4"	"9"	"1"	"3"	"13"	"26"	"420"
"28"	"24"	""	"296"	"38"	"5"	"3"	"4"	"2"	"3"	"1"	"4"	"10"	"366"
